#  Nevada Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,41.1,0.2
199702,45.7,0.4
199703,59.1,7.6
199704,58.2,-1.9
199705,75.7,6.5
199706,77.7,-1.7
199707,85.6,-2.7
199708,88.0,1.7
199709,77.7,0.1
199710,64.6,-0.7
199711,52.7,1.5
199712,40.2,-2.0
199801,45.0,4.1
199802,41.8,-3.5
199803,51.9,0.4
199804,56.2,-3.9
199805,62.1,-7.1
199806,73.6,-5.8
199807,90.0,1.7
199808,90.0,3.7
199809,76.0,-1.6
199810,61.2,-4.1
199811,50.3,-0.9
199812,42.2,0.0
199901,45.8,4.9
199902,46.9,1.6
199903,54.7,3.2
199904,54.2,-5.9
199905,68.3,-0.9
199906,79.4,0.0
199907,87.4,-0.9
199908,85.3,-1.0
199909,79.0,1.4
199910,71.7,6.4
199911,59.1,7.9
199912,45.9,3.7
200001,45.4,4.5
200002,47.8,2.5
200003,53.4,1.9
200004,66.2,6.1
200005,73.3,4.1
200006,84.4,5.0
200007,89.5,1.2
200008,88.2,1.9
200009,78.2,0.6
200010,63.0,-2.3
200011,45.4,-5.8
200012,47.0,4.8
200101,40.8,-0.1
200102,42.2,-3.1
200103,56.0,4.5
200104,58.6,-1.5
200105,78.0,8.8
200106,83.8,4.4
200107,87.8,-0.5
200108,91.2,4.9
200109,82.2,4.6
200110,70.2,4.9
200111,53.6,2.4
200112,39.8,-2.4
200201,41.5,0.6
200202,48.5,3.2
200203,51.5,0.0
200204,63.7,3.6
200205,71.1,1.9
200206,84.2,4.8
200207,93.0,4.7
200208,87.3,1.0
200209,79.0,1.4
200210,64.1,-1.2
200211,53.1,1.9
200212,44.0,1.8
200301,52.6,11.7
200302,45.2,-0.1
200303,55.2,3.7
200304,55.9,-4.2
200305,71.5,2.3
200306,84.0,4.6
200307,93.9,5.6
200308,87.6,1.3
200309,81.1,3.5
200310,73.3,8.0
200311,46.3,-4.9
200312,42.8,0.6
200401,41.4,0.5
200402,41.7,-3.6
200403,62.2,10.7
200404,62.8,2.7
200405,71.7,2.5
200406,83.0,3.6
200407,89.7,1.4
200408,85.5,-0.8
200409,77.5,-0.1
200410,61.5,-3.8
200411,48.3,-2.9
200412,43.6,1.4
