#  Nevada Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.68,3.48
199702,-0.11,-0.26
199703,-2.32,-2.38
199704,-0.18,-0.15
199705,-1.54,-1.64
199706,2.36,2.35
199707,0.79,0.72
199708,-0.74,-0.75
199709,2.61,2.56
199710,-0.74,-0.77
199711,-0.56,-0.35
199712,-1.41,-1.30
199801,-0.18,-0.38
199802,4.71,4.56
199803,2.01,1.95
199804,1.55,1.58
199805,5.84,5.74
199806,6.39,6.38
199807,8.54,8.47
199808,1.05,1.04
199809,5.06,5.01
199810,1.52,1.49
199811,-0.27,-0.06
199812,-1.54,-1.43
199901,0.05,-0.15
199902,-1.03,-1.18
199903,-2.25,-2.31
199904,2.27,2.30
199905,-0.21,-0.31
199906,-0.14,-0.15
199907,-0.72,-0.79
199908,-0.34,-0.35
199909,-1.17,-1.22
199910,-2.27,-2.30
199911,-2.97,-2.76
199912,-2.45,-2.34
200001,-0.14,-0.34
200002,1.93,1.78
200003,-0.57,-0.63
200004,-1.66,-1.63
200005,-1.21,-1.31
200006,-2.61,-2.62
200007,-3.04,-3.11
200008,0.74,0.73
200009,-1.00,-1.05
200010,2.67,2.64
200011,-0.66,-0.45
200012,-2.20,-2.09
200101,-0.28,-0.48
200102,0.08,-0.07
200103,-1.30,-1.36
200104,0.76,0.79
200105,-3.59,-3.69
200106,-3.58,-3.59
200107,-1.13,-1.20
200108,-2.14,-2.15
200109,-1.60,-1.65
200110,-1.99,-2.02
200111,0.26,0.47
200112,0.97,1.08
200201,-0.83,-1.03
200202,-1.22,-1.37
200203,-1.23,-1.29
200204,-0.88,-0.85
200205,-2.59,-2.69
200206,-2.95,-2.96
200207,-2.81,-2.88
200208,-2.67,-2.68
200209,-0.62,-0.67
200210,-1.00,-1.03
200211,-0.27,-0.06
200212,-0.80,-0.69
200301,-3.25,-3.45
200302,-0.62,-0.77
200303,-1.85,-1.91
200304,2.15,2.18
200305,-0.73,-0.83
200306,-3.65,-3.66
200307,-2.57,-2.64
200308,1.03,1.02
200309,-1.33,-1.38
200310,-2.79,-2.82
200311,0.57,0.78
200312,1.80,1.91
200401,-0.97,-1.17
200402,2.08,1.93
200403,-3.28,-3.34
200404,-0.83,-0.80
200405,-1.55,-1.65
200406,-1.76,-1.77
200407,-1.24,-1.31
200408,0.33,0.32
200409,-0.46,-0.51
200410,4.83,4.80
200411,1.57,1.78
200412,1.17,1.28
200501,3.96,3.76
200502,2.29,2.14
200503,1.26,1.20
200504,1.76,1.79
200505,4.58,4.48
200506,3.54,3.53
200507,3.68,3.61
200508,0.23,0.22
200509,-0.48,-0.53
200510,0.17,0.14
200511,-1.13,-0.92
200512,1.80,1.91
200601,0.98,0.78
200602,-0.35,-0.50
200603,2.53,2.47
200604,2.26,2.29
200605,-0.11,-0.21
200606,-0.16,-0.17
200607,-0.21,-0.28
200608,-2.29,-2.30
200609,-1.37,-1.42
200610,0.40,0.37
200611,-1.14,-0.93
200612,-1.14,-1.03
200701,-2.36,-2.56
200702,-1.17,-1.32
200703,-3.25,-3.31
200704,-1.76,-1.73
200705,-4.70,-4.80
200706,-4.03,-4.04
200707,-3.43,-3.50
200708,-1.19,-1.20
200709,0.96,0.91
200710,-0.37,-0.40
200711,-2.30,-2.09
200712,0.76,0.87
200801,1.05,0.85
200802,0.32,0.17
200803,-1.69,-1.75
200804,-1.61,-1.58
200805,-0.42,-0.52
200806,-1.82,-1.83
200807,-1.81,-1.88
200808,-2.30,-2.31
200809,-1.84,-1.89
200810,-1.35,-1.38
200811,-0.59,-0.38
200812,0.15,0.26
200901,-0.95,-1.15
200902,-0.07,-0.22
200903,-1.27,-1.33
200904,0.38,0.41
200905,-2.22,-2.32
200906,1.63,1.62
200907,-1.30,-1.37
200908,-1.32,-1.33
200909,-2.04,-2.09
200910,0.40,0.37
200911,-2.36,-2.15
200912,0.31,0.42
201001,0.78,0.58
201002,-0.15,-0.30
201003,-0.38,-0.44
201004,1.46,1.49
201005,1.67,1.57
201006,-0.77,-0.78
201007,-0.85,-0.92
201008,-1.55,-1.56
201009,-1.34,-1.39
201010,3.99,3.96
201011,0.97,1.18
201012,4.60,4.71
201101,-0.99,-1.19
201102,0.52,0.37
201103,1.57,1.51
201104,1.52,1.55
201105,3.20,3.10
201106,2.49,2.48
201107,2.72,2.65
201108,-0.64,-0.65
201109,-0.48,-0.53
201110,0.28,0.25
201111,-1.27,-1.06
201112,-2.60,-2.49
201201,-1.42,-1.62
201202,-2.04,-2.19
201203,-1.49,-1.55
201204,-1.81,-1.78
201205,-4.66,-4.76
201206,-4.59,-4.60
201207,-1.79,-1.86
201208,0.24,0.23
201209,-0.69,-0.74
201210,-0.68,-0.71
201211,-2.09,-1.88
201212,1.91,2.02
201301,-0.87,-1.07
201302,-1.47,-1.62
201303,-2.97,-3.03
201304,-2.26,-2.23
201305,-2.43,-2.53
201306,-3.82,-3.83
201307,-1.83,-1.90
201308,-1.06,-1.07
201309,2.76,2.71
201310,-0.19,-0.22
201311,-1.04,-0.83
201312,-1.22,-1.11
201401,-2.74,-2.94
201402,-1.22,-1.37
201403,-1.57,-1.63
201404,-1.56,-1.53
201405,-3.14,-3.24
201406,-4.40,-4.41
201407,-2.20,-2.27
201408,2.45,2.44
201409,1.77,1.72
201410,-2.56,-2.59
201411,-1.12,-0.91
201412,0.10,0.21
201501,-2.65,-2.85
201502,-3.31,-3.46
201503,-4.56,-4.62
201504,-2.44,-2.41
201505,0.39,0.29
201506,-4.30,-4.31
201507,-0.41,-0.48
201508,-1.44,-1.45
201509,-1.35,-1.40
201510,2.33,2.30
201511,1.38,1.59
201512,1.10,1.21
201601,2.22,2.02
201602,-1.22,-1.37
201603,-0.84,-0.90
201604,1.00,1.03
201605,0.42,0.32
201606,-0.81,-0.82
201607,-1.93,-2.00
201608,-1.64,-1.65
201609,-0.02,-0.07
201610,1.39,1.36
201611,-2.04,-1.83
201612,2.33,2.44
201701,5.11,4.91
201702,1.89,1.74
201703,-0.25,-0.31
201704,0.79,0.82
201705,0.06,-0.04
201706,0.74,0.73
201707,0.08,0.01
201708,-0.44,-0.45
201709,1.37,1.32
201710,-1.71,-1.74
201711,-1.22,-1.01
201712,-2.83,-2.72
201801,-2.15,-2.35
201802,-2.37,-2.52
201803,0.45,0.39
201804,-1.25,-1.22
201805,-1.20,-1.30
201806,-4.14,-4.15
201807,-2.30,-2.37
201808,-2.42,-2.43
201809,-2.34,-2.39
201810,0.98,0.95
201811,-0.47,-0.26
201812,-0.29,-0.18
201901,0.26,0.06
201902,3.79,3.64
201903,3.00,2.94
201904,0.69,0.72
201905,5.79,5.69
201906,2.81,2.80
201907,2.43,2.36
201908,-1.06,-1.07
201909,0.91,0.86
201910,-1.22,-1.25
201911,-0.44,-0.23
201912,0.99,1.10
202001,-1.33,-1.53
202002,-2.09,-2.24
202003,-0.10,-0.16
202004,-1.19,-1.16
202005,-2.75,-2.85
202006,-2.07,-2.08
202007,-3.08,-3.15
202008,-2.87,-2.88
202009,-2.37,-2.42
202010,-2.73,-2.76
202011,-0.91,-0.70
202012,-1.35,-1.24
202101,-0.95,-1.15
202102,-1.16,-1.31
202103,-0.83,-0.89
202104,-2.04,-2.01
202105,-2.76,-2.86
202106,-4.43,-4.44
202107,-2.04,-2.11
202108,-2.28,-2.29
202109,-1.56,-1.61
202110,3.74,3.71
202111,-3.10,-2.89
202112,2.68,2.79
202201,-2.48,-2.68
202202,-2.23,-2.38
202203,-2.30,-2.36
202204,-1.70,-1.67
202205,-2.89,-2.99
202206,-3.84,-3.85
202207,-2.78,-2.85
202208,2.03,2.02
202209,0.36,0.31
202210,-1.76,-1.79
202211,0.86,1.07
202212,3.12,3.23
