#  New Hampshire Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.67,4.04
199702,3.03,3.44
199703,3.06,3.32
199704,3.18,3.41
199705,2.85,3.21
199706,1.88,2.22
199707,2.04,2.23
199708,2.45,2.60
199709,1.84,1.92
199710,1.01,1.14
199711,1.67,1.98
199712,1.12,1.48
199801,1.82,2.19
199802,1.83,2.24
199803,1.86,2.12
199804,-0.66,-0.43
199805,-0.99,-0.63
199806,2.59,2.93
199807,-0.07,0.12
199808,-0.31,-0.16
199809,-0.76,-0.68
199810,-0.53,-0.40
199811,-0.89,-0.58
199812,-1.62,-1.26
199901,1.25,1.62
199902,0.63,1.04
199903,1.29,1.55
199904,-1.43,-1.20
199905,-1.49,-1.13
199906,-2.05,-1.71
199907,-2.13,-1.94
199908,-2.34,-2.19
199909,1.91,1.99
199910,2.15,2.28
199911,-0.56,-0.25
199912,-1.25,-0.89
200001,0.23,0.60
200002,0.52,0.93
200003,0.43,0.69
200004,1.68,1.91
200005,1.83,2.19
200006,1.63,1.97
200007,2.19,2.38
200008,-0.06,0.09
200009,-0.16,-0.08
200010,-0.30,-0.17
200011,-0.41,-0.10
200012,-0.01,0.35
200101,-0.71,-0.34
200102,0.14,0.55
200103,1.28,1.54
200104,-1.19,-0.96
200105,-1.89,-1.53
200106,-1.59,-1.25
200107,-1.46,-1.27
200108,-2.40,-2.25
200109,-2.24,-2.16
200110,-2.93,-2.80
200111,-3.89,-3.58
200112,-4.11,-3.75
200201,-3.97,-3.60
200202,-3.50,-3.09
200203,-2.92,-2.66
200204,-2.37,-2.14
200205,-1.69,-1.33
200206,-0.56,-0.22
200207,-1.27,-1.08
200208,-2.20,-2.05
200209,-2.37,-2.29
200210,-2.26,-2.13
200211,-1.84,-1.53
200212,-1.72,-1.36
200301,-1.94,-1.57
200302,-1.85,-1.44
200303,-1.76,-1.50
200304,-1.76,-1.53
200305,-1.28,-0.92
200306,-1.59,-1.25
200307,-1.81,-1.62
200308,0.85,1.00
200309,1.39,1.47
200310,2.56,2.69
200311,2.10,2.41
200312,3.15,3.51
200401,-0.96,-0.59
200402,-1.69,-1.28
200403,-2.25,-1.99
200404,0.85,1.08
200405,1.25,1.61
200406,0.67,1.01
200407,0.98,1.17
200408,1.83,1.98
200409,2.12,2.20
200410,1.45,1.58
200411,1.30,1.61
200412,1.45,1.81
200501,1.23,1.60
200502,1.02,1.43
200503,1.16,1.42
200504,1.81,2.04
200505,2.33,2.69
200506,2.49,2.83
200507,2.26,2.45
200508,2.12,2.27
200509,1.67,1.75
200510,5.31,5.44
200511,5.34,5.65
200512,5.00,5.36
200601,4.91,5.28
200602,4.12,4.53
200603,2.81,3.07
200604,2.03,2.26
200605,3.79,4.15
200606,5.51,5.85
200607,5.56,5.75
200608,5.55,5.70
200609,4.74,4.82
200610,6.06,6.19
200611,5.47,5.78
200612,4.89,5.25
200701,4.32,4.69
200702,3.43,3.84
200703,3.13,3.39
200704,4.65,4.88
200705,4.00,4.36
200706,3.37,3.71
200707,3.58,3.77
200708,2.84,2.99
200709,2.30,2.38
200710,2.35,2.48
200711,2.31,2.62
200712,2.49,2.85
200801,1.94,2.31
200802,4.25,4.66
200803,4.58,4.84
200804,4.07,4.30
200805,2.71,3.07
200806,3.12,3.46
200807,4.19,4.38
200808,4.92,5.07
200809,5.65,5.73
200810,5.39,5.52
200811,4.97,5.28
200812,5.47,5.83
200901,4.79,5.16
200902,4.00,4.41
200903,3.33,3.59
200904,2.73,2.96
200905,2.76,3.12
200906,3.53,3.87
200907,5.01,5.20
200908,5.22,5.37
200909,4.13,4.21
200910,4.80,4.93
200911,4.15,4.46
200912,4.02,4.38
201001,3.39,3.76
201002,3.63,4.04
201003,4.76,5.02
201004,3.56,3.79
201005,2.44,2.80
201006,2.29,2.63
201007,1.69,1.88
201008,1.36,1.51
201009,0.67,0.75
201010,2.05,2.18
201011,1.65,1.96
201012,1.72,2.08
201101,1.24,1.61
201102,1.37,1.78
201103,1.86,2.12
201104,2.43,2.66
201105,2.52,2.88
201106,2.48,2.82
201107,1.63,1.82
201108,3.76,3.91
201109,4.32,4.40
201110,4.99,5.12
201111,-0.44,-0.13
201112,-0.18,0.18
201201,-0.21,0.16
201202,-1.12,-0.71
201203,-1.99,-1.73
201204,-2.15,-1.92
201205,0.53,0.89
201206,1.08,1.42
201207,0.50,0.69
201208,0.71,0.86
201209,1.10,1.18
201210,1.77,1.90
201211,-1.28,-0.97
201212,0.71,1.07
201301,-0.54,-0.17
201302,-0.41,0.00
201303,-0.87,-0.61
201304,-1.41,-1.18
201305,0.53,0.89
201306,1.72,2.06
201307,2.29,2.48
201308,2.05,2.20
201309,2.45,2.53
201310,1.51,1.64
201311,1.34,1.65
201312,1.19,1.55
201401,1.12,1.49
201402,1.38,1.79
201403,1.54,1.80
201404,1.06,1.29
201405,1.18,1.54
201406,1.01,1.35
201407,2.37,2.56
201408,2.27,2.42
201409,1.34,1.42
201410,1.83,1.96
201411,1.37,1.68
201412,1.96,2.32
201501,0.01,0.38
201502,-0.27,0.14
201503,-1.03,-0.77
201504,-1.29,-1.06
201505,-2.15,-1.79
201506,1.28,1.62
201507,1.11,1.30
201508,0.87,1.02
201509,1.15,1.23
201510,1.39,1.52
201511,-0.84,-0.53
201512,-0.15,0.21
201601,-0.68,-0.31
201602,0.91,1.32
201603,-0.14,0.12
201604,-0.60,-0.37
201605,-1.15,-0.79
201606,-1.58,-1.24
201607,-1.82,-1.63
201608,-1.79,-1.64
