#  New Hampshire Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.67,3.90
199702,3.03,3.26
199703,3.06,3.20
199704,3.18,3.30
199705,2.85,3.06
199706,1.88,2.06
199707,2.04,2.17
199708,2.45,2.49
199709,1.84,1.81
199710,1.01,0.99
199711,1.67,1.81
199712,1.12,1.37
199801,1.82,2.05
199802,1.83,2.06
199803,1.86,2.00
199804,1.00,1.12
199805,-0.99,-0.78
199806,2.59,2.77
199807,2.26,2.39
199808,1.77,1.81
199809,1.11,1.08
199810,1.15,1.13
199811,0.61,0.75
199812,-1.62,-1.37
199901,1.25,1.48
199902,0.63,0.86
199903,1.29,1.43
199904,-1.43,-1.31
199905,-1.49,-1.28
199906,-2.05,-1.87
199907,-2.13,-2.00
199908,-2.34,-2.30
199909,1.91,1.88
199910,2.15,2.13
199911,1.36,1.50
199912,-1.25,-1.00
200001,-0.89,-0.66
200002,0.52,0.75
200003,0.43,0.57
200004,1.68,1.80
200005,1.83,2.04
200006,1.63,1.81
200007,2.19,2.32
200008,1.91,1.95
200009,1.60,1.57
200010,1.29,1.27
200011,1.01,1.15
200012,1.26,1.51
200101,-0.71,-0.48
200102,0.14,0.37
200103,1.28,1.42
200104,-1.19,-1.07
200105,-1.89,-1.68
200106,-1.59,-1.41
200107,-1.46,-1.33
200108,-2.40,-2.36
200109,-2.24,-2.27
200110,-2.93,-2.95
200111,-3.89,-3.75
200112,-4.11,-3.86
200201,-3.97,-3.74
200202,-3.50,-3.27
200203,-2.92,-2.78
200204,-2.37,-2.25
200205,-1.69,-1.48
200206,-0.56,-0.38
200207,-1.27,-1.14
200208,-2.20,-2.16
200209,-2.37,-2.40
200210,-2.26,-2.28
200211,-1.84,-1.70
200212,-1.72,-1.47
200301,-1.94,-1.71
200302,-1.85,-1.62
200303,-1.76,-1.62
200304,-1.76,-1.64
200305,-1.28,-1.07
200306,-1.59,-1.41
200307,-1.81,-1.68
200308,-0.78,-0.74
200309,1.39,1.36
200310,2.56,2.54
200311,2.10,2.24
200312,3.15,3.40
200401,1.86,2.09
200402,0.84,1.07
200403,-2.25,-2.11
200404,-1.17,-1.05
200405,-0.56,-0.35
200406,-0.95,-0.77
200407,0.98,1.11
200408,1.83,1.87
200409,2.12,2.09
200410,1.45,1.43
200411,1.30,1.44
200412,1.45,1.70
200501,1.23,1.46
200502,1.02,1.25
200503,1.16,1.30
200504,1.81,1.93
200505,2.33,2.54
200506,2.49,2.67
200507,2.26,2.39
200508,2.12,2.16
200509,1.67,1.64
200510,5.31,5.29
200511,5.34,5.48
200512,5.00,5.25
200601,4.91,5.14
200602,4.12,4.35
200603,2.81,2.95
200604,2.03,2.15
200605,3.79,4.00
200606,5.51,5.69
200607,5.56,5.69
200608,5.55,5.59
200609,4.74,4.71
200610,6.06,6.04
200611,5.47,5.61
200612,4.89,5.14
200701,4.32,4.55
200702,3.43,3.66
200703,3.13,3.27
200704,4.65,4.77
200705,4.00,4.21
200706,3.37,3.55
200707,3.58,3.71
200708,2.84,2.88
200709,2.30,2.27
200710,2.35,2.33
200711,2.31,2.45
200712,2.49,2.74
200801,1.94,2.17
200802,4.25,4.48
200803,4.58,4.72
200804,4.07,4.19
200805,2.71,2.92
200806,3.12,3.30
200807,4.19,4.32
200808,4.92,4.96
200809,5.65,5.62
200810,5.39,5.37
200811,4.97,5.11
200812,5.47,5.72
200901,4.79,5.02
200902,4.00,4.23
200903,3.33,3.47
200904,2.73,2.85
200905,2.76,2.97
200906,3.53,3.71
200907,5.01,5.14
200908,5.22,5.26
200909,4.13,4.10
200910,4.80,4.78
200911,4.15,4.29
200912,4.02,4.27
201001,3.39,3.62
201002,3.63,3.86
201003,4.76,4.90
201004,3.56,3.68
201005,2.44,2.65
201006,2.29,2.47
201007,1.69,1.82
201008,1.36,1.40
201009,0.67,0.64
201010,2.05,2.03
201011,1.65,1.79
201012,1.72,1.97
201101,1.24,1.47
201102,1.37,1.60
201103,1.86,2.00
201104,2.43,2.55
201105,2.52,2.73
201106,2.48,2.66
201107,1.63,1.76
201108,3.76,3.80
201109,4.32,4.29
201110,4.99,4.97
201111,4.04,4.18
201112,3.84,4.09
201201,3.40,3.63
201202,2.12,2.35
201203,0.91,1.05
201204,-2.15,-2.03
201205,-1.41,-1.20
201206,-0.65,-0.47
201207,-1.05,-0.92
201208,-0.69,-0.65
201209,1.10,1.07
201210,1.77,1.75
201211,-1.28,-1.14
201212,0.71,0.96
201301,-0.54,-0.31
201302,-0.41,-0.18
201303,-0.87,-0.73
201304,-1.41,-1.29
201305,-0.73,-0.52
201306,1.72,1.90
201307,2.29,2.42
201308,2.05,2.09
201309,2.45,2.42
201310,1.51,1.49
201311,1.34,1.48
201312,1.19,1.44
201401,1.12,1.35
201402,1.38,1.61
201403,1.54,1.68
201404,1.06,1.18
201405,1.18,1.39
201406,1.01,1.19
201407,2.37,2.50
201408,2.27,2.31
201409,1.34,1.31
201410,1.83,1.81
201411,1.37,1.51
201412,1.96,2.21
201501,1.77,2.00
201502,1.31,1.54
201503,-1.03,-0.89
201504,-1.29,-1.17
201505,-2.15,-1.94
201506,-0.65,-0.47
201507,-0.61,-0.48
201508,-0.68,-0.64
201509,1.15,1.12
201510,1.39,1.37
201511,-0.84,-0.70
201512,-0.15,0.10
201601,-0.68,-0.45
201602,0.91,1.14
201603,-0.14,0.00
201604,-0.60,-0.48
201605,-1.15,-0.94
201606,-1.58,-1.40
201607,-1.82,-1.69
201608,-1.79,-1.75
201609,-2.56,-2.59
201610,-2.26,-2.28
201611,-2.68,-2.54
201612,-2.20,-1.95
201701,-2.18,-1.95
201702,-1.87,-1.64
201703,-1.82,-1.68
201704,-1.50,-1.38
201705,1.17,1.38
201706,1.57,1.75
201707,1.47,1.60
201708,1.41,1.45
201709,0.81,0.78
201710,2.02,2.00
201711,1.03,1.17
201712,0.82,1.07
201801,1.07,1.30
201802,1.20,1.43
201803,0.78,0.92
201804,1.36,1.48
201805,-1.02,-0.81
201806,-1.20,-1.02
201807,-0.89,-0.76
201808,0.84,0.88
201809,1.06,1.03
201810,1.55,1.53
201811,2.96,3.10
201812,2.58,2.83
201901,3.15,3.38
201902,2.81,3.04
201903,1.77,1.91
201904,2.51,2.63
201905,2.59,2.80
201906,2.92,3.10
201907,2.42,2.55
201908,2.28,2.32
201909,1.49,1.46
201910,2.04,2.02
201911,1.79,1.93
201912,2.16,2.41
202001,1.70,1.93
202002,1.73,1.96
202003,1.29,1.43
202004,1.79,1.91
202005,1.17,1.38
202006,-1.12,-0.94
202007,-1.05,-0.92
202008,-1.65,-1.61
202009,-2.54,-2.57
202010,-1.84,-1.86
202011,-2.19,-2.05
202012,-1.44,-1.19
202101,-1.76,-1.53
202102,-1.71,-1.48
202103,-2.28,-2.14
202104,-2.07,-1.95
202105,-2.24,-2.03
202106,-2.94,-2.76
202107,2.82,2.95
202108,2.44,2.48
202109,2.51,2.48
202110,2.72,2.70
202111,1.93,2.07
202112,1.64,1.89
202201,1.01,1.24
202202,1.59,1.82
202203,1.26,1.40
202204,1.36,1.48
202205,0.64,0.85
202206,-0.93,-0.75
202207,-1.08,-0.95
202208,-1.37,-1.33
202209,-0.67,-0.70
202210,-0.59,-0.61
202211,-0.87,-0.73
202212,1.04,1.29
