#  New Hampshire Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.67,3.95
199702,2.66,2.92
199703,3.03,3.22
199704,3.18,3.33
199705,2.79,3.04
199706,0.94,1.20
199707,1.48,1.61
199708,2.45,2.52
199709,1.30,1.36
199710,-0.37,-0.28
199711,1.22,1.46
199712,0.19,0.51
199801,1.76,2.04
199802,1.83,2.09
199803,1.86,2.05
199804,-0.02,0.13
199805,-0.99,-0.74
199806,2.59,2.85
199807,2.10,2.23
199808,1.24,1.31
199809,-0.06,0.00
199810,0.17,0.26
199811,-0.83,-0.59
199812,-1.62,-1.30
199901,1.25,1.53
199902,-0.35,-0.09
199903,1.29,1.48
199904,-1.43,-1.28
199905,-1.49,-1.24
199906,-2.05,-1.79
199907,-2.13,-2.00
199908,-2.34,-2.27
199909,1.91,1.97
199910,2.15,2.24
199911,0.53,0.77
199912,-1.25,-0.93
200001,-0.39,-0.11
200002,0.52,0.78
200003,0.43,0.62
200004,1.68,1.83
200005,1.83,2.08
200006,1.53,1.79
200007,2.19,2.32
200008,1.77,1.84
200009,1.24,1.30
200010,0.67,0.76
200011,0.18,0.42
200012,0.84,1.16
200101,-0.71,-0.43
200102,-0.50,-0.24
200103,1.28,1.47
200104,-1.19,-1.04
200105,-1.89,-1.64
200106,-1.37,-1.11
200107,-1.23,-1.10
200108,-2.40,-2.33
200109,-2.24,-2.18
200110,-2.93,-2.84
200111,-3.89,-3.65
200112,-4.11,-3.79
200201,-3.97,-3.69
200202,-3.38,-3.12
200203,-2.49,-2.30
200204,-1.59,-1.44
200205,-0.39,-0.14
200206,1.72,1.98
200207,0.12,0.25
200208,-1.73,-1.66
200209,-2.24,-2.18
200210,-2.24,-2.15
200211,-1.51,-1.27
200212,-1.42,-1.10
200301,-1.94,-1.66
200302,-1.85,-1.59
200303,-1.76,-1.57
200304,-1.76,-1.61
200305,-0.77,-0.52
200306,-1.59,-1.33
200307,-1.81,-1.68
200308,0.52,0.59
200309,1.39,1.45
200310,2.56,2.65
200311,1.78,2.02
200312,3.15,3.47
200401,0.63,0.91
200402,-1.35,-1.09
200403,-2.25,-2.06
200404,0.03,0.18
200405,1.24,1.49
200406,0.22,0.48
200407,0.98,1.11
200408,1.83,1.90
200409,2.12,2.18
200410,0.78,0.87
200411,0.58,0.82
200412,1.05,1.37
200501,0.69,0.97
200502,0.36,0.62
200503,0.72,0.91
200504,1.81,1.96
200505,2.33,2.58
200506,2.49,2.75
200507,2.24,2.37
200508,2.12,2.19
200509,1.29,1.35
200510,5.31,5.40
200511,5.34,5.58
200512,5.00,5.32
200601,4.91,5.19
200602,3.74,4.00
200603,1.39,1.58
200604,0.09,0.24
200605,3.79,4.04
200606,5.51,5.77
200607,5.56,5.69
200608,5.55,5.62
200609,4.41,4.47
200610,6.06,6.15
200611,5.46,5.70
200612,4.79,5.11
200701,4.10,4.38
200702,2.66,2.92
200703,2.37,2.56
200704,4.65,4.80
200705,3.75,4.00
200706,2.80,3.06
200707,3.58,3.71
200708,2.34,2.41
200709,1.47,1.53
200710,1.80,1.89
200711,1.94,2.18
200712,2.49,2.81
200801,1.49,1.77
200802,4.25,4.51
200803,4.58,4.77
200804,3.98,4.13
200805,1.49,1.74
200806,2.64,2.90
200807,4.19,4.32
200808,4.92,4.99
200809,5.65,5.71
200810,5.39,5.48
200811,4.97,5.21
200812,5.47,5.79
200901,4.61,4.89
200902,3.43,3.69
200903,2.42,2.61
200904,1.52,1.67
200905,1.86,2.11
200906,3.53,3.79
200907,5.01,5.14
200908,5.22,5.29
200909,3.47,3.53
200910,4.80,4.89
200911,3.91,4.15
200912,4.02,4.34
201001,3.07,3.35
201002,3.63,3.89
201003,4.76,4.95
201004,2.70,2.85
201005,0.71,0.96
201006,0.69,0.95
201007,-0.24,-0.11
201008,-0.64,-0.57
201009,-1.71,-1.65
201010,1.01,1.10
201011,0.47,0.71
201012,0.75,1.07
201101,0.09,0.37
201102,0.42,0.68
201103,1.08,1.27
201104,2.17,2.32
201105,2.52,2.77
201106,2.48,2.74
201107,0.81,0.94
201108,3.76,3.83
201109,4.32,4.38
201110,4.99,5.08
201111,3.49,3.73
201112,3.47,3.79
201201,2.93,3.21
201202,0.59,0.85
201203,-1.62,-1.43
201204,-2.15,-2.00
201205,-0.63,-0.38
201206,0.95,1.21
201207,-0.08,0.05
201208,0.56,0.63
201209,1.10,1.16
201210,1.77,1.86
201211,-1.28,-1.04
201212,0.71,1.03
201301,-0.54,-0.26
201302,-0.41,-0.15
201303,-0.87,-0.68
201304,-1.41,-1.26
201305,0.23,0.48
201306,1.72,1.98
201307,2.29,2.42
201308,1.97,2.04
201309,2.45,2.51
201310,0.56,0.65
201311,0.34,0.58
201312,0.17,0.49
201401,0.17,0.45
201402,0.82,1.08
201403,1.19,1.38
201404,0.28,0.43
201405,0.64,0.89
201406,0.40,0.66
201407,2.37,2.50
201408,2.27,2.34
201409,0.36,0.42
201410,1.63,1.72
201411,0.76,1.00
201412,1.96,2.28
201501,1.71,1.99
201502,0.80,1.06
201503,-1.03,-0.84
201504,-1.29,-1.14
201505,-2.15,-1.90
201506,1.15,1.41
201507,1.03,1.16
201508,0.72,0.79
201509,1.15,1.21
201510,1.39,1.48
201511,-0.84,-0.60
201512,0.60,0.92
201601,-0.68,-0.40
201602,0.91,1.17
201603,0.67,0.86
201604,-0.60,-0.45
201605,-1.15,-0.90
201606,-1.58,-1.32
201607,-1.82,-1.69
201608,-1.79,-1.72
201609,-2.56,-2.50
201610,-2.15,-2.06
201611,-2.68,-2.44
201612,-1.89,-1.57
201701,-2.05,-1.77
201702,-1.57,-1.31
201703,-1.63,-1.44
201704,-1.09,-0.94
201705,1.17,1.42
201706,1.57,1.83
201707,1.47,1.60
201708,1.41,1.48
201709,-0.02,0.04
201710,2.02,2.11
201711,-0.14,0.10
201712,-0.45,-0.13
201801,0.22,0.50
201802,0.63,0.89
201803,-0.14,0.05
201804,1.04,1.19
201805,-1.02,-0.77
201806,-1.20,-0.94
201807,-0.45,-0.32
201808,0.84,0.91
201809,1.06,1.12
201810,1.55,1.64
201811,2.96,3.20
201812,2.41,2.73
201901,3.15,3.43
201902,2.74,3.00
201903,0.73,0.92
201904,2.51,2.66
201905,2.59,2.84
201906,2.92,3.18
201907,2.11,2.24
201908,2.04,2.11
201909,0.52,0.58
201910,1.85,1.94
201911,1.50,1.74
201912,2.16,2.48
202001,1.32,1.60
202002,1.56,1.82
202003,0.71,0.90
202004,1.79,1.94
202005,0.46,0.71
202006,-1.12,-0.86
202007,-1.04,-0.91
202008,-1.65,-1.58
202009,-2.54,-2.48
202010,-1.20,-1.11
202011,-2.18,-1.94
202012,-0.67,-0.35
202101,-1.56,-1.28
202102,-1.62,-1.36
202103,-2.28,-2.09
202104,-2.03,-1.88
202105,-2.24,-1.99
202106,-2.94,-2.68
202107,2.82,2.95
202108,2.26,2.33
202109,2.51,2.57
202110,2.72,2.81
202111,1.22,1.46
202112,0.79,1.11
202201,-0.41,-0.13
202202,0.95,1.21
202203,0.43,0.62
202204,0.75,0.90
202205,-0.54,-0.29
202206,-0.93,-0.67
202207,-1.08,-0.95
202208,-1.37,-1.30
202209,0.37,0.43
202210,0.47,0.56
202211,-0.33,-0.09
202212,1.04,1.36
