#  New Hampshire Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,8.1,1.4
199702,14.3,7.0
199703,16.7,-1.7
199704,27.5,-2.0
199705,37.8,-2.2
199706,49.5,0.3
199707,53.3,-1.2
199708,52.8,0.5
199709,45.2,0.4
199710,33.1,-1.3
199711,24.8,-0.4
199712,15.7,3.2
199801,15.0,8.3
199802,17.6,10.3
199803,22.3,3.9
199804,31.3,1.8
199805,44.7,4.7
199806,52.1,2.9
199807,55.3,0.8
199808,54.3,2.0
199809,46.5,1.7
199810,37.5,3.1
199811,29.0,3.8
199812,20.0,7.5
199901,8.0,1.3
199902,13.3,6.0
199903,22.1,3.7
199904,30.2,0.7
199905,42.0,2.0
199906,52.5,3.3
199907,57.0,2.5
199908,53.0,0.7
199909,49.9,5.1
199910,32.4,-2.0
199911,30.6,5.4
199912,19.0,6.5
200001,6.9,0.2
200002,12.0,4.7
200003,24.3,5.9
200004,31.6,2.1
200005,41.0,1.0
200006,50.2,1.0
200007,52.5,-2.0
200008,53.0,0.7
200009,44.3,-0.5
200010,34.8,0.4
200011,28.7,3.5
200012,9.7,-2.8
200101,7.9,1.2
200102,9.9,2.6
200103,17.6,-0.8
200104,28.0,-1.5
200105,41.2,1.2
200106,51.9,2.7
200107,52.2,-2.3
200108,55.6,3.3
200109,45.4,0.6
200110,35.1,0.7
200111,29.3,4.1
200112,22.0,9.5
200201,18.2,11.5
200202,13.8,6.5
200203,21.3,2.9
200204,32.6,3.1
200205,38.5,-1.5
200206,48.9,-0.3
200207,55.5,1.0
200208,55.3,3.0
200209,48.8,4.0
200210,34.1,-0.3
200211,25.4,0.2
200212,13.5,1.0
200301,1.5,-5.2
200302,5.9,-1.4
200303,15.8,-2.6
200304,27.3,-2.2
200305,41.2,1.2
200306,51.0,1.8
200307,56.2,1.7
200308,57.6,5.3
200309,47.6,2.8
200310,34.5,0.1
200311,28.4,3.2
200312,14.8,2.3
200401,1.6,-5.1
200402,9.3,2.0
200403,22.7,4.3
200404,31.0,1.5
200405,43.1,3.1
200406,47.5,-1.7
200407,55.9,1.4
200408,55.1,2.8
200409,46.7,1.9
200410,35.2,0.8
200411,26.2,1.0
200412,13.9,1.4
200501,6.1,-0.6
200502,10.8,3.5
200503,15.7,-2.7
200504,31.2,1.7
200505,38.4,-1.6
200506,54.4,5.2
200507,57.2,2.7
200508,56.0,3.7
200509,48.9,4.1
200510,40.5,6.1
200511,26.8,1.6
200512,14.0,1.5
200601,17.2,10.5
200602,13.4,6.1
200603,20.2,1.8
200604,31.2,1.7
200605,43.6,3.6
200606,54.3,5.1
200607,58.8,4.3
200608,52.7,0.4
200609,46.0,1.2
200610,35.6,1.2
200611,32.4,7.2
200612,23.4,10.9
200701,12.5,5.8
200702,5.0,-2.3
200703,16.3,-2.1
200704,29.4,-0.1
200705,40.7,0.7
200706,50.8,1.6
200707,54.6,0.1
200708,53.0,0.7
200709,46.1,1.3
200710,40.8,6.4
200711,25.0,-0.2
200712,13.4,0.9
200801,12.1,5.4
200802,12.6,5.3
200803,16.8,-1.6
200804,30.8,1.3
200805,38.1,-1.9
200806,53.1,3.9
200807,57.4,2.9
200808,53.2,0.9
200809,47.5,2.7
200810,33.9,-0.5
200811,27.5,2.3
