#  New Jersey Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,4,-18
199706,99,-19
199707,266,13
199708,182,-18
199709,49,-12
199710,3,-1
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,50,28
199806,113,-5
199807,278,25
199808,276,76
199809,113,52
199810,4,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,21,-1
199906,167,49
199907,405,152
199908,263,63
199909,94,33
199910,0,-4
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,34,12
200006,155,37
200007,178,-75
200008,183,-17
200009,50,-11
200010,4,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,30,8
200106,174,56
200107,185,-68
200108,315,115
200109,54,-7
200110,4,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,15,-7
200206,151,33
200207,334,81
200208,323,123
200209,106,45
200210,4,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,6,-16
200306,90,-28
200307,283,30
200308,299,99
200309,88,27
200310,0,-4
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,86,64
200406,124,6
200407,242,-11
200408,223,23
200409,101,40
200410,3,-1
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,3,-19
200506,210,92
200507,328,75
200508,344,144
200509,158,97
200510,6,2
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,29,7
200606,150,32
200607,352,99
200608,270,70
200609,48,-13
200610,3,-1
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,44,22
200706,167,49
200707,258,5
200708,249,49
200709,107,46
200710,43,39
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,9,-13
200806,228,110
200807,329,76
200808,189,-11
200809,98,37
200810,3,-1
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,28,6
200906,94,-24
200907,204,-49
200908,294,94
200909,53,-8
200910,3,-1
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,2,2
201005,58,36
201006,252,134
201007,398,145
201008,293,93
201009,132,71
201010,5,1
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,54,32
201106,194,76
201107,397,144
201108,253,53
201109,127,66
201110,5,1
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,2,2
201204,0,0
201205,75,53
201206,149,31
201207,385,132
201208,289,89
201209,90,29
201210,10,6
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,24,2
201306,179,61
201307,387,134
201308,193,-7
201309,49,-12
201310,10,6
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,34,12
201406,165,47
201407,273,20
201408,180,-20
201409,89,28
201410,11,7
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,90,68
201506,153,35
201507,305,52
201508,279,79
201509,172,111
201510,3,-1
201511,0,0
201512,4,4
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,20,-2
201606,166,48
201607,364,111
201608,356,156
201609,146,85
201610,7,3
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,3,3
201705,18,-4
201706,160,42
201707,312,59
201708,198,-2
201709,115,54
201710,28,24
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,76,54
201806,150,32
201807,337,84
201808,352,152
201809,155,94
201810,7,3
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,2,2
201905,42,20
201906,164,46
201907,390,137
201908,282,82
201909,129,68
201910,15,11
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,14,-8
202006,187,69
202007,415,162
202008,315,115
202009,86,25
202010,8,4
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,24,2
202106,195,77
202107,320,67
202108,326,126
202109,123,62
202110,33,29
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,49,27
202206,145,27
202207,385,132
202208,367,167
202209,101,40
202210,3,-1
202211,0,0
202212,0,0
