#  New Jersey Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1094,-24
199702,770,-211
199703,756,-59
199704,507,26
199705,264,71
199706,24,0
199707,0,-1
199708,8,0
199709,81,5
199710,353,-7
199711,704,33
199712,915,-96
199801,833,-285
199802,740,-241
199803,688,-127
199804,390,-91
199805,110,-83
199806,21,-3
199807,0,-1
199808,0,-8
199809,33,-43
199810,322,-38
199811,622,-49
199812,786,-225
199901,1016,-102
199902,843,-138
199903,787,-28
199904,437,-44
199905,172,-21
199906,5,-19
199907,0,-1
199908,0,-8
199909,39,-37
199910,388,28
199911,508,-163
199912,866,-145
200001,1103,-15
200002,850,-131
200003,615,-200
200004,469,-12
200005,139,-54
200006,9,-15
200007,6,5
200008,8,0
200009,80,4
200010,332,-28
200011,670,-1
200012,1130,119
200101,1108,-10
200102,859,-122
200103,847,32
200104,419,-62
200105,145,-48
200106,6,-18
200107,5,4
200108,0,-8
200109,72,-4
200110,317,-43
200111,501,-170
200112,755,-256
200201,885,-233
200202,758,-223
200203,703,-112
200204,347,-134
200205,211,18
200206,8,-16
200207,0,-1
200208,0,-8
200209,33,-43
200210,362,2
200211,668,-3
200212,1000,-11
200301,1217,99
200302,1046,65
200303,753,-62
200304,508,27
200305,264,71
200306,32,8
200307,0,-1
200308,0,-8
200309,46,-30
200310,394,34
200311,509,-162
200312,931,-80
200401,1272,154
200402,909,-72
200403,702,-113
200404,403,-78
200405,73,-120
200406,18,-6
200407,0,-1
200408,4,-4
200409,36,-40
200410,368,8
200411,572,-99
200412,931,-80
200501,1107,-11
200502,877,-104
200503,882,67
200504,382,-99
200505,276,83
200506,0,-24
200507,0,-1
200508,0,-8
200509,14,-62
200510,292,-68
200511,544,-127
200512,1027,16
200601,835,-283
200602,875,-106
200603,734,-81
200604,361,-120
200605,150,-43
200606,8,-16
200607,0,-1
200608,0,-8
200609,82,6
200610,369,9
200611,476,-195
200612,735,-276
200701,897,-221
200702,1079,98
200703,767,-48
200704,506,25
200705,120,-73
200706,6,-18
200707,0,-1
200708,3,-5
200709,33,-43
200710,148,-212
200711,662,-9
200712,933,-78
200801,968,-150
200802,857,-124
200803,742,-73
200804,371,-110
200805,245,52
200806,0,-24
200807,0,-1
200808,7,-1
200809,38,-38
200810,380,20
200811,651,-20
200812,903,-108
200901,1204,86
200902,854,-127
200903,766,-49
200904,386,-95
200905,153,-40
200906,27,3
200907,4,3
200908,0,-8
200909,75,-1
200910,380,20
200911,486,-185
200912,966,-45
201001,1062,-56
201002,954,-27
201003,595,-220
201004,297,-184
201005,99,-94
201006,0,-24
201007,0,-1
201008,0,-8
201009,24,-52
201010,301,-59
201011,613,-58
201012,1073,62
201101,1187,69
201102,879,-102
201103,753,-62
201104,352,-129
201105,107,-86
201106,5,-19
201107,0,-1
201108,0,-8
201109,24,-52
201110,303,-57
201111,501,-170
201112,778,-233
201201,935,-183
201202,743,-238
201203,485,-330
201204,385,-96
201205,81,-112
201206,8,-16
201207,0,-1
201208,0,-8
201209,43,-33
201210,278,-82
201211,716,45
201212,776,-235
201301,981,-137
201302,917,-64
201303,828,13
201304,417,-64
201305,161,-32
201306,5,-19
201307,0,-1
201308,5,-3
201309,79,3
201310,268,-92
201311,678,7
201312,920,-91
201401,1229,111
201402,1017,36
201403,938,123
201404,453,-28
201405,136,-57
201406,6,-18
201407,0,-1
201408,6,-2
201409,41,-35
201410,267,-93
201411,707,36
201412,830,-181
201501,1173,55
201502,1217,236
201503,923,108
201504,418,-63
201505,66,-127
201506,9,-15
201507,0,-1
201508,0,-8
201509,11,-65
201510,341,-19
201511,475,-196
201512,552,-459
201601,1057,-61
201602,828,-153
201603,573,-242
201604,437,-44
201605,176,-17
201606,6,-18
201607,0,-1
201608,0,-8
201609,17,-59
201610,281,-79
201611,561,-110
201612,906,-105
201701,909,-209
201702,711,-270
201703,829,14
201704,288,-193
201705,185,-8
201706,7,-17
201707,0,-1
201708,5,-3
201709,27,-49
201710,179,-181
201711,637,-34
201712,1000,-11
201801,1133,15
201802,737,-244
201803,842,27
201804,528,47
201805,80,-113
201806,8,-16
201807,0,-1
201808,0,-8
201809,17,-59
201810,296,-64
201811,691,20
201812,860,-151
201901,1054,-64
201902,866,-115
201903,810,-5
201904,324,-157
201905,128,-65
201906,8,-16
201907,0,-1
201908,0,-8
201909,26,-50
201910,242,-118
201911,724,53
201912,908,-103
202001,877,-241
202002,741,-240
202003,595,-220
202004,503,22
202005,205,12
202006,4,-20
202007,0,-1
202008,0,-8
202009,45,-31
202010,276,-84
202011,488,-183
202012,881,-130
202101,989,-129
202102,941,-40
202103,669,-146
202104,384,-97
202105,165,-28
202106,4,-20
202107,0,-1
202108,0,-8
202109,26,-50
202110,170,-190
202111,655,-16
202112,754,-257
202201,1149,31
202202,845,-136
202203,675,-140
202204,429,-52
202205,113,-80
202206,11,-13
202207,0,-1
202208,0,-8
202209,37,-39
202210,356,-4
202211,536,-135
202212,931,-80
