#  New Jersey Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.96,4.01
199702,3.17,3.15
199703,3.07,3.10
199704,2.84,2.90
199705,2.42,2.56
199706,1.62,1.61
199707,1.65,1.62
199708,1.82,1.75
199709,1.24,1.05
199710,0.72,0.55
199711,0.73,0.88
199712,0.81,0.81
199801,1.05,1.10
199802,1.46,1.44
199803,1.64,1.67
199804,1.68,1.74
199805,2.01,2.15
199806,2.37,2.36
199807,-0.68,-0.71
199808,-1.40,-1.47
199809,-2.05,-2.24
199810,-2.42,-2.59
199811,-3.24,-3.09
199812,-4.14,-4.14
199901,-2.77,-2.72
199902,-2.58,-2.60
199903,-1.94,-1.91
199904,-2.18,-2.12
199905,-2.29,-2.15
199906,-2.91,-2.92
199907,-4.04,-4.07
199908,-3.79,-3.86
199909,1.52,1.33
199910,1.68,1.51
199911,-0.45,-0.30
199912,-0.61,-0.61
200001,-0.64,-0.59
200002,-0.99,-1.01
200003,-0.84,-0.81
200004,-0.92,-0.86
200005,-0.96,-0.82
200006,0.22,0.21
200007,0.84,0.81
200008,1.27,1.20
200009,1.78,1.59
200010,-0.73,-0.90
200011,-0.81,-0.66
200012,-0.62,-0.62
200101,-0.67,-0.62
200102,-0.81,-0.83
200103,0.81,0.84
200104,-0.80,-0.74
200105,-1.04,-0.90
200106,0.52,0.51
200107,-0.22,-0.25
200108,-0.61,-0.68
200109,-0.86,-1.05
200110,-1.85,-2.02
200111,-2.94,-2.79
200112,-3.62,-3.62
200201,-4.17,-4.12
200202,-4.99,-5.01
200203,-4.48,-4.45
200204,-4.19,-4.13
200205,-3.63,-3.49
200206,-2.80,-2.81
200207,-3.38,-3.41
200208,-3.59,-3.66
200209,-3.40,-3.59
200210,1.09,0.92
200211,1.55,1.70
200212,1.80,1.80
200301,1.32,1.37
200302,1.97,1.95
200303,1.78,1.81
200304,1.31,1.37
200305,1.23,1.37
200306,3.07,3.06
200307,2.67,2.64
200308,2.48,2.41
200309,2.98,2.79
200310,3.62,3.45
200311,3.42,3.57
200312,3.87,3.87
200401,2.96,3.01
200402,2.45,2.43
200403,1.86,1.89
200404,2.15,2.21
200405,1.60,1.74
200406,1.19,1.18
200407,2.07,2.04
200408,2.15,2.08
200409,2.72,2.53
200410,2.33,2.16
200411,2.43,2.58
200412,2.19,2.19
200501,2.34,2.39
200502,-0.27,-0.29
200503,0.12,0.15
200504,0.24,0.30
200505,-0.32,-0.18
200506,-0.49,-0.50
200507,-0.47,-0.50
200508,-1.39,-1.46
200509,-2.40,-2.59
200510,2.88,2.71
200511,2.66,2.81
200512,2.49,2.49
200601,2.79,2.84
200602,-0.57,-0.59
200603,-1.74,-1.71
200604,-1.78,-1.72
200605,-1.96,-1.82
200606,1.61,1.60
200607,1.71,1.68
200608,1.37,1.30
200609,1.93,1.74
200610,3.14,2.97
200611,3.47,3.62
200612,2.53,2.53
200701,2.28,2.33
200702,1.61,1.59
200703,1.48,1.51
200704,3.10,3.16
200705,-0.89,-0.75
200706,-0.82,-0.83
200707,-0.82,-0.85
200708,-0.89,-0.96
200709,-1.85,-2.04
200710,-1.42,-1.59
200711,-1.79,-1.64
200712,0.62,0.62
200801,0.04,0.09
200802,1.02,1.00
200803,0.00,0.03
200804,-0.56,-0.50
200805,-0.22,-0.08
200806,-0.61,-0.62
200807,-0.85,-0.88
200808,-1.54,-1.61
200809,0.53,0.34
200810,0.36,0.19
200811,0.36,0.51
200812,1.34,1.34
200901,-0.15,-0.10
200902,-1.23,-1.25
200903,-1.85,-1.82
200904,0.11,0.17
200905,0.19,0.33
200906,1.48,1.47
200907,1.71,1.68
200908,2.52,2.45
200909,2.51,2.32
200910,3.44,3.27
200911,2.55,2.70
200912,3.78,3.78
201001,3.13,3.18
201002,3.57,3.55
201003,4.74,4.77
201004,-0.73,-0.67
201005,-1.02,-0.88
201006,-1.72,-1.73
201007,-2.08,-2.11
201008,-2.84,-2.91
201009,-3.07,-3.26
201010,-2.36,-2.53
201011,-2.73,-2.58
201012,-2.53,-2.53
201101,0.00,0.05
201102,0.02,0.00
201103,0.58,0.61
201104,1.03,1.09
201105,0.71,0.85
201106,0.40,0.39
201107,0.04,0.01
201108,3.36,3.29
201109,4.11,3.92
201110,4.22,4.05
201111,3.79,3.94
201112,3.56,3.56
201201,-0.27,-0.22
201202,-1.14,-1.16
201203,-2.25,-2.22
201204,-2.48,-2.42
201205,-2.35,-2.21
201206,-1.90,-1.91
201207,-2.08,-2.11
201208,-2.03,-2.10
201209,0.09,-0.10
201210,0.74,0.57
201211,0.04,0.19
201212,0.66,0.66
201301,-0.15,-0.10
201302,-0.17,-0.19
201303,-0.50,-0.47
201304,-0.96,-0.90
201305,-0.95,-0.81
201306,2.20,2.19
201307,2.22,2.19
201308,2.21,2.14
201309,-0.40,-0.59
201310,-0.95,-1.12
201311,-1.20,-1.05
201312,0.42,0.42
201401,0.29,0.34
201402,1.18,1.16
201403,1.21,1.24
201404,1.29,1.35
201405,1.32,1.46
201406,-0.21,-0.22
201407,0.27,0.24
201408,-0.04,-0.11
201409,-0.48,-0.67
201410,-0.50,-0.67
201411,0.20,0.35
201412,0.53,0.53
201501,0.88,0.93
201502,0.45,0.43
201503,0.76,0.79
201504,-0.49,-0.43
201505,-1.59,-1.45
201506,1.54,1.53
201507,-0.17,-0.20
201508,-0.91,-0.98
201509,-1.17,-1.36
201510,-1.00,-1.17
201511,-1.60,-1.45
201512,-1.39,-1.39
201601,-1.30,-1.25
201602,-0.74,-0.76
201603,-1.69,-1.66
201604,-2.12,-2.06
201605,-1.65,-1.51
201606,-2.05,-2.06
201607,-1.23,-1.26
201608,-2.00,-2.07
201609,-2.17,-2.36
201610,-2.46,-2.63
201611,-2.93,-2.78
201612,-2.95,-2.95
201701,-2.58,-2.53
201702,-3.11,-3.13
201703,-2.71,-2.68
201704,-2.70,-2.64
201705,0.82,0.96
201706,0.54,0.53
201707,1.05,1.02
201708,1.27,1.20
201709,-0.46,-0.65
201710,-0.04,-0.21
201711,-0.59,-0.44
201712,-1.18,-1.18
201801,-1.29,-1.24
201802,1.24,1.22
201803,1.43,1.46
201804,1.50,1.56
201805,1.72,1.86
201806,1.35,1.34
201807,1.62,1.59
201808,1.68,1.61
201809,2.59,2.40
201810,2.93,2.76
201811,4.37,4.52
201812,4.72,4.72
201901,4.66,4.71
201902,4.28,4.26
201903,3.82,3.85
201904,3.27,3.33
201905,3.72,3.86
201906,3.85,3.84
201907,3.98,3.95
201908,-0.14,-0.21
201909,-0.98,-1.17
201910,0.60,0.43
201911,0.11,0.26
201912,0.73,0.73
202001,-0.49,-0.44
202002,-0.69,-0.71
202003,-0.97,-0.94
202004,-0.75,-0.69
202005,-1.12,-0.98
202006,-1.37,-1.38
202007,0.41,0.38
202008,0.72,0.65
202009,0.84,0.65
202010,1.43,1.26
202011,1.36,1.51
202012,1.85,1.85
202101,1.08,1.13
202102,1.78,1.76
202103,-0.18,-0.15
202104,-0.82,-0.76
202105,-0.81,-0.67
202106,-0.97,-0.98
202107,0.97,0.94
202108,1.59,1.52
202109,2.28,2.09
202110,2.69,2.52
202111,-0.76,-0.61
202112,-1.57,-1.57
202201,-1.39,-1.34
202202,-1.43,-1.45
202203,-1.90,-1.87
202204,-1.30,-1.24
202205,-0.88,-0.74
202206,-0.93,-0.94
202207,-1.77,-1.80
202208,-2.75,-2.82
202209,-2.97,-3.16
202210,-1.80,-1.97
202211,-1.97,-1.82
202212,-1.30,-1.30
