#  New Jersey Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.96,3.83
199702,3.17,2.99
199703,3.07,2.92
199704,2.84,2.72
199705,2.42,2.36
199706,1.62,1.57
199707,1.65,1.52
199708,1.82,1.65
199709,1.24,1.09
199710,0.72,0.58
199711,0.73,0.68
199712,0.81,0.72
199801,1.05,0.92
199802,1.46,1.28
199803,1.64,1.49
199804,1.68,1.56
199805,2.01,1.95
199806,2.37,2.32
199807,1.45,1.32
199808,-1.40,-1.57
199809,-2.05,-2.20
199810,-2.42,-2.56
199811,-3.24,-3.29
199812,-4.14,-4.23
199901,-2.77,-2.90
199902,-2.58,-2.76
199903,-1.94,-2.09
199904,-2.18,-2.30
199905,-2.29,-2.35
199906,-2.91,-2.96
199907,-4.04,-4.17
199908,-3.79,-3.96
199909,-1.88,-2.03
199910,-1.37,-1.51
199911,-1.68,-1.73
199912,-1.72,-1.81
200001,-1.63,-1.76
200002,-1.88,-2.06
200003,-1.64,-1.79
200004,-1.64,-1.76
200005,-1.60,-1.66
200006,-1.21,-1.26
200007,0.84,0.71
200008,1.27,1.10
200009,1.78,1.63
200010,0.87,0.73
200011,0.62,0.57
200012,0.67,0.58
200101,-0.67,-0.80
200102,-0.81,-0.99
200103,0.81,0.66
200104,-0.80,-0.92
200105,-1.04,-1.10
200106,0.52,0.47
200107,-0.22,-0.35
200108,-0.61,-0.78
200109,-0.86,-1.01
200110,-1.85,-1.99
200111,-2.94,-2.99
200112,-3.62,-3.71
200201,-4.17,-4.30
200202,-4.99,-5.17
200203,-4.48,-4.63
200204,-4.19,-4.31
200205,-3.63,-3.69
200206,-2.80,-2.85
200207,-3.38,-3.51
200208,-3.59,-3.76
200209,-3.40,-3.55
200210,-1.96,-2.10
200211,-1.18,-1.23
200212,-0.65,-0.74
200301,-0.88,-1.01
200302,1.97,1.79
200303,1.78,1.63
200304,1.31,1.19
200305,1.23,1.17
200306,3.07,3.02
200307,2.67,2.54
