#  New Jersey Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.83,3.80
199702,2.56,2.50
199703,2.67,2.65
199704,2.49,2.47
199705,1.87,1.99
199706,0.44,0.48
199707,0.67,0.64
199708,1.17,1.08
199709,0.21,0.14
199710,-0.64,-0.75
199711,-0.47,-0.44
199712,-0.22,-0.27
199801,0.29,0.26
199802,0.84,0.78
199803,1.20,1.18
199804,1.40,1.38
199805,2.01,2.13
199806,2.37,2.41
199807,0.50,0.47
199808,-1.40,-1.49
199809,-2.05,-2.12
199810,-2.42,-2.53
199811,-3.24,-3.21
199812,-4.14,-4.19
199901,-1.63,-1.66
199902,-1.52,-1.58
199903,-0.45,-0.47
199904,-1.17,-1.19
199905,-1.59,-1.47
199906,-2.91,-2.87
199907,-4.04,-4.07
199908,-3.79,-3.88
199909,-0.05,-0.12
199910,0.77,0.66
199911,-0.11,-0.08
199912,-0.39,-0.44
200001,-0.42,-0.45
200002,-1.06,-1.12
200003,-0.76,-0.78
200004,-0.88,-0.90
200005,-0.88,-0.76
200006,-0.31,-0.27
200007,0.84,0.81
200008,1.27,1.18
200009,1.78,1.71
200010,-0.27,-0.38
200011,-0.72,-0.69
200012,-0.48,-0.53
200101,-0.67,-0.70
200102,-0.81,-0.87
200103,0.81,0.79
200104,-0.80,-0.82
200105,-1.04,-0.92
200106,0.52,0.56
200107,0.25,0.22
200108,-0.61,-0.70
200109,-0.86,-0.93
200110,-1.85,-1.96
200111,-2.94,-2.91
200112,-3.62,-3.67
200201,-4.17,-4.20
200202,-4.99,-5.05
200203,-4.43,-4.45
200204,-4.19,-4.21
200205,-3.42,-3.30
200206,-2.01,-1.97
200207,-3.38,-3.41
200208,-3.59,-3.68
200209,-3.40,-3.47
200210,-0.60,-0.71
200211,0.83,0.86
200212,1.70,1.65
200301,1.00,0.97
200302,1.97,1.91
200303,1.72,1.70
200304,0.77,0.75
200305,0.73,0.85
200306,3.07,3.11
200307,2.51,2.48
200308,2.35,2.26
200309,2.98,2.91
200310,3.62,3.51
200311,3.42,3.45
200312,3.87,3.82
200401,2.31,2.28
200402,1.52,1.46
200403,0.53,0.51
200404,1.33,1.31
200405,0.42,0.54
200406,-0.21,-0.17
200407,1.57,1.54
200408,1.86,1.77
200409,2.72,2.65
200410,2.13,2.02
200411,2.43,2.46
200412,2.14,2.09
200501,2.34,2.31
200502,1.40,1.34
200503,1.43,1.41
200504,1.49,1.47
200505,0.53,0.65
200506,-0.07,-0.03
200507,-0.22,-0.25
200508,-1.39,-1.48
200509,-2.40,-2.47
200510,2.88,2.77
200511,2.66,2.69
200512,2.49,2.44
