#  New Jersey Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,38.9,0.7
199702,47.6,7.8
199703,51.0,1.9
199704,59.8,-0.6
199705,68.6,-2.7
199706,79.8,0.1
199707,85.8,1.7
199708,81.9,-0.2
199709,75.2,-0.5
199710,65.6,0.5
199711,50.3,-2.3
199712,44.2,2.8
199801,46.7,8.5
199802,47.3,7.5
199803,52.4,3.3
199804,63.8,3.4
199805,73.6,2.3
199806,77.9,-1.8
199807,85.2,1.1
199808,85.2,3.1
199809,79.8,4.1
199810,65.5,0.4
199811,55.6,3.0
199812,49.5,8.1
199901,42.9,4.7
199902,45.0,5.2
199903,50.1,1.0
199904,62.8,2.4
199905,72.2,0.9
199906,82.2,2.5
199907,90.0,5.9
199908,84.6,2.5
199909,76.4,0.7
199910,64.5,-0.6
199911,58.4,5.8
199912,46.3,4.9
200001,39.2,1.0
200002,44.7,4.9
200003,56.8,7.7
200004,59.8,-0.6
200005,72.8,1.5
200006,80.5,0.8
200007,80.6,-3.5
200008,79.8,-2.3
200009,74.7,-1.0
200010,66.6,1.5
200011,52.4,-0.2
200012,37.9,-3.5
200101,38.8,0.6
200102,44.1,4.3
200103,46.7,-2.4
200104,62.9,2.5
200105,73.1,1.8
200106,81.7,2.0
200107,82.2,-1.9
200108,85.9,3.8
200109,76.2,0.5
200110,67.6,2.5
200111,60.6,8.0
200112,50.6,9.2
200201,45.7,7.5
200202,49.4,9.6
200203,53.3,4.2
200204,65.6,5.2
200205,70.9,-0.4
200206,81.4,1.7
200207,87.4,3.3
200208,86.9,4.8
200209,79.0,3.3
200210,63.1,-2.0
200211,52.0,-0.6
200212,41.5,0.1
200301,33.9,-4.3
200302,36.6,-3.2
200303,52.4,3.3
200304,58.7,-1.7
200305,66.2,-5.1
200306,76.8,-2.9
200307,84.5,0.4
200308,84.3,2.2
200309,75.6,-0.1
200310,63.6,-1.5
200311,57.8,5.2
200312,44.0,2.6
200401,32.1,-6.1
200402,42.6,2.8
200403,52.1,3.0
200404,62.5,2.1
200405,77.0,5.7
200406,79.2,-0.5
200407,82.4,-1.7
200408,81.6,-0.5
200409,77.4,1.7
200410,63.0,-2.1
200411,55.9,3.3
200412,44.7,3.3
200501,38.1,-0.1
200502,43.6,3.8
200503,46.1,-3.0
200504,64.9,4.5
200505,68.1,-3.2
200506,82.7,3.0
200507,85.6,1.5
200508,86.4,4.3
200509,82.5,6.8
200510,64.7,-0.4
200511,58.3,5.7
200512,41.1,-0.3
200601,48.3,10.1
200602,43.4,3.6
200603,52.0,2.9
200604,65.9,5.5
200605,73.1,1.8
200606,79.5,-0.2
200607,86.7,2.6
200608,84.7,2.6
200609,73.7,-2.0
200610,64.4,-0.7
200611,58.3,5.7
200612,51.4,10.0
200701,45.2,7.0
200702,34.9,-4.9
200703,52.6,3.5
200704,58.6,-1.8
200705,76.0,4.7
200706,81.6,1.9
200707,84.1,0.0
200708,83.5,1.4
200709,79.6,3.9
200710,72.1,7.0
200711,52.7,0.1
200712,42.8,1.4
200801,43.1,4.9
200802,44.8,5.0
200803,52.1,3.0
200804,64.3,3.9
200805,69.5,-1.8
200806,84.5,4.8
200807,86.8,2.7
200808,82.9,0.8
200809,77.3,1.6
200810,64.8,-0.3
200811,51.7,-0.9
200812,45.7,4.3
200901,35.0,-3.2
200902,45.2,5.4
200903,51.0,1.9
200904,63.5,3.1
200905,71.7,0.4
200906,76.4,-3.3
200907,82.3,-1.8
200908,84.3,2.2
200909,74.0,-1.7
200910,62.8,-2.3
200911,57.4,4.8
200912,42.6,1.2
201001,39.2,1.0
201002,37.9,-1.9
201003,56.2,7.1
201004,68.1,7.7
201005,75.3,4.0
201006,85.1,5.4
201007,89.2,5.1
201008,85.1,3.0
201009,80.4,4.7
201010,66.3,1.2
201011,54.9,2.3
201012,38.3,-3.1
201101,35.5,-2.7
201102,44.9,5.1
201103,51.0,1.9
201104,63.8,3.4
201105,74.0,2.7
201106,82.5,2.8
201107,89.2,5.1
201108,83.4,1.3
201109,76.8,1.1
201110,65.7,0.6
201111,59.6,7.0
201112,50.1,8.7
201201,44.7,6.5
201202,48.2,8.4
201203,60.5,11.4
201204,64.4,4.0
201205,74.8,3.5
201206,80.9,1.2
201207,88.5,4.4
201208,84.6,2.5
201209,77.2,1.5
201210,65.7,0.6
201211,50.4,-2.2
201212,48.3,6.9
201301,41.8,3.6
201302,40.6,0.8
201303,47.1,-2.0
201304,62.8,2.4
201305,71.8,0.5
201306,81.4,1.7
201307,86.5,2.4
201308,80.8,-1.3
201309,75.8,0.1
201310,67.4,2.3
201311,52.8,0.2
201312,44.6,3.2
201401,36.0,-2.2
201402,38.8,-1.0
201403,45.6,-3.5
201404,62.1,1.7
201405,72.7,1.4
201406,81.5,1.8
201407,84.3,0.2
201408,81.6,-0.5
201409,77.4,1.7
201410,66.7,1.6
201411,51.1,-1.5
201412,45.9,4.5
201501,36.3,-1.9
201502,32.3,-7.5
201503,45.8,-3.3
201504,62.9,2.5
201505,78.3,7.0
201506,79.8,0.1
201507,84.9,0.8
201508,85.8,3.7
201509,81.6,5.9
201510,65.4,0.3
201511,59.7,7.1
201512,56.0,14.6
201601,40.9,2.7
201602,45.5,5.7
201603,58.1,9.0
201604,62.8,2.4
201605,70.0,-1.3
201606,82.2,2.5
201607,87.5,3.4
201608,87.4,5.3
201609,80.4,4.7
201610,67.2,2.1
201611,57.5,4.9
201612,44.8,3.4
201701,43.3,5.1
201702,50.5,10.7
201703,48.6,-0.5
201704,66.8,6.4
201705,69.5,-1.8
201706,81.3,1.6
201707,85.0,0.9
201708,81.4,-0.7
201709,78.2,2.5
201710,71.1,6.0
201711,54.8,2.2
201712,41.2,-0.2
201801,38.9,0.7
201802,48.6,8.8
201803,46.6,-2.5
201804,58.8,-1.6
201805,76.0,4.7
201806,80.4,0.7
201807,86.7,2.6
201808,86.0,3.9
201809,77.6,1.9
201810,65.1,0.0
201811,50.8,-1.8
201812,45.8,4.4
201901,40.6,2.4
201902,43.2,3.4
201903,49.5,0.4
201904,65.6,5.2
201905,72.6,1.3
201906,81.1,1.4
201907,88.3,4.2
201908,84.3,2.2
201909,80.1,4.4
201910,67.4,2.3
201911,51.2,-1.4
201912,44.6,3.2
202001,45.9,7.7
202002,47.7,7.9
202003,56.1,7.0
202004,58.6,-1.8
202005,69.5,-1.8
202006,82.6,2.9
202007,88.7,4.6
202008,84.8,2.7
202009,76.6,0.9
202010,66.2,1.1
202011,60.2,7.6
202012,45.4,4.0
202101,41.2,3.0
202102,39.1,-0.7
202103,55.0,5.9
202104,64.3,3.9
202105,72.8,1.5
202106,82.6,2.9
202107,85.6,1.5
202108,84.8,2.7
202109,78.4,2.7
202110,70.0,4.9
202111,54.3,1.7
202112,49.5,8.1
202201,37.8,-0.4
202202,47.0,7.2
202203,54.5,5.4
202204,61.8,1.4
202205,73.5,2.2
202206,80.9,1.2
202207,88.4,4.3
202208,88.1,6.0
202209,78.0,2.3
202210,64.3,-0.8
202211,58.1,5.5
202212,44.8,3.4
