#  New Jersey Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,21.8,0.8
199702,28.5,7.1
199703,31.4,2.0
199704,37.0,-1.3
199705,45.5,-2.8
199706,55.8,-1.6
199707,62.2,-0.6
199708,60.2,-0.9
199709,53.6,-0.7
199710,42.7,-0.2
199711,33.9,0.2
199712,27.9,3.3
199801,30.9,9.9
199802,30.8,9.4
199803,34.1,4.7
199804,41.0,2.7
199805,52.9,4.6
199806,59.1,1.7
199807,63.5,0.7
199808,63.1,2.0
199809,56.8,2.5
199810,44.8,1.9
199811,33.8,0.1
199812,30.5,5.9
199901,23.2,2.2
199902,25.7,4.3
199903,30.0,0.6
199904,38.7,0.4
199905,48.8,0.5
199906,59.1,1.7
199907,66.6,3.8
199908,63.1,2.0
199909,58.0,3.7
199910,41.5,-1.4
199911,38.7,5.0
199912,29.0,4.4
200001,20.9,-0.1
200002,26.0,4.6
200003,34.4,5.0
200004,39.8,1.5
200005,51.3,3.0
200006,60.2,2.8
200007,61.3,-1.5
200008,62.2,1.1
200009,54.1,-0.2
200010,43.0,0.1
200011,33.6,-0.1
200012,20.2,-4.4
200101,20.8,-0.2
200102,25.8,4.4
200103,29.6,0.2
200104,39.9,1.6
200105,50.1,1.8
200106,60.3,2.9
200107,60.1,-2.7
200108,65.2,4.1
200109,53.3,-1.0
200110,43.2,0.3
200111,37.1,3.4
200112,31.7,7.1
200201,28.2,7.2
200202,27.3,5.9
200203,32.4,3.0
200204,42.3,4.0
200205,47.5,-0.8
200206,58.9,1.5
200207,64.9,2.1
200208,64.7,3.6
200209,56.7,2.4
200210,45.2,2.3
200211,34.3,0.6
200212,25.1,0.5
200301,18.9,-2.1
200302,19.9,-1.5
200303,30.2,0.8
200304,38.4,0.1
200305,47.6,-0.7
200306,58.0,0.6
200307,64.5,1.7
200308,65.8,4.7
200309,58.3,4.0
200310,42.2,-0.7
200311,39.2,5.5
200312,26.9,2.3
200401,17.1,-3.9
200402,23.6,2.2
200403,33.6,4.2
200404,41.3,3.0
200405,54.9,6.6
200406,58.8,1.4
200407,64.0,1.2
200408,63.2,2.1
200409,57.8,3.5
200410,44.3,1.4
200411,36.7,3.0
200412,26.5,1.9
200501,22.1,1.1
200502,24.8,3.4
200503,28.1,-1.3
200504,40.0,1.7
200505,45.1,-3.2
200506,61.6,4.2
200507,66.4,3.6
200508,66.5,5.4
200509,57.9,3.6
200510,47.9,5.0
200511,36.4,2.7
200512,24.0,-0.6
200601,29.1,8.1
200602,25.0,3.6
200603,31.7,2.3
200604,41.0,2.7
200605,49.7,1.4
200606,60.6,3.2
200607,66.8,4.0
200608,63.7,2.6
200609,54.9,0.6
200610,42.9,0.0
200611,40.8,7.1
200612,31.9,7.3
