#  New Jersey Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.18,-0.27
199702,-1.12,-1.20
199703,0.68,0.68
199704,0.26,0.25
199705,-0.39,-0.16
199706,-1.64,-1.73
199707,0.57,0.47
199708,1.02,0.86
199709,-1.17,-1.20
199710,-1.19,-1.29
199711,0.27,0.59
199712,0.45,0.29
199801,0.97,0.88
199802,1.56,1.48
199803,0.98,0.98
199804,0.63,0.62
199805,1.51,1.74
199806,1.71,1.62
199807,-2.03,-2.13
199808,-2.36,-2.52
199809,-2.41,-2.44
199810,-1.73,-1.83
199811,-3.23,-2.91
199812,-3.69,-3.85
199901,2.82,2.73
199902,-0.28,-0.36
199903,1.14,1.14
199904,-1.33,-1.34
199905,-0.99,-0.76
199906,-2.58,-2.67
199907,-4.29,-4.39
199908,-0.50,-0.66
199909,4.55,4.52
199910,0.95,0.85
199911,-1.36,-1.04
199912,-0.62,-0.78
200001,-0.27,-0.36
200002,-1.26,-1.34
200003,0.15,0.15
200004,-0.51,-0.52
200005,-0.39,-0.16
200006,0.67,0.58
200007,1.93,1.83
200008,1.52,1.36
200009,1.94,1.91
200010,-2.19,-2.29
200011,-0.48,-0.16
200012,0.33,0.17
200101,-0.35,-0.44
200102,-0.60,-0.68
200103,2.43,2.43
200104,-2.39,-2.40
200105,-0.98,-0.75
200106,1.57,1.48
200107,-0.65,-0.75
200108,-1.25,-1.41
200109,-0.93,-0.96
200110,-3.25,-3.35
200111,-3.83,-3.51
200112,-2.96,-3.12
200201,-2.75,-2.84
200202,-3.75,-3.83
200203,-0.02,-0.02
200204,-0.50,-0.51
200205,0.38,0.61
200206,1.37,1.28
200207,-2.60,-2.70
200208,-1.69,-1.85
200209,-0.52,-0.55
200210,3.27,3.17
200211,1.72,2.04
200212,1.24,1.08
200301,-0.90,-0.99
200302,2.38,2.30
200303,0.02,0.02
200304,-0.87,-0.88
200305,0.19,0.42
200306,5.89,5.80
200307,-0.25,-0.35
200308,0.24,0.08
200309,2.28,2.25
200310,2.83,2.73
200311,0.54,0.86
200312,2.40,2.24
200401,-1.53,-1.62
200402,-0.62,-0.70
200403,-1.00,-1.00
200404,1.42,1.41
200405,-0.98,-0.75
200406,-0.74,-0.83
200407,3.02,2.92
200408,0.88,0.72
200409,2.37,2.34
200410,-0.32,-0.42
200411,1.00,1.32
200412,0.03,-0.13
200501,1.13,1.04
200502,-0.82,-0.90
200503,0.35,0.35
200504,0.41,0.40
200505,-0.95,-0.72
200506,-0.61,-0.70
200507,-0.10,-0.20
200508,-2.92,-3.08
200509,-3.44,-3.47
200510,8.64,8.54
200511,0.23,0.55
200512,0.31,0.15
200601,1.65,1.56
200602,-1.72,-1.80
200603,-3.68,-3.68
200604,-0.65,-0.66
200605,-1.09,-0.86
200606,4.83,4.74
200607,0.78,0.68
200608,-0.48,-0.64
200609,2.12,2.09
200610,4.22,4.12
200611,1.96,2.28
200612,-1.75,-1.91
200701,0.04,-0.05
200702,-1.31,-1.39
200703,0.10,0.10
200704,5.33,5.32
200705,-2.67,-2.44
200706,-0.07,-0.16
200707,-0.24,-0.34
200708,-0.49,-0.65
200709,-3.13,-3.16
200710,0.72,0.62
200711,-1.55,-1.23
200712,1.86,1.70
200801,-1.54,-1.63
200802,2.93,2.85
200803,0.00,0.00
200804,-1.67,-1.68
200805,0.84,1.07
200806,-1.25,-1.34
200807,-0.90,-1.00
200808,-2.33,-2.49
200809,1.60,1.57
200810,-0.34,-0.44
200811,0.11,0.43
200812,3.04,2.88
200901,-0.46,-0.55
200902,-3.27,-3.35
200903,-2.24,-2.24
200904,0.32,0.31
200905,0.29,0.52
200906,3.91,3.82
200907,1.14,1.04
200908,2.98,2.82
200909,0.75,0.72
200910,3.55,3.45
200911,-1.59,-1.27
200912,4.49,4.33
201001,-0.79,-0.88
201002,2.28,2.20
201003,4.63,4.63
201004,-2.19,-2.20
201005,-1.11,-0.88
201006,-2.41,-2.50
201007,-1.59,-1.69
201008,-2.94,-3.10
201009,-1.57,-1.60
201010,1.18,1.08
201011,-1.83,-1.51
201012,-0.25,-0.41
201101,-0.01,-0.10
201102,0.05,-0.03
201103,1.69,1.69
201104,1.54,1.53
201105,-0.66,-0.43
201106,-0.69,-0.78
201107,-0.98,-1.08
201108,9.99,9.83
201109,3.29,3.26
201110,1.58,1.48
201111,0.03,0.35
201112,0.47,0.31
201201,-0.81,-0.90
201202,-2.70,-2.78
201203,-3.67,-3.67
201204,-1.40,-1.41
201205,-0.36,-0.13
201206,0.62,0.53
201207,-1.14,-1.24
201208,-0.47,-0.63
201209,0.26,0.23
201210,1.98,1.88
201211,-1.85,-1.53
201212,1.86,1.70
201301,-0.46,-0.55
201302,-0.10,-0.18
201303,-1.04,-1.04
201304,-1.55,-1.56
201305,-0.26,-0.03
201306,6.60,6.51
201307,0.74,0.64
201308,0.65,0.49
201309,-1.20,-1.23
201310,-1.77,-1.87
201311,-1.06,-0.74
201312,1.26,1.10
201401,-0.25,-0.34
201402,2.74,2.66
201403,0.45,0.45
201404,0.63,0.62
201405,0.48,0.71
201406,-0.63,-0.72
201407,0.81,0.71
201408,-0.13,-0.29
201409,-1.33,-1.36
201410,-0.21,-0.31
201411,0.60,0.92
201412,1.05,0.89
201501,1.22,1.13
201502,-1.03,-1.11
201503,1.06,1.06
201504,-1.47,-1.48
201505,-3.46,-3.23
201506,4.61,4.52
201507,-0.52,-0.62
201508,-2.26,-2.42
201509,-1.08,-1.11
201510,0.17,0.07
201511,-2.13,-1.81
201512,0.16,0.00
201601,-0.17,-0.26
201602,1.29,1.21
201603,-3.08,-3.08
201604,-1.82,-1.83
201605,0.77,1.00
201606,-1.72,-1.81
201607,1.82,1.72
201608,-2.69,-2.85
201609,-1.13,-1.16
201610,-1.52,-1.62
201611,-2.17,-1.85
201612,-0.96,-1.12
201701,0.19,0.10
201702,-2.41,-2.49
201703,0.25,0.25
201704,-0.79,-0.80
201705,2.47,2.70
201706,-0.60,-0.69
201707,1.69,1.59
201708,1.01,0.85
201709,-1.39,-1.42
201710,1.14,1.04
201711,-1.68,-1.36
201712,-1.94,-2.10
201801,-0.70,-0.79
201802,3.72,3.64
201803,0.95,0.95
201804,0.65,0.64
201805,1.12,1.35
201806,-0.58,-0.67
201807,1.22,1.12
201808,0.68,0.52
201809,3.25,3.22
201810,1.82,1.72
201811,5.23,5.55
201812,2.41,2.25
201901,1.29,1.20
201902,0.29,0.21
201903,-0.05,-0.05
201904,-0.47,-0.48
201905,2.35,2.58
201906,1.54,1.45
201907,1.57,1.47
201908,-0.41,-0.57
201909,-2.57,-2.60
201910,1.81,1.71
201911,-1.31,-0.99
201912,1.89,1.73
202001,-1.48,-1.57
202002,-0.74,-0.82
202003,-1.05,-1.05
202004,0.35,0.34
202005,-1.34,-1.11
202006,-1.11,-1.20
202007,1.22,1.12
202008,1.06,0.90
202009,0.58,0.55
202010,2.02,1.92
202011,0.25,0.57
202012,1.89,1.73
202101,-1.73,-1.82
202102,2.43,2.35
202103,-0.53,-0.53
202104,-1.97,-1.98
202105,-0.22,0.01
202106,-0.74,-0.83
202107,2.91,2.81
202108,2.15,1.99
202109,2.58,2.55
202110,1.93,1.83
202111,-2.29,-1.97
202112,-2.65,-2.81
202201,0.03,-0.06
202202,-0.53,-0.61
202203,-1.87,-1.87
202204,1.22,1.21
202205,0.87,1.10
202206,-0.44,-0.53
202207,-2.80,-2.90
202208,-3.50,-3.66
202209,-1.51,-1.54
202210,2.59,2.49
202211,-1.05,-0.73
202212,1.39,1.23
