#  New Mexico Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,962,14
199702,746,12
199703,513,-122
199704,448,65
199705,129,-33
199706,31,2
199707,4,-1
199708,8,-2
199709,32,-39
199710,325,7
199711,666,-1
199712,1020,89
199801,847,-101
199802,752,18
199803,643,8
199804,473,90
199805,135,-27
199806,27,-2
199807,2,-3
199808,8,-2
199809,25,-46
199810,282,-36
199811,559,-108
199812,842,-89
199901,775,-173
199902,608,-126
199903,523,-112
199904,408,25
199905,165,3
199906,33,4
199907,4,-1
199908,12,2
199909,70,-1
199910,286,-32
199911,502,-165
199912,938,7
200001,785,-163
200002,578,-156
200003,571,-64
200004,267,-116
200005,66,-96
200006,16,-13
200007,1,-4
200008,3,-7
200009,32,-39
200010,319,1
200011,810,143
200012,888,-43
200101,1002,54
200102,689,-45
200103,600,-35
200104,310,-73
200105,100,-62
200106,15,-14
200107,1,-4
200108,9,-1
200109,40,-31
200110,238,-80
200111,560,-107
200112,925,-6
200201,873,-75
200202,755,21
200203,620,-15
200204,217,-166
200205,111,-51
200206,7,-22
200207,2,-3
200208,3,-7
200209,58,-13
200210,343,25
200211,655,-12
200212,925,-6
200301,742,-206
200302,702,-32
200303,592,-43
200304,344,-39
200305,102,-60
200306,27,-2
200307,0,-5
200308,3,-7
200309,52,-19
200310,183,-135
200311,590,-77
200312,861,-70
200401,859,-89
200402,810,76
200403,445,-190
200404,380,-3
200405,107,-55
200406,22,-7
200407,5,0
200408,16,6
200409,77,6
200410,315,-3
200411,680,13
200412,897,-34
200501,752,-196
200502,668,-66
200503,640,5
200504,370,-13
200505,124,-38
200506,27,-2
200507,1,-4
200508,10,0
200509,40,-31
200510,284,-34
200511,574,-93
200512,849,-82
200601,823,-125
200602,662,-72
200603,573,-62
200604,253,-130
200605,76,-86
200606,9,-20
200607,1,-4
200608,12,2
200609,131,60
200610,332,14
200611,563,-104
200612,931,0
200701,1022,74
200702,691,-43
200703,517,-118
200704,369,-14
200705,160,-2
200706,21,-8
200707,2,-3
200708,2,-8
200709,41,-30
200710,254,-64
200711,542,-125
200712,908,-23
200801,984,36
200802,683,-51
200803,588,-47
200804,376,-7
200805,161,-1
200806,18,-11
200807,4,-1
200808,8,-2
200809,75,4
200810,293,-25
200811,594,-73
200812,841,-90
200901,819,-129
200902,629,-105
200903,517,-118
200904,370,-13
200905,90,-72
200906,33,4
200907,1,-4
200908,7,-3
200909,75,4
200910,350,32
200911,580,-87
200912,997,66
201001,952,4
201002,790,56
201003,653,18
201004,343,-40
201005,164,2
201006,12,-17
201007,2,-3
201008,6,-4
201009,27,-44
201010,240,-78
201011,670,3
201012,738,-193
201101,942,-6
201102,811,77
201103,454,-181
201104,269,-114
201105,178,16
201106,13,-16
201107,0,-5
201108,1,-9
201109,50,-21
201110,283,-35
201111,629,-38
201112,1022,91
201201,805,-143
201202,719,-15
201203,518,-117
201204,245,-138
201205,100,-62
201206,6,-23
201207,1,-4
201208,3,-7
201209,46,-25
201210,250,-68
201211,537,-130
201212,882,-49
201301,1010,62
201302,788,54
201303,532,-103
201304,335,-48
201305,131,-31
201306,7,-22
201307,3,-2
201308,6,-4
201309,50,-21
201310,364,46
201311,645,-22
201312,922,-9
201401,868,-80
201402,598,-136
201403,548,-87
201404,352,-31
201405,165,3
201406,14,-15
201407,2,-3
201408,13,3
201409,36,-35
201410,226,-92
201411,649,-18
201412,822,-109
201501,889,-59
201502,627,-107
201503,501,-134
201504,349,-34
201505,196,34
201506,14,-15
201507,5,0
201508,5,-5
201509,24,-47
201510,214,-104
201511,622,-45
201512,886,-45
201601,932,-16
201602,614,-120
201603,481,-154
201604,352,-31
201605,175,13
201606,8,-21
201607,0,-5
201608,16,6
201609,48,-23
201610,169,-149
201611,531,-136
201612,808,-123
201701,834,-114
201702,551,-183
201703,399,-236
201704,313,-70
201705,160,-2
201706,10,-19
201707,1,-4
201708,10,0
201709,45,-26
201710,248,-70
201711,418,-249
201712,790,-141
201801,844,-104
201802,622,-112
201803,525,-110
201804,265,-118
201805,72,-90
201806,6,-23
201807,1,-4
201808,4,-6
201809,36,-35
201810,315,-3
201811,687,20
201812,887,-44
201901,898,-50
201902,727,-7
201903,547,-88
201904,307,-76
201905,206,44
201906,28,-1
201907,1,-4
201908,2,-8
201909,25,-46
201910,358,40
201911,625,-42
201912,851,-80
202001,849,-99
202002,712,-22
202003,496,-139
202004,298,-85
202005,74,-88
202006,12,-17
202007,0,-5
202008,1,-9
202009,60,-11
202010,239,-79
202011,504,-163
202012,921,-10
202101,905,-43
202102,733,-1
202103,593,-42
202104,316,-67
202105,109,-53
202106,9,-20
202107,2,-3
202108,5,-5
202109,27,-44
202110,277,-41
202111,501,-166
202112,710,-221
202201,885,-63
202202,808,74
202203,603,-32
202204,268,-115
202205,79,-83
202206,12,-17
202207,0,-5
202208,8,-2
202209,27,-44
202210,325,7
202211,729,62
202212,840,-91
