#  New Mexico Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.84,0.73
199702,1.06,0.87
199703,0.28,0.10
199704,1.09,0.81
199705,1.24,0.99
199706,1.57,1.19
199707,1.65,1.14
199708,1.44,1.07
199709,1.81,1.58
199710,1.50,1.26
199711,1.52,1.36
199712,2.46,2.27
199801,1.70,1.59
199802,1.73,1.54
199803,2.34,2.16
199804,2.45,2.17
199805,-0.59,-0.84
199806,-1.22,-1.60
199807,-0.09,-0.60
199808,-0.40,-0.77
199809,-1.34,-1.57
199810,1.66,1.42
199811,1.66,1.50
199812,-0.31,-0.50
199901,-0.66,-0.77
199902,-1.45,-1.64
199903,-1.56,-1.74
199904,0.39,0.11
199905,0.57,0.32
199906,0.67,0.29
199907,1.35,0.84
199908,1.92,1.55
199909,-0.15,-0.38
199910,-0.79,-1.03
199911,-1.60,-1.76
199912,-1.76,-1.95
200001,-2.32,-2.43
200002,-3.11,-3.30
200003,-2.42,-2.60
200004,-2.85,-3.13
200005,-4.04,-4.29
200006,-3.11,-3.49
200007,-3.58,-4.09
200008,-4.09,-4.46
200009,-5.10,-5.33
200010,1.69,1.45
200011,2.45,2.29
200012,2.15,1.96
200101,2.68,2.57
200102,2.55,2.36
200103,2.70,2.52
200104,2.49,2.21
200105,2.59,2.34
200106,2.38,2.00
200107,-0.45,-0.96
200108,-0.52,-0.89
200109,-1.24,-1.47
200110,-1.97,-2.21
200111,-1.68,-1.84
200112,-1.80,-1.99
200201,-1.88,-1.99
200202,-2.00,-2.19
200203,-2.04,-2.22
200204,-2.81,-3.09
200205,-3.78,-4.03
200206,-4.31,-4.69
200207,-4.12,-4.63
200208,-4.53,-4.90
200209,-3.47,-3.70
200210,-2.74,-2.98
200211,-2.56,-2.72
200212,-1.90,-2.09
200301,-2.61,-2.72
200302,-2.03,-2.22
200303,-1.89,-2.07
200304,-2.23,-2.51
200305,-3.00,-3.25
200306,-2.88,-3.26
200307,-4.31,-4.82
200308,-4.81,-5.18
200309,-5.07,-5.30
200310,-4.87,-5.11
200311,-4.31,-4.47
200312,-4.42,-4.61
200401,-4.35,-4.46
200402,0.46,0.27
200403,0.11,-0.07
200404,1.53,1.25
200405,0.77,0.52
200406,0.48,0.10
200407,0.40,-0.11
200408,0.22,-0.15
200409,0.58,0.35
200410,0.89,0.65
200411,1.82,1.66
200412,1.69,1.50
200501,2.27,2.16
200502,3.19,3.00
200503,3.40,3.22
200504,3.60,3.32
200505,3.98,3.73
200506,3.66,3.28
200507,-1.04,-1.55
200508,-0.48,-0.85
200509,-0.52,-0.75
200510,-0.43,-0.67
200511,-1.09,-1.25
200512,-1.67,-1.86
200601,-2.32,-2.43
200602,-2.89,-3.08
200603,-3.17,-3.35
200604,-3.93,-4.21
200605,-4.71,-4.96
200606,-4.83,-5.21
200607,0.54,0.03
200608,2.30,1.93
200609,2.76,2.53
200610,3.09,2.85
200611,2.17,2.01
200612,2.21,2.02
200701,2.44,2.33
200702,2.03,1.84
200703,1.89,1.71
200704,1.88,1.60
200705,2.43,2.18
200706,-0.03,-0.41
200707,0.00,-0.51
200708,-0.61,-0.98
200709,-0.66,-0.89
200710,-1.42,-1.66
200711,-1.70,-1.86
200712,-0.87,-1.06
200801,-0.72,-0.83
200802,-0.80,-0.99
200803,-1.20,-1.38
200804,-1.69,-1.97
200805,-1.68,-1.93
200806,-2.22,-2.60
200807,1.55,1.04
200808,1.59,1.22
200809,-0.34,-0.57
200810,-0.20,-0.44
200811,-0.56,-0.72
200812,-0.47,-0.66
200901,-1.08,-1.19
200902,-1.70,-1.89
200903,-2.26,-2.44
200904,-2.67,-2.95
200905,-3.06,-3.31
200906,-2.80,-3.18
200907,-2.46,-2.97
200908,-3.37,-3.74
200909,-3.02,-3.25
200910,-2.62,-2.86
200911,-2.75,-2.91
200912,0.28,0.09
201001,1.07,0.96
201002,1.67,1.48
201003,1.89,1.71
201004,2.14,1.86
201005,1.76,1.51
201006,1.54,1.16
201007,2.68,2.17
201008,-0.23,-0.60
201009,-0.66,-0.89
201010,-0.97,-1.21
201011,-1.37,-1.53
201012,-1.56,-1.75
201101,-2.02,-2.13
201102,-2.05,-2.24
201103,-2.97,-3.15
201104,-3.74,-4.02
201105,-4.36,-4.61
201106,-5.26,-5.64
201107,-5.65,-6.16
201108,-6.03,-6.40
201109,-5.61,-5.84
201110,-5.15,-5.39
201111,-4.86,-5.02
201112,-3.29,-3.48
201201,-3.47,-3.58
201202,-3.40,-3.59
201203,-3.72,-3.90
201204,-4.22,-4.50
201205,-4.35,-4.60
201206,-5.03,-5.41
201207,-5.04,-5.55
201208,-5.50,-5.87
201209,-5.40,-5.63
201210,-5.63,-5.87
201211,-5.73,-5.89
201212,-5.31,-5.50
201301,-4.89,-5.00
201302,-4.59,-4.78
201303,-4.74,-4.92
201304,-5.14,-5.42
201305,-5.72,-5.97
201306,-6.12,-6.50
201307,-4.60,-5.11
201308,-4.56,-4.93
201309,-2.30,-2.53
201310,-2.39,-2.63
201311,-1.98,-2.14
201312,-2.06,-2.25
201401,-2.62,-2.73
201402,-3.16,-3.35
201403,-3.56,-3.74
201404,-3.96,-4.24
201405,-3.89,-4.14
201406,-4.50,-4.88
201407,0.54,0.03
