#  New Mexico Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.32,0.17
199702,0.88,0.75
199703,-0.26,-0.42
199704,1.09,0.81
199705,1.24,0.99
199706,1.57,1.29
199707,1.65,1.27
199708,1.30,0.94
199709,1.81,1.56
199710,1.25,1.01
199711,1.45,1.16
199712,2.46,2.17
199801,0.99,0.84
199802,1.24,1.11
199803,2.34,2.18
199804,2.45,2.17
199805,0.78,0.53
199806,-0.98,-1.26
199807,1.18,0.80
199808,0.29,-0.07
199809,-1.34,-1.59
199810,1.66,1.42
199811,1.66,1.37
199812,0.64,0.35
199901,-0.46,-0.61
199902,-1.45,-1.58
199903,-1.56,-1.72
199904,-0.33,-0.61
199905,0.38,0.13
199906,0.67,0.39
199907,1.35,0.97
199908,1.92,1.56
199909,1.29,1.04
199910,-0.50,-0.74
199911,-1.60,-1.89
199912,-1.76,-2.05
200001,-2.32,-2.47
200002,-3.11,-3.24
200003,-1.92,-2.08
200004,-2.85,-3.13
200005,-4.04,-4.29
200006,-2.46,-2.74
200007,-3.58,-3.96
200008,-4.09,-4.45
200009,-5.10,-5.35
200010,-0.93,-1.17
200011,1.27,0.98
200012,1.17,0.88
200101,2.62,2.47
200102,2.55,2.42
200103,2.70,2.54
200104,2.49,2.21
200105,2.59,2.34
200106,2.38,2.10
200107,1.02,0.64
200108,0.55,0.19
200109,-1.24,-1.49
200110,-1.97,-2.21
200111,-1.49,-1.78
200112,-1.80,-2.09
200201,-1.88,-2.03
200202,-2.00,-2.13
200203,-2.04,-2.20
200204,-2.81,-3.09
200205,-3.78,-4.03
200206,-4.31,-4.59
200207,-4.12,-4.50
200208,-4.53,-4.89
200209,-2.74,-2.99
200210,-1.54,-1.78
200211,-1.47,-1.76
200212,-0.38,-0.67
200301,-2.01,-2.16
200302,-1.09,-1.22
200303,-1.01,-1.17
200304,-1.75,-2.03
200305,-3.00,-3.25
200306,-2.88,-3.16
200307,-4.31,-4.69
200308,-4.81,-5.17
200309,-5.07,-5.32
200310,-4.87,-5.11
200311,-4.18,-4.47
200312,-4.42,-4.71
200401,-4.35,-4.50
200402,-2.85,-2.98
200403,-3.10,-3.26
200404,0.35,0.07
200405,-0.79,-1.04
200406,-1.03,-1.31
200407,-0.86,-1.24
200408,-0.93,-1.29
200409,-0.03,-0.28
200410,0.73,0.49
200411,1.82,1.53
200412,1.69,1.40
200501,2.27,2.12
200502,3.19,3.06
200503,3.40,3.24
200504,3.60,3.32
200505,3.98,3.73
200506,3.66,3.38
200507,0.95,0.57
200508,1.68,1.32
200509,1.21,0.96
200510,1.05,0.81
200511,-0.60,-0.89
200512,-1.67,-1.96
200601,-2.32,-2.47
200602,-2.89,-3.02
200603,-3.17,-3.33
200604,-3.93,-4.21
200605,-4.71,-4.96
200606,-4.83,-5.11
200607,-3.13,-3.51
200608,1.16,0.80
200609,2.58,2.33
200610,3.09,2.85
200611,1.37,1.08
200612,1.68,1.39
200701,2.39,2.24
200702,1.73,1.60
200703,1.62,1.46
200704,1.77,1.49
200705,2.43,2.18
200706,2.04,1.76
200707,1.81,1.43
200708,0.15,-0.21
200709,-0.22,-0.47
200710,-1.42,-1.66
200711,-1.70,-1.99
200712,0.18,-0.11
200801,0.42,0.27
200802,0.11,-0.02
200803,-0.83,-0.99
200804,-1.69,-1.97
200805,-1.68,-1.93
200806,-2.22,-2.50
200807,1.55,1.17
200808,1.59,1.23
200809,0.48,0.23
200810,0.59,0.35
200811,-0.50,-0.79
200812,-0.46,-0.75
200901,-1.08,-1.23
200902,-1.70,-1.83
200903,-2.26,-2.42
200904,-2.67,-2.95
200905,-3.06,-3.31
200906,-2.80,-3.08
200907,-2.34,-2.72
200908,-3.37,-3.73
200909,-2.95,-3.20
200910,-2.38,-2.62
200911,-2.75,-3.04
200912,-1.77,-2.06
201001,0.33,0.18
201002,1.67,1.54
201003,1.89,1.73
201004,2.14,1.86
201005,1.46,1.21
201006,1.15,0.87
201007,2.68,2.30
201008,1.81,1.45
201009,0.53,0.28
201010,-0.47,-0.71
201011,-1.37,-1.66
201012,-1.56,-1.85
201101,-2.02,-2.17
201102,-2.05,-2.18
201103,-2.97,-3.13
201104,-3.74,-4.02
201105,-4.36,-4.61
201106,-5.26,-5.54
201107,-5.65,-6.03
201108,-6.03,-6.39
201109,-5.61,-5.86
201110,-5.15,-5.39
201111,-4.86,-5.15
201112,-2.03,-2.32
201201,-2.76,-2.91
201202,-2.96,-3.09
201203,-3.72,-3.88
201204,-4.22,-4.50
201205,-4.35,-4.60
201206,-5.03,-5.31
201207,-5.04,-5.42
201208,-5.50,-5.86
