#  New Mexico Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,45.2,-2.3
199702,49.7,-2.3
199703,64.8,6.3
199704,62.7,-4.5
199705,76.6,0.3
199706,84.4,-1.1
199707,88.1,0.9
199708,85.3,0.4
199709,81.6,2.5
199710,69.3,-0.1
199711,55.9,-0.9
199712,43.5,-4.6
199801,51.1,3.6
199802,49.8,-2.2
199803,57.8,-0.7
199804,64.3,-2.9
199805,79.9,3.6
199806,88.0,2.5
199807,88.5,1.3
199808,85.6,0.7
199809,84.3,5.2
199810,69.2,-0.2
199811,60.1,3.3
199812,51.2,3.1
199901,54.4,6.9
199902,59.8,7.8
199903,62.8,4.3
199904,66.1,-1.1
199905,75.5,-0.8
199906,84.2,-1.3
199907,85.5,-1.7
199908,84.4,-0.5
199909,78.8,-0.3
199910,73.0,3.6
199911,66.2,9.4
199912,49.0,0.9
200001,54.5,7.0
200002,59.8,7.8
200003,61.3,2.8
200004,72.6,5.4
200005,84.0,7.7
200006,85.8,0.3
200007,89.7,2.5
200008,88.1,3.2
200009,85.0,5.9
200010,66.6,-2.8
200011,49.7,-7.1
200012,49.3,1.2
200101,44.5,-3.0
200102,53.4,1.4
200103,58.4,-0.1
200104,70.8,3.6
200105,79.7,3.4
200106,88.5,3.0
200107,89.9,2.7
200108,85.6,0.7
200109,82.7,3.6
200110,73.5,4.1
200111,59.1,2.3
200112,49.4,1.3
200201,50.4,2.9
200202,52.8,0.8
200203,61.2,2.7
200204,74.3,7.1
200205,80.7,4.4
200206,91.2,5.7
200207,88.2,1.0
200208,88.6,3.7
200209,79.4,0.3
200210,66.4,-3.0
200211,56.5,-0.3
200212,46.6,-1.5
200301,55.8,8.3
200302,51.5,-0.5
200303,60.2,1.7
200304,69.9,2.7
200305,80.4,4.1
200306,85.4,-0.1
200307,93.0,5.8
200308,87.9,3.0
200309,81.3,2.2
200310,74.6,5.2
200311,58.4,1.6
200312,52.0,3.9
200401,49.9,2.4
200402,48.5,-3.5
200403,64.5,6.0
200404,65.1,-2.1
200405,80.2,3.9
200406,86.8,1.3
200407,87.4,0.2
200408,83.5,-1.4
200409,78.5,-0.6
200410,67.7,-1.7
200411,53.0,-3.8
200412,49.5,1.4
200501,52.4,4.9
200502,50.3,-1.7
200503,56.9,-1.6
200504,68.0,0.8
200505,77.3,1.0
200506,87.0,1.5
200507,91.3,4.1
200508,84.2,-0.7
200509,82.2,3.1
200510,69.2,-0.2
200511,62.2,5.4
200512,52.6,4.5
200601,54.7,7.2
200602,57.1,5.1
200603,60.0,1.5
200604,73.6,6.4
200605,82.5,6.2
200606,89.6,4.1
200607,88.3,1.1
200608,81.8,-3.1
200609,74.4,-4.7
200610,67.9,-1.5
200611,61.8,5.0
200612,48.4,0.3
200701,42.8,-4.7
200702,53.6,1.6
200703,63.8,5.3
200704,67.4,0.2
200705,74.6,-1.7
200706,86.4,0.9
200707,87.9,0.7
200708,87.9,3.0
200709,81.3,2.2
200710,73.7,4.3
200711,62.3,5.5
200712,47.9,-0.2
200801,46.4,-1.1
200802,54.8,2.8
200803,61.8,3.3
200804,69.4,2.2
200805,77.0,0.7
200806,89.5,4.0
200807,85.0,-2.2
200808,84.5,-0.4
200809,78.2,-0.9
200810,71.0,1.6
200811,60.5,3.7
200812,50.6,2.5
200901,53.5,6.0
200902,58.4,6.4
200903,63.2,4.7
200904,68.1,0.9
200905,79.4,3.1
200906,84.1,-1.4
200907,89.8,2.6
200908,87.8,2.9
200909,78.4,-0.7
200910,67.3,-2.1
200911,61.5,4.7
200912,44.2,-3.9
201001,47.3,-0.2
201002,47.0,-5.0
201003,58.2,-0.3
201004,68.2,1.0
201005,76.7,0.4
201006,89.5,4.0
201007,86.6,-0.6
201008,86.6,1.7
201009,83.9,4.8
201010,72.0,2.6
201011,58.2,1.4
201012,54.8,6.7
201101,49.8,2.3
201102,51.1,-0.9
201103,66.7,8.2
201104,72.6,5.4
201105,76.7,0.4
201106,91.4,5.9
201107,91.6,4.4
201108,90.6,5.7
201109,81.0,1.9
201110,71.3,1.9
201111,57.9,1.1
201112,42.8,-5.3
201201,53.3,5.8
201202,52.1,0.1
201203,65.1,6.6
201204,73.7,6.5
201205,80.1,3.8
201206,91.8,6.3
201207,88.4,1.2
201208,88.6,3.7
201209,81.3,2.2
201210,73.1,3.7
201211,63.6,6.8
201212,50.6,2.5
201301,46.3,-1.2
201302,51.0,-1.0
201303,63.4,4.9
201304,69.5,2.3
201305,78.4,2.1
201306,91.4,5.9
201307,86.1,-1.1
201308,86.1,1.2
201309,79.0,-0.1
201310,68.7,-0.7
201311,56.2,-0.6
201312,48.0,-0.1
201401,52.8,5.3
201402,56.9,4.9
201403,62.3,3.8
201404,68.7,1.5
201405,76.6,0.3
201406,89.2,3.7
201407,88.0,0.8
201408,83.8,-1.1
201409,78.8,-0.3
201410,72.7,3.3
201411,57.5,0.7
201412,50.5,2.4
201501,47.8,0.3
201502,56.3,4.3
201503,62.7,4.2
201504,68.3,1.1
201505,72.7,-3.6
201506,86.9,1.4
201507,86.6,-0.6
201508,88.1,3.2
201509,83.6,4.5
201510,70.5,1.1
201511,57.7,0.9
201512,49.5,1.4
201601,47.5,0.0
201602,58.7,6.7
201603,65.2,6.7
201604,67.9,0.7
201605,75.0,-1.3
201606,89.3,3.8
201607,92.8,5.6
201608,83.4,-1.5
201609,79.9,0.8
201610,76.0,6.6
201611,60.0,3.2
201612,51.2,3.1
201701,49.0,1.5
201702,58.9,6.9
201703,68.5,10.0
201704,69.8,2.6
201705,76.5,0.2
201706,89.9,4.4
201707,89.1,1.9
201708,84.2,-0.7
201709,80.9,1.8
201710,72.3,2.9
201711,66.2,9.4
201712,54.6,6.5
201801,53.7,6.2
201802,56.5,4.5
201803,63.1,4.6
201804,72.4,5.2
201805,83.1,6.8
201806,91.2,5.7
201807,89.4,2.2
201808,87.4,2.5
201809,81.6,2.5
201810,65.7,-3.7
201811,55.8,-1.0
201812,48.2,0.1
201901,48.6,1.1
201902,52.0,0.0
201903,59.8,1.3
201904,69.6,2.4
201905,73.4,-2.9
201906,85.9,0.4
201907,91.0,3.8
201908,90.6,5.7
201909,83.4,4.3
201910,68.2,-1.2
201911,58.1,1.3
201912,49.9,1.8
202001,50.7,3.2
202002,52.2,0.2
202003,61.4,2.9
202004,70.3,3.1
202005,82.6,6.3
202006,89.4,3.9
202007,91.7,4.5
202008,92.2,7.3
202009,81.3,2.2
202010,74.6,5.2
202011,62.7,5.9
202012,50.2,2.1
202101,49.3,1.8
202102,52.0,0.0
202103,60.4,1.9
202104,69.2,2.0
202105,78.9,2.6
202106,88.7,3.2
202107,86.3,-0.9
202108,85.9,1.0
202109,83.4,4.3
202110,71.6,2.2
202111,64.4,7.6
202112,56.7,8.6
202201,51.3,3.8
202202,51.3,-0.7
202203,61.0,2.5
202204,72.8,5.6
