#  New York Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1211,-19
199702,891,-200
199703,912,-17
199704,596,22
199705,354,89
199706,33,-17
199707,10,3
199708,23,1
199709,126,9
199710,430,14
199711,779,45
199712,1000,-96
199801,986,-244
199802,850,-241
199803,802,-127
199804,489,-85
199805,151,-114
199806,47,-3
199807,8,1
199808,9,-13
199809,70,-47
199810,376,-40
199811,681,-53
199812,865,-231
199901,1174,-56
199902,936,-155
199903,900,-29
199904,518,-56
199905,205,-60
199906,13,-37
199907,1,-6
199908,18,-4
199909,64,-53
199910,440,24
199911,575,-159
199912,964,-132
200001,1240,10
200002,958,-133
200003,726,-203
200004,572,-2
200005,212,-53
200006,41,-9
200007,25,18
200008,23,1
200009,125,8
200010,404,-12
200011,738,4
200012,1228,132
200101,1185,-45
200102,987,-104
200103,982,53
200104,512,-62
200105,203,-62
200106,26,-24
200107,17,10
200108,3,-19
200109,102,-15
200110,361,-55
200111,551,-183
200112,838,-258
200201,964,-266
200202,867,-224
200203,826,-103
200204,457,-117
200205,314,49
200206,33,-17
200207,2,-5
200208,5,-17
200209,55,-62
200210,449,33
200211,735,1
200212,1085,-11
200301,1365,135
200302,1157,66
200303,890,-39
200304,606,32
200305,303,38
200306,58,8
200307,5,-2
200308,5,-17
200309,85,-32
200310,460,44
200311,611,-123
200312,1006,-90
200401,1423,193
200402,1042,-49
200403,822,-107
200404,512,-62
200405,168,-97
200406,55,5
200407,9,2
200408,19,-3
200409,68,-49
200410,407,-9
200411,664,-70
200412,1033,-63
200501,1255,25
200502,998,-93
200503,1008,79
200504,478,-96
200505,351,86
200506,6,-44
200507,1,-6
200508,3,-19
200509,44,-73
200510,358,-58
200511,617,-117
200512,1103,7
200601,941,-289
200602,985,-106
200603,874,-55
200604,469,-105
200605,225,-40
200606,30,-20
200607,1,-6
200608,13,-9
200609,126,9
200610,432,16
200611,552,-182
200612,815,-281
200701,1047,-183
200702,1190,99
200703,923,-6
200704,602,28
200705,194,-71
200706,23,-27
200707,11,4
200708,9,-13
200709,64,-53
200710,216,-200
200711,739,5
200712,1045,-51
200801,1068,-162
200802,995,-96
200803,908,-21
200804,433,-141
200805,316,51
200806,13,-37
200807,3,-4
200808,27,5
200809,76,-41
200810,449,33
200811,722,-12
200812,1010,-86
200901,1351,121
200902,975,-116
200903,870,-59
200904,479,-95
200905,236,-29
200906,64,14
200907,19,12
200908,9,-13
200909,123,6
200910,458,42
200911,567,-167
200912,1065,-31
201001,1181,-49
201002,1014,-77
201003,700,-229
201004,380,-194
201005,153,-112
201006,20,-30
201007,1,-6
201008,8,-14
201009,66,-51
201010,375,-41
201011,678,-56
201012,1143,47
201101,1283,53
201102,1040,-51
201103,883,-46
201104,495,-79
201105,171,-94
201106,25,-25
201107,1,-6
201108,11,-11
201109,53,-64
201110,361,-55
201111,550,-184
201112,870,-226
201201,1030,-200
201202,845,-246
201203,578,-351
201204,486,-88
201205,131,-134
201206,30,-20
201207,1,-6
201208,8,-14
201209,87,-30
201210,323,-93
201211,758,24
201212,881,-215
201301,1101,-129
201302,1016,-75
201303,921,-8
201304,532,-42
201305,209,-56
201306,31,-19
201307,1,-6
201308,19,-3
201309,123,6
201310,330,-86
201311,763,29
201312,1035,-61
201401,1309,79
201402,1131,40
201403,1076,147
201404,544,-30
201405,199,-66
201406,25,-25
201407,8,1
201408,21,-1
201409,82,-35
201410,316,-100
201411,753,19
201412,915,-181
201501,1300,70
201502,1374,283
201503,1053,124
201504,531,-43
201505,119,-146
201506,43,-7
201507,6,-1
201508,9,-13
201509,29,-88
201510,406,-10
201511,545,-189
201512,645,-451
201601,1111,-119
201602,924,-167
201603,691,-238
201604,566,-8
201605,227,-38
201606,30,-20
201607,1,-6
201608,2,-20
201609,47,-70
201610,331,-85
201611,616,-118
201612,994,-102
201701,994,-236
201702,833,-258
201703,971,42
201704,390,-184
201705,260,-5
201706,32,-18
201707,5,-2
201708,20,-2
201709,55,-62
201710,213,-203
201711,710,-24
201712,1122,26
201801,1240,10
201802,848,-243
201803,932,3
201804,673,99
201805,130,-135
201806,39,-11
201807,1,-6
201808,3,-19
201809,42,-75
201810,387,-29
201811,783,49
201812,960,-136
201901,1201,-29
201902,985,-106
201903,932,3
201904,482,-92
201905,246,-19
201906,41,-9
201907,1,-6
201908,13,-9
201909,79,-38
201910,328,-88
201911,810,76
201912,1007,-89
202001,987,-243
202002,895,-196
202003,719,-210
202004,609,35
202005,271,6
202006,22,-28
202007,0,-7
202008,5,-17
202009,89,-28
202010,358,-58
202011,567,-167
202012,954,-142
202101,1109,-121
202102,1049,-42
202103,792,-137
202104,480,-94
202105,238,-27
202106,10,-40
202107,6,-1
202108,3,-19
202109,58,-59
202110,222,-194
202111,713,-21
202112,837,-259
202201,1287,57
202202,982,-109
202203,813,-116
202204,528,-46
202205,163,-102
202206,36,-14
202207,3,-4
202208,4,-18
202209,76,-41
202210,381,-35
202211,595,-139
202212,981,-115
