#  New York Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.14,4.24
199702,3.70,3.81
199703,3.85,3.84
199704,3.17,3.17
199705,2.92,2.95
199706,2.21,2.15
199707,1.80,1.75
199708,1.88,1.83
199709,1.80,1.77
199710,1.18,1.15
199711,1.66,1.77
199712,1.44,1.64
199801,2.65,2.75
199802,2.39,2.50
199803,2.38,2.37
199804,1.79,1.79
199805,1.23,1.26
199806,2.65,2.59
199807,2.60,2.55
199808,-0.14,-0.19
199809,-0.63,-0.66
199810,-0.91,-0.94
199811,-1.82,-1.71
199812,-2.44,-2.24
199901,-0.64,-0.54
199902,-1.32,-1.21
199903,-0.64,-0.65
199904,-1.57,-1.57
199905,-2.06,-2.03
199906,-2.79,-2.85
199907,-3.12,-3.17
199908,-3.53,-3.58
199909,1.23,1.20
199910,1.20,1.17
199911,0.82,0.93
199912,0.11,0.31
200001,0.39,0.49
200002,0.55,0.66
200003,0.20,0.19
200004,1.30,1.30
200005,2.05,2.08
200006,2.69,2.63
200007,3.01,2.96
200008,3.22,3.17
200009,3.16,3.13
200010,-0.18,-0.21
200011,-0.35,-0.24
200012,-0.15,0.05
200101,-0.77,-0.67
200102,-0.90,-0.79
200103,1.11,1.10
200104,-1.40,-1.40
200105,-1.71,-1.68
200106,-1.30,-1.36
200107,-1.69,-1.74
200108,-2.20,-2.25
200109,-1.93,-1.96
200110,-2.36,-2.39
200111,-3.31,-3.20
200112,-3.44,-3.24
200201,-3.41,-3.31
200202,-3.21,-3.10
200203,0.14,0.13
200204,0.35,0.35
200205,1.28,1.31
200206,2.01,1.95
200207,-0.94,-0.99
200208,-1.77,-1.82
200209,0.03,0.00
200210,0.41,0.38
200211,0.74,0.85
200212,0.86,1.06
200301,0.63,0.73
200302,0.54,0.65
200303,0.40,0.39
200304,0.06,0.06
200305,0.64,0.67
200306,0.85,0.79
200307,1.27,1.22
200308,1.67,1.62
200309,2.45,2.42
200310,3.46,3.43
200311,3.53,3.64
200312,3.82,4.02
200401,3.14,3.24
200402,2.16,2.27
200403,1.45,1.44
200404,1.50,1.50
200405,2.00,2.03
200406,1.50,1.44
200407,2.68,2.63
200408,3.84,3.79
200409,4.36,4.33
200410,3.72,3.69
200411,3.30,3.41
200412,3.50,3.70
200501,3.76,3.86
200502,3.12,3.23
200503,2.62,2.61
