#  New York Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.14,4.15
199702,3.70,3.73
199703,3.85,3.92
199704,3.17,3.20
199705,2.92,3.03
199706,2.21,2.12
199707,1.80,1.63
199708,1.88,1.71
199709,1.80,1.65
199710,1.18,1.03
199711,1.66,1.59
199712,1.44,1.43
199801,2.65,2.66
199802,2.39,2.42
199803,2.38,2.45
199804,1.79,1.82
199805,1.23,1.34
199806,2.65,2.56
199807,2.60,2.43
199808,2.19,2.02
199809,1.46,1.31
199810,0.97,0.82
199811,-1.82,-1.89
199812,-2.44,-2.45
199901,-0.64,-0.63
199902,-1.32,-1.29
199903,-0.64,-0.57
199904,-1.57,-1.54
199905,-2.06,-1.95
199906,-2.79,-2.88
199907,-3.12,-3.29
199908,-3.53,-3.70
199909,-1.93,-2.08
199910,-1.64,-1.79
199911,-1.73,-1.80
199912,-2.18,-2.19
200001,-1.66,-1.65
200002,-1.29,-1.26
200003,-1.45,-1.38
200004,1.30,1.33
200005,2.05,2.16
200006,2.69,2.60
200007,3.01,2.84
200008,3.22,3.05
200009,3.16,3.01
200010,2.66,2.51
200011,2.20,2.13
200012,2.13,2.12
200101,1.27,1.28
200102,0.94,0.97
200103,1.95,2.02
200104,-1.40,-1.37
200105,-1.71,-1.60
200106,-1.30,-1.39
200107,-1.69,-1.86
200108,-2.20,-2.37
200109,-1.93,-2.08
200110,-2.36,-2.51
200111,-3.31,-3.38
200112,-3.44,-3.45
200201,-3.41,-3.40
200202,-3.21,-3.18
200203,-2.74,-2.67
200204,-2.23,-2.20
200205,-1.04,-0.93
200206,2.01,1.92
200207,0.86,0.69
200208,-1.77,-1.94
200209,-1.55,-1.70
200210,-1.02,-1.17
200211,0.74,0.67
200212,0.86,0.85
200301,0.63,0.64
200302,0.54,0.57
200303,0.40,0.47
200304,0.06,0.09
200305,0.64,0.75
200306,0.85,0.76
200307,1.27,1.10
200308,1.67,1.50
200309,2.45,2.30
200310,3.46,3.31
200311,3.53,3.46
200312,3.82,3.81
200401,3.14,3.15
200402,2.16,2.19
200403,1.45,1.52
200404,1.50,1.53
200405,2.00,2.11
200406,1.50,1.41
200407,2.68,2.51
200408,3.84,3.67
200409,4.36,4.21
200410,3.72,3.57
200411,3.30,3.23
200412,3.50,3.49
200501,3.76,3.77
200502,3.12,3.15
200503,2.62,2.69
200504,2.98,3.01
200505,1.93,2.04
200506,1.36,1.27
200507,1.13,0.96
200508,0.95,0.78
200509,0.61,0.46
200510,2.50,2.35
200511,3.00,2.93
200512,2.49,2.48
200601,2.95,2.96
200602,2.32,2.35
200603,1.38,1.45
200604,1.06,1.09
200605,0.92,1.03
200606,2.55,2.46
200607,3.00,2.83
200608,3.18,3.01
200609,3.48,3.33
200610,4.74,4.59
200611,4.16,4.09
200612,3.71,3.70
200701,3.99,4.00
200702,3.50,3.53
200703,3.54,3.61
200704,4.25,4.28
200705,2.92,3.03
200706,2.06,1.97
200707,2.32,2.15
200708,1.22,1.05
200709,0.59,0.44
200710,0.68,0.53
200711,0.95,0.88
200712,1.72,1.71
200801,1.16,1.17
200802,2.71,2.74
200803,3.67,3.74
200804,2.58,2.61
200805,1.85,1.96
200806,1.85,1.76
200807,2.62,2.45
200808,2.84,2.67
200809,2.53,2.38
200810,3.21,3.06
200811,2.70,2.63
200812,3.54,3.53
200901,3.04,3.05
200902,2.19,2.22
200903,1.82,1.89
200904,0.93,0.96
200905,1.26,1.37
200906,1.92,1.83
200907,2.92,2.75
200908,3.52,3.35
200909,2.89,2.74
200910,3.40,3.25
200911,2.28,2.21
200912,2.29,2.28
201001,1.86,1.87
201002,1.77,1.80
201003,1.62,1.69
201004,-1.52,-1.49
201005,-2.07,-1.96
201006,-1.01,-1.10
201007,-0.85,-1.02
201008,1.16,0.99
201009,0.85,0.70
201010,2.39,2.24
201011,1.95,1.88
201012,1.82,1.81
201101,1.22,1.23
201102,1.69,1.72
201103,2.39,2.46
201104,4.07,4.10
201105,4.61,4.72
201106,4.35,4.26
201107,3.17,3.00
201108,5.09,4.92
201109,6.32,6.17
201110,6.46,6.31
201111,5.44,5.37
201112,5.02,5.01
201201,4.79,4.80
201202,3.51,3.54
201203,1.92,1.99
201204,1.40,1.43
201205,1.12,1.23
201206,0.79,0.70
201207,-2.23,-2.40
201208,-2.57,-2.74
201209,-1.92,-2.07
201210,-1.14,-1.29
201211,-1.98,-2.05
201212,-0.65,-0.66
201301,-0.94,-0.93
201302,-0.95,-0.92
201303,-1.52,-1.45
201304,-1.53,-1.50
201305,-1.23,-1.12
201306,2.04,1.95
201307,2.21,2.04
201308,2.26,2.09
201309,2.10,1.95
201310,1.89,1.74
201311,2.24,2.17
201312,2.24,2.23
201401,1.91,1.92
201402,1.94,1.97
201403,1.79,1.86
201404,1.71,1.74
201405,1.86,1.97
201406,2.33,2.24
201407,3.07,2.90
201408,3.01,2.84
201409,2.10,1.95
201410,2.09,1.94
201411,1.72,1.65
201412,1.71,1.70
201501,1.30,1.31
201502,0.82,0.85
201503,-1.44,-1.37
201504,-1.50,-1.47
201505,-2.15,-2.04
201506,2.03,1.94
201507,1.83,1.66
201508,1.29,1.12
201509,1.34,1.19
