#  New York Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.12,-0.31
199702,-0.06,-0.01
199703,1.60,1.62
199704,-0.85,-0.88
199705,0.23,0.32
199706,-1.24,-1.42
199707,-0.55,-0.70
199708,0.80,0.76
199709,0.34,0.33
199710,-1.30,-1.40
199711,1.80,1.96
199712,-0.13,0.05
199801,4.08,3.89
199802,0.03,0.08
199803,0.70,0.72
199804,-1.04,-1.07
199805,-1.12,-1.03
199806,4.66,4.48
199807,0.65,0.50
199808,-0.43,-0.47
199809,-1.51,-1.52
199810,-1.02,-1.12
199811,-3.03,-2.87
199812,-2.42,-2.24
199901,4.64,4.45
199902,-2.23,-2.18
199903,1.65,1.67
199904,-3.01,-3.04
199905,-1.94,-1.85
199906,-2.84,-3.02
199907,-1.86,-2.01
199908,-2.17,-2.21
199909,3.69,3.68
199910,0.29,0.19
199911,-0.78,-0.62
199912,-1.88,-1.70
200001,0.88,0.69
200002,0.60,0.65
200003,-0.88,-0.86
200004,3.37,3.34
200005,2.64,2.73
200006,2.55,2.37
200007,1.79,1.64
200008,1.56,1.52
200009,0.83,0.82
200010,-0.53,-0.63
200011,-0.57,-0.41
200012,0.48,0.66
200101,-1.92,-2.11
200102,-0.61,-0.56
200103,3.32,3.34
200104,-4.19,-4.22
200105,-1.37,-1.28
200106,0.70,0.52
200107,-1.55,-1.70
200108,-2.06,-2.10
200109,0.12,0.11
200110,-1.88,-1.98
200111,-3.59,-3.43
200112,-1.42,-1.24
200201,-0.96,-1.15
200202,-0.46,-0.41
200203,0.41,0.43
200204,0.68,0.65
200205,2.90,2.99
200206,2.59,2.41
200207,-2.83,-2.98
200208,-2.77,-2.81
200209,0.10,0.09
200210,1.13,1.03
200211,1.13,1.29
200212,0.58,0.76
200301,-0.43,-0.62
200302,-0.06,-0.01
200303,-0.27,-0.25
200304,-0.88,-0.91
200305,1.76,1.85
200306,0.83,0.65
200307,1.52,1.37
200308,1.58,1.54
200309,2.86,2.85
200310,3.80,3.70
200311,1.27,1.43
200312,1.97,2.15
200401,-0.88,-1.07
200402,-1.95,-1.90
200403,-1.47,-1.45
200404,0.60,0.57
200405,1.95,2.04
200406,-0.86,-1.04
200407,4.01,3.86
200408,4.30,4.26
200409,2.76,2.75
200410,-0.58,-0.68
200411,-0.11,0.05
200412,1.61,1.79
200501,1.87,1.68
200502,-0.76,-0.71
200503,-0.53,-0.51
200504,1.88,1.85
200505,-2.23,-2.14
200506,-1.12,-1.30
200507,-0.27,-0.42
200508,-0.18,-0.22
200509,-0.74,-0.75
200510,5.87,5.77
200511,2.26,2.42
200512,-0.59,-0.41
200601,2.15,1.96
200602,-0.98,-0.93
200603,-2.11,-2.09
200604,-0.54,-0.57
200605,-0.09,0.00
200606,5.20,5.02
200607,2.13,1.98
200608,1.46,1.42
200609,1.90,1.89
200610,4.85,4.75
200611,-0.29,-0.13
200612,-0.05,0.13
200701,1.98,1.79
200702,-0.24,-0.19
200703,1.19,1.21
200704,3.24,3.21
200705,-2.68,-2.59
200706,-1.69,-1.87
200707,1.43,1.28
200708,-2.57,-2.61
200709,-1.51,-1.52
200710,0.44,0.34
200711,1.02,1.18
200712,2.62,2.80
200801,-1.17,-1.36
200802,5.02,5.07
200803,3.71,3.73
200804,-2.13,-2.16
200805,-1.40,-1.31
200806,0.56,0.38
200807,2.90,2.75
200808,1.46,1.42
200809,-0.04,-0.05
200810,2.81,2.71
200811,-0.54,-0.38
200812,3.34,3.52
200901,-0.40,-0.59
200902,-1.60,-1.55
200903,-0.44,-0.42
200904,-2.10,-2.13
200905,1.27,1.36
200906,2.38,2.20
200907,3.58,3.43
200908,2.71,2.67
200909,-0.81,-0.82
200910,2.42,2.32
200911,-2.31,-2.15
200912,0.74,0.92
201001,-0.59,-0.78
201002,0.31,0.36
201003,0.10,0.12
201004,-3.60,-3.63
201005,-2.13,-2.04
201006,2.55,2.37
201007,0.16,0.01
201008,1.28,1.24
201009,-0.56,-0.57
201010,4.89,4.79
201011,-0.59,-0.43
201012,0.22,0.40
201101,-1.26,-1.45
201102,1.80,1.85
201103,2.62,2.64
201104,5.78,5.75
201105,2.87,2.96
201106,0.67,0.49
201107,-2.20,-2.35
201108,6.73,6.69
201109,5.26,5.25
201110,2.38,2.28
201111,-1.08,-0.92
201112,0.42,0.60
201201,0.86,0.67
201202,-2.36,-2.31
201203,-3.67,-3.65
201204,-0.98,-1.01
201205,-0.41,-0.32
201206,-0.63,-0.81
201207,-1.35,-1.50
201208,-1.70,-1.74
201209,1.16,1.15
201210,1.74,1.64
201211,-2.87,-2.71
201212,3.37,3.55
201301,-1.07,-1.26
201302,-0.32,-0.27
201303,-1.99,-1.97
201304,-0.52,-0.55
201305,0.44,0.53
201306,5.73,5.55
201307,1.15,1.00
201308,0.82,0.78
201309,0.23,0.22
201310,0.01,-0.09
201311,1.62,1.78
201312,0.69,0.87
201401,-0.28,-0.47
201402,0.68,0.73
201403,0.13,0.15
201404,0.31,0.28
201405,0.99,1.08
201406,1.99,1.81
201407,2.94,2.79
201408,0.77,0.73
201409,-1.80,-1.81
201410,0.63,0.53
201411,-0.48,-0.32
201412,0.50,0.68
201501,-0.71,-0.90
201502,-1.01,-0.96
201503,-2.32,-2.30
201504,-0.64,-0.67
201505,-2.39,-2.30
201506,6.08,5.90
201507,0.04,-0.11
201508,-1.07,-1.11
201509,0.56,0.55
201510,0.78,0.68
201511,-2.45,-2.29
201512,0.53,0.71
201601,-1.72,-1.91
201602,3.33,3.38
201603,-2.38,-2.36
201604,-1.04,-1.07
201605,-1.77,-1.68
201606,-1.33,-1.51
201607,-1.10,-1.25
201608,0.10,0.06
201609,-2.75,-2.76
201610,1.57,1.47
201611,-1.42,-1.26
201612,0.47,0.65
201701,1.04,0.85
201702,0.83,0.88
201703,0.80,0.82
201704,1.46,1.43
201705,3.13,3.22
201706,1.77,1.59
201707,2.66,2.51
201708,0.30,0.26
201709,-1.80,-1.81
201710,2.16,2.06
201711,-0.53,-0.37
201712,-0.97,-0.79
201801,1.12,0.93
201802,1.16,1.21
201803,0.05,0.07
201804,2.03,2.00
201805,-2.20,-2.11
201806,-0.64,-0.82
201807,0.75,0.60
201808,2.04,2.00
201809,1.48,1.47
201810,2.55,2.45
201811,4.66,4.82
201812,0.15,0.33
201901,2.74,2.55
201902,0.31,0.36
201903,-1.74,-1.72
201904,1.50,1.47
201905,2.38,2.47
201906,2.21,2.03
201907,-0.33,-0.48
201908,0.50,0.46
201909,-1.34,-1.35
201910,3.90,3.80
201911,0.89,1.05
201912,1.32,1.50
202001,0.02,-0.17
202002,0.88,0.93
202003,-1.00,-0.98
202004,0.07,0.04
202005,-0.80,-0.71
202006,-2.19,-2.37
202007,-0.44,-0.59
202008,0.80,0.76
202009,-1.95,-1.96
202010,0.05,-0.05
202011,-1.97,-1.81
202012,1.31,1.49
202101,-1.17,-1.36
202102,-0.39,-0.34
202103,-2.57,-2.55
202104,-0.36,-0.39
202105,-0.87,-0.78
202106,-1.04,-1.22
202107,7.08,6.93
202108,2.74,2.70
202109,2.21,2.20
202110,4.32,4.22
202111,-0.76,-0.60
202112,-0.94,-0.76
202201,-1.17,-1.36
202202,2.37,2.42
202203,-0.11,-0.09
202204,2.19,2.16
202205,-1.38,-1.29
202206,0.16,-0.02
202207,-0.79,-0.94
202208,-0.97,-1.01
202209,1.46,1.45
202210,-1.13,-1.23
202211,0.07,0.23
202212,1.70,1.88
