#  North Carolina Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,762,-16
199702,531,-114
199703,343,-145
199704,309,91
199705,121,61
199706,13,9
199707,0,0
199708,1,1
199709,18,-1
199710,201,0
199711,551,79
199712,733,-1
199801,649,-129
199802,546,-99
199803,490,2
199804,198,-20
199805,32,-28
199806,1,-3
199807,0,0
199808,0,0
199809,2,-17
199810,159,-42
199811,397,-75
199812,563,-171
199901,626,-152
199902,562,-83
199903,563,75
199904,149,-69
199905,71,11
199906,3,-1
199907,0,0
199908,0,0
199909,27,8
199910,223,22
199911,321,-151
199912,668,-66
200001,809,31
200002,541,-104
200003,364,-124
200004,245,27
200005,29,-31
200006,2,-2
200007,0,0
200008,0,0
200009,24,5
200010,189,-12
200011,522,50
200012,935,201
200101,794,16
200102,518,-127
200103,549,61
200104,162,-56
200105,56,-4
200106,3,-1
200107,0,0
200108,0,0
200109,35,16
200110,244,43
200111,312,-160
200112,535,-199
200201,700,-78
200202,576,-69
200203,441,-47
200204,109,-109
200205,72,12
200206,2,-2
200207,0,0
200208,0,0
200209,7,-12
200210,149,-52
200211,507,35
200212,763,29
200301,880,102
200302,660,15
200303,392,-96
200304,225,7
200305,67,7
200306,7,3
200307,0,0
200308,0,0
200309,22,3
200310,212,11
200311,290,-182
200312,765,31
200401,836,58
200402,694,49
200403,411,-77
200404,189,-29
200405,16,-44
200406,2,-2
200407,0,0
200408,1,1
200409,17,-2
200410,149,-52
200411,365,-107
200412,717,-17
200501,682,-96
200502,589,-56
200503,544,56
200504,218,0
200505,102,42
200506,3,-1
200507,0,0
200508,0,0
200509,4,-15
200510,151,-50
200511,391,-81
200512,777,43
200601,577,-201
200602,634,-11
200603,462,-26
200604,120,-98
200605,91,31
200606,3,-1
200607,0,0
200608,0,0
200609,30,11
200610,248,47
200611,409,-63
200612,561,-173
200701,648,-130
200702,722,77
200703,349,-139
200704,227,9
200705,59,-1
200706,2,-2
200707,1,1
200708,0,0
200709,5,-14
200710,89,-112
200711,465,-7
200712,549,-185
200801,777,-1
200802,530,-115
200803,441,-47
200804,202,-16
200805,79,19
200806,1,-3
200807,0,0
200808,0,0
200809,13,-6
200810,242,41
200811,535,63
200812,595,-139
200901,814,36
200902,614,-31
200903,488,0
200904,191,-27
200905,45,-15
200906,1,-3
200907,1,1
200908,0,0
200909,18,-1
200910,217,16
200911,376,-96
200912,765,31
201001,875,97
201002,784,139
201003,478,-10
201004,129,-89
201005,26,-34
201006,0,-4
201007,0,0
201008,0,0
201009,4,-15
201010,163,-38
201011,454,-18
201012,969,235
201101,887,109
201102,536,-109
201103,450,-38
201104,130,-88
201105,43,-17
201106,1,-3
201107,0,0
201108,0,0
201109,13,-6
201110,230,29
201111,382,-90
201112,565,-169
201201,661,-117
201202,536,-109
201203,233,-255
201204,181,-37
201205,24,-36
201206,4,0
201207,0,0
201208,0,0
201209,17,-2
201210,198,-3
201211,559,87
201212,542,-192
201301,651,-127
201302,649,4
201303,644,156
201304,189,-29
201305,77,17
201306,2,-2
201307,0,0
201308,1,1
201309,19,0
201310,169,-32
201311,521,49
201312,611,-123
201401,921,143
201402,607,-38
201403,605,117
201404,182,-36
201405,36,-24
201406,1,-3
201407,1,1
201408,1,1
201409,10,-9
201410,154,-47
201411,577,105
201412,621,-113
201501,795,17
201502,837,192
201503,443,-45
201504,162,-56
201505,30,-30
201506,1,-3
201507,0,0
201508,0,0
201509,10,-9
201510,192,-9
201511,330,-142
201512,350,-384
201601,825,47
201602,609,-36
201603,290,-198
201604,188,-30
201605,65,5
201606,1,-3
201607,0,0
201608,0,0
201609,2,-17
201610,123,-78
201611,395,-77
201612,656,-78
201701,615,-163
201702,396,-249
201703,458,-30
201704,88,-130
201705,44,-16
201706,3,-1
201707,0,0
201708,0,0
201709,17,-2
201710,130,-71
201711,448,-24
201712,697,-37
201801,900,122
201802,378,-267
201803,573,85
201804,261,43
201805,13,-47
201806,1,-3
201807,0,0
201808,0,0
201809,1,-18
201810,136,-65
201811,513,41
201812,629,-105
201901,714,-64
201902,478,-167
201903,502,14
201904,139,-79
201905,13,-47
201906,3,-1
201907,0,0
201908,0,0
201909,1,-18
201910,96,-105
201911,536,64
201912,582,-152
202001,601,-177
202002,504,-141
202003,300,-188
202004,222,4
202005,104,44
202006,3,-1
202007,0,0
202008,0,0
202009,19,0
202010,127,-74
202011,317,-155
202012,707,-27
202101,749,-29
202102,642,-3
202103,379,-109
202104,195,-23
202105,69,9
202106,2,-2
202107,0,0
202108,0,0
202109,14,-5
202110,100,-101
202111,508,36
202112,446,-288
202201,813,35
202202,529,-116
202203,369,-119
202204,188,-30
202205,32,-28
202206,1,-3
202207,0,0
202208,0,0
202209,17,-2
202210,251,50
202211,357,-115
202212,729,-5
