#  North Carolina Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.63,-0.28
199702,3.77,-0.06
199703,4.30,0.01
199704,4.86,1.32
199705,2.15,-1.84
199706,3.91,-0.66
199707,5.78,0.10
199708,1.90,-3.38
199709,5.00,0.71
199710,3.09,-0.18
199711,3.77,0.75
199712,3.93,0.26
199801,7.68,3.77
199802,6.56,2.73
199803,5.13,0.84
199804,5.60,2.06
199805,4.58,0.59
199806,3.58,-0.99
199807,4.02,-1.66
199808,5.03,-0.25
199809,3.22,-1.07
199810,1.76,-1.51
199811,2.10,-0.92
199812,4.57,0.90
199901,5.73,1.82
199902,2.56,-1.27
199903,3.09,-1.20
199904,3.68,0.14
199905,2.78,-1.21
199906,3.80,-0.77
199907,4.35,-1.33
199908,4.22,-1.06
199909,13.22,8.93
199910,4.77,1.50
199911,2.37,-0.65
199912,1.90,-1.77
200001,4.92,1.01
200002,2.01,-1.82
200003,3.36,-0.93
200004,4.97,1.43
200005,2.70,-1.29
200006,4.49,-0.08
200007,5.23,-0.45
200008,5.18,-0.10
200009,6.36,2.07
200010,0.08,-3.19
200011,3.14,0.12
200012,1.92,-1.75
200101,2.02,-1.89
200102,2.76,-1.07
200103,5.25,0.96
200104,1.68,-1.86
200105,3.27,-0.72
200106,5.94,1.37
200107,5.35,-0.33
200108,4.19,-1.09
200109,2.99,-1.30
200110,1.21,-2.06
200111,1.15,-1.87
200112,2.00,-1.67
200201,4.97,1.06
200202,1.64,-2.19
200203,4.64,0.35
200204,1.88,-1.66
200205,2.79,-1.20
200206,2.97,-1.60
200207,4.48,-1.20
200208,4.97,-0.31
200209,4.65,0.36
200210,5.46,2.19
200211,4.51,1.49
200212,4.57,0.90
200301,2.20,-1.71
200302,5.19,1.36
200303,5.95,1.66
200304,6.42,2.88
200305,7.46,3.47
200306,5.53,0.96
200307,7.70,2.02
200308,6.39,1.11
200309,5.63,1.34
200310,3.76,0.49
200311,2.79,-0.23
200312,4.14,0.47
200401,1.57,-2.34
200402,3.89,0.06
200403,1.93,-2.36
200404,3.02,-0.52
200405,3.99,0.00
200406,5.34,0.77
200407,5.14,-0.54
200408,7.62,2.34
200409,7.97,3.68
200410,1.95,-1.32
200411,4.00,0.98
200412,2.73,-0.94
200501,2.58,-1.33
200502,2.74,-1.09
200503,4.02,-0.27
200504,3.33,-0.21
200505,3.58,-0.41
200506,5.09,0.52
200507,6.27,0.59
200508,4.07,-1.21
200509,2.06,-2.23
200510,5.72,2.45
200511,3.71,0.69
200512,4.41,0.74
200601,3.31,-0.60
200602,1.82,-2.01
200603,1.44,-2.85
200604,3.71,0.17
200605,3.23,-0.76
200606,7.63,3.06
200607,4.47,-1.21
200608,4.85,-0.43
200609,6.60,2.31
200610,4.04,0.77
200611,6.75,3.73
200612,3.32,-0.35
200701,3.64,-0.27
200702,2.25,-1.58
200703,2.94,-1.35
200704,3.25,-0.29
200705,1.75,-2.24
200706,3.82,-0.75
200707,3.60,-2.08
200708,2.05,-3.23
200709,2.08,-2.21
200710,4.33,1.06
200711,0.91,-2.11
200712,4.13,0.46
200801,1.87,-2.04
200802,3.99,0.16
200803,3.87,-0.42
200804,4.98,1.44
200805,2.94,-1.05
200806,2.28,-2.29
200807,5.13,-0.55
200808,5.97,0.69
200809,5.44,1.15
200810,1.92,-1.35
200811,3.49,0.47
200812,3.93,0.26
200901,2.83,-1.08
200902,1.69,-2.14
200903,5.38,1.09
200904,2.51,-1.03
200905,5.87,1.88
200906,4.42,-0.15
200907,4.16,-1.52
200908,5.04,-0.24
200909,4.39,0.10
200910,2.93,-0.34
200911,6.89,3.87
200912,7.09,3.42
201001,5.00,1.09
201002,3.77,-0.06
201003,4.06,-0.23
201004,1.56,-1.98
201005,4.68,0.69
201006,3.65,-0.92
201007,4.05,-1.63
201008,4.52,-0.76
201009,7.81,3.52
201010,2.71,-0.56
201011,1.59,-1.43
201012,2.87,-0.80
201101,1.95,-1.96
201102,2.56,-1.27
201103,5.23,0.94
201104,3.63,0.09
201105,3.14,-0.85
201106,3.14,-1.43
201107,4.34,-1.34
201108,6.98,1.70
201109,5.36,1.07
201110,2.88,-0.39
201111,4.33,1.31
201112,2.45,-1.22
201201,2.86,-1.05
201202,2.22,-1.61
201203,4.14,-0.15
201204,3.22,-0.32
201205,6.24,2.25
201206,2.85,-1.72
201207,6.13,0.45
201208,5.92,0.64
201209,4.43,0.14
201210,3.32,0.05
201211,0.93,-2.09
201212,4.36,0.69
201301,4.69,0.78
201302,4.09,0.26
201303,2.68,-1.61
201304,4.68,1.14
201305,3.96,-0.03
201306,9.00,4.43
201307,8.41,2.73
201308,4.79,-0.49
201309,2.79,-1.50
201310,2.22,-1.05
201311,3.53,0.51
201312,5.62,1.95
201401,3.29,-0.62
201402,3.11,-0.72
201403,4.61,0.32
201404,4.91,1.37
201405,3.62,-0.37
201406,4.18,-0.39
201407,5.25,-0.43
201408,5.22,-0.06
201409,5.47,1.18
201410,2.89,-0.38
201411,3.77,0.75
201412,3.76,0.09
201501,3.95,0.04
201502,3.50,-0.33
201503,3.43,-0.86
201504,4.35,0.81
201505,2.62,-1.37
201506,5.20,0.63
201507,4.38,-1.30
201508,4.00,-1.28
201509,5.31,1.02
201510,7.07,3.80
201511,7.20,4.18
201512,7.31,3.64
201601,2.80,-1.11
201602,5.81,1.98
201603,2.14,-2.15
201604,2.78,-0.76
201605,5.57,1.58
201606,4.32,-0.25
201607,5.18,-0.50
201608,4.49,-0.79
201609,7.59,3.30
201610,5.63,2.36
201611,1.11,-1.91
201612,3.19,-0.48
201701,3.96,0.05
201702,1.19,-2.64
201703,3.64,-0.65
201704,6.50,2.96
201705,5.95,1.96
201706,4.70,0.13
201707,4.49,-1.19
201708,5.15,-0.13
201709,3.86,-0.43
201710,4.37,1.10
201711,1.30,-1.72
201712,2.85,-0.82
201801,3.79,-0.12
201802,3.08,-0.75
201803,4.11,-0.18
201804,5.16,1.62
201805,6.79,2.80
201806,3.98,-0.59
201807,6.36,0.68
201808,6.61,1.33
201809,10.40,6.11
201810,4.68,1.41
201811,6.33,3.31
201812,7.06,3.39
201901,3.85,-0.06
201902,4.99,1.16
201903,3.22,-1.07
201904,5.19,1.65
201905,2.28,-1.71
201906,5.82,1.25
201907,4.76,-0.92
201908,5.14,-0.14
201909,3.09,-1.20
201910,4.90,1.63
201911,3.34,0.32
201912,4.57,0.90
202001,4.37,0.46
202002,7.01,3.18
202003,3.31,-0.98
202004,5.32,1.78
202005,7.62,3.63
202006,5.04,0.47
202007,4.19,-1.49
202008,7.98,2.70
202009,6.80,2.51
202010,4.21,0.94
202011,6.15,3.13
202012,4.55,0.88
202101,4.63,0.72
202102,6.54,2.71
202103,4.13,-0.16
202104,1.95,-1.59
202105,2.47,-1.52
202106,6.25,1.68
202107,5.88,0.20
202108,6.06,0.78
202109,3.21,-1.08
202110,3.26,-0.01
202111,0.91,-2.11
202112,2.31,-1.36
202201,4.80,0.89
202202,2.97,-0.86
202203,3.97,-0.32
202204,2.94,-0.60
202205,4.73,0.74
202206,2.19,-2.38
202207,6.60,0.92
202208,4.58,-0.70
202209,4.02,-0.27
202210,2.31,-0.96
202211,4.12,1.10
202212,3.40,-0.27
