#  North Carolina Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.79,2.81
199702,2.39,2.40
199703,1.92,1.93
199704,2.49,2.41
199705,-0.49,-0.42
199706,-0.41,-0.51
199707,-0.37,-0.46
199708,-1.36,-1.41
199709,0.08,0.11
199710,-0.16,-0.21
199711,0.22,0.31
199712,0.40,0.50
199801,1.81,1.83
199802,2.61,2.62
199803,2.68,2.69
199804,3.27,3.19
199805,3.06,3.13
199806,-0.38,-0.48
199807,-1.07,-1.16
199808,-1.26,-1.31
199809,-1.78,-1.75
199810,-2.45,-2.50
199811,-3.05,-2.96
199812,-2.87,-2.77
199901,-1.92,-1.90
199902,-2.28,-2.27
199903,-2.42,-2.41
199904,-2.23,-2.31
199905,-2.40,-2.33
199906,-2.29,-2.39
199907,-2.67,-2.76
199908,-3.03,-3.08
199909,2.90,2.93
199910,3.35,3.30
199911,-0.37,-0.28
199912,-0.97,-0.87
200001,-0.39,-0.37
200002,-1.15,-1.14
200003,-1.59,-1.58
200004,-0.74,-0.82
200005,-1.34,-1.27
200006,-1.30,-1.40
200007,-1.32,-1.41
200008,-1.23,-1.28
200009,0.72,0.75
200010,-0.94,-0.99
200011,-0.89,-0.80
200012,-1.27,-1.17
200101,-1.83,-1.81
200102,-2.16,-2.15
200103,-1.47,-1.46
200104,-2.19,-2.27
200105,-2.39,-2.32
200106,-1.57,-1.67
200107,-1.28,-1.37
200108,-1.43,-1.48
200109,-1.57,-1.54
200110,-2.13,-2.18
200111,-3.07,-2.98
200112,-3.87,-3.77
200201,-3.07,-3.05
200202,-3.65,-3.64
200203,-3.21,-3.20
200204,-3.82,-3.90
200205,-4.03,-3.96
200206,-4.38,-4.48
200207,-4.75,-4.84
200208,-4.73,-4.78
200209,-4.46,-4.43
200210,0.42,0.37
200211,0.93,1.02
200212,1.31,1.41
200301,0.61,0.63
200302,1.11,1.12
200303,1.52,1.53
200304,2.63,2.55
200305,3.80,3.87
200306,4.05,3.95
200307,4.55,4.46
200308,4.60,4.55
200309,4.84,4.87
200310,4.73,4.68
200311,-0.25,-0.16
200312,0.31,0.41
200401,-0.84,-0.82
200402,-0.68,-0.67
200403,-1.67,-1.66
200404,-1.74,-1.82
200405,-1.85,-1.78
200406,0.39,0.29
200407,0.25,0.16
200408,1.20,1.15
200409,2.54,2.57
200410,-0.36,-0.41
200411,-0.05,0.04
200412,-0.32,-0.22
200501,-0.84,-0.82
200502,-1.21,-1.20
200503,-0.03,-0.02
200504,-0.07,-0.15
200505,0.03,0.10
200506,0.42,0.32
200507,0.62,0.53
200508,-0.34,-0.39
200509,-1.15,-1.12
200510,0.58,0.53
200511,0.73,0.82
200512,1.08,1.18
200601,-0.36,-0.34
200602,-1.10,-1.09
