#  North Carolina Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.79,2.71
199702,2.39,2.38
199703,1.92,1.99
199704,2.49,2.48
199705,1.74,1.74
199706,1.59,1.40
199707,1.43,1.34
199708,-1.36,-1.46
199709,-1.15,-1.32
199710,-1.19,-1.30
199711,-0.84,-0.83
199712,-0.55,-0.61
199801,1.81,1.73
199802,2.61,2.60
199803,2.68,2.75
199804,3.27,3.26
199805,3.06,3.06
199806,2.37,2.18
199807,1.39,1.30
199808,0.94,0.84
199809,-1.78,-1.95
199810,-2.45,-2.56
199811,-3.05,-3.04
199812,-2.87,-2.93
199901,-1.92,-2.00
199902,-2.28,-2.29
199903,-2.42,-2.35
199904,-2.23,-2.24
199905,-2.40,-2.40
199906,-2.29,-2.48
199907,-2.67,-2.76
199908,-3.03,-3.13
199909,2.90,2.73
199910,3.35,3.24
199911,2.63,2.64
199912,1.72,1.66
200001,2.02,1.94
200002,1.02,1.01
200003,-1.59,-1.52
200004,-0.74,-0.75
200005,-1.34,-1.34
200006,-1.30,-1.49
200007,-1.32,-1.41
200008,-1.23,-1.33
200009,0.72,0.55
200010,-0.94,-1.05
200011,-0.89,-0.88
200012,-1.27,-1.33
200101,-1.83,-1.91
200102,-2.16,-2.17
200103,-1.47,-1.40
200104,-2.19,-2.20
200105,-2.39,-2.39
200106,-1.57,-1.76
200107,-1.28,-1.37
200108,-1.43,-1.53
200109,-1.57,-1.74
200110,-2.13,-2.24
200111,-3.07,-3.06
200112,-3.87,-3.93
200201,-3.07,-3.15
200202,-3.65,-3.66
200203,-3.21,-3.14
200204,-3.82,-3.83
200205,-4.03,-4.03
200206,-4.38,-4.57
200207,-4.75,-4.84
200208,-4.73,-4.83
200209,-4.46,-4.63
200210,-3.59,-3.70
200211,-2.66,-2.65
200212,-1.91,-1.97
200301,-2.28,-2.36
200302,-1.48,-1.49
200303,-0.81,-0.74
200304,2.63,2.62
200305,3.80,3.80
200306,4.05,3.86
200307,4.55,4.46
200308,4.60,4.50
200309,4.84,4.67
200310,4.73,4.62
200311,3.99,4.00
200312,3.89,3.83
200401,2.65,2.57
200402,2.45,2.44
200403,1.14,1.21
200404,0.77,0.76
200405,-1.85,-1.85
200406,-1.27,-1.46
200407,-1.24,-1.33
200408,1.20,1.10
200409,2.54,2.37
200410,1.92,1.81
200411,1.99,2.00
200412,1.51,1.45
200501,0.80,0.72
200502,-1.21,-1.22
200503,-1.11,-1.04
200504,-1.05,-1.06
200505,-0.91,-0.91
200506,0.42,0.23
200507,0.62,0.53
200508,-0.34,-0.44
200509,-1.15,-1.32
200510,0.58,0.47
200511,0.73,0.74
200512,1.08,1.02
200601,0.61,0.53
200602,-1.10,-1.11
200603,-2.16,-2.09
200604,-2.05,-2.06
200605,-2.00,-2.00
200606,1.46,1.27
200607,1.01,0.92
200608,0.69,0.59
200609,1.49,1.32
200610,1.86,1.75
200611,3.10,3.11
200612,2.60,2.54
200701,2.17,2.09
200702,1.41,1.40
200703,-1.49,-1.42
200704,-1.40,-1.41
200705,-2.12,-2.12
200706,-2.27,-2.46
200707,-2.87,-2.96
200708,-4.28,-4.38
200709,-5.04,-5.21
200710,-4.84,-4.95
200711,-5.58,-5.57
200712,-5.45,-5.51
200801,-5.66,-5.74
200802,-5.12,-5.13
200803,-4.83,-4.76
200804,-3.74,-3.75
200805,-3.67,-3.67
200806,-4.34,-4.53
200807,-4.35,-4.44
200808,-3.91,-4.01
200809,-3.26,-3.43
200810,-3.34,-3.45
200811,-2.91,-2.90
200812,-2.52,-2.58
200901,-2.61,-2.69
200902,-3.18,-3.19
200903,-2.42,-2.35
200904,-2.63,-2.64
200905,-1.66,-1.66
200906,-1.47,-1.66
200907,-1.67,-1.76
200908,-1.70,-1.80
200909,-1.50,-1.67
200910,-1.47,-1.58
200911,1.31,1.32
200912,2.64,2.58
201001,2.91,2.83
201002,2.71,2.70
201003,2.33,2.40
201004,1.08,1.07
201005,0.84,0.84
201006,-1.62,-1.81
201007,-2.40,-2.49
201008,-2.87,-2.97
201009,-1.79,-1.96
201010,-1.79,-1.90
201011,-2.21,-2.20
201012,-2.10,-2.16
201101,-2.54,-2.62
201102,-2.86,-2.87
201103,-2.24,-2.17
201104,-2.14,-2.15
201105,-2.33,-2.33
201106,-2.79,-2.98
201107,-3.46,-3.55
201108,-2.94,-3.04
201109,-2.40,-2.57
201110,-2.24,-2.35
201111,-1.64,-1.63
201112,-1.99,-2.05
201201,-2.25,-2.33
201202,-2.74,-2.75
201203,-2.96,-2.89
201204,-2.84,-2.85
201205,-1.83,-1.83
201206,-2.10,-2.29
201207,-2.05,-2.14
201208,-1.65,-1.75
201209,-1.37,-1.54
201210,-1.14,-1.25
201211,-1.69,-1.68
201212,-1.30,-1.36
201301,-0.91,-0.99
201302,-0.69,-0.70
201303,-1.08,-1.01
201304,0.48,0.47
201305,0.51,0.51
201306,2.42,2.23
201307,3.31,3.22
201308,3.10,3.00
201309,2.51,2.34
201310,1.90,1.79
201311,1.86,1.87
201312,2.44,2.38
201401,2.07,1.99
201402,1.57,1.56
201403,1.68,1.75
201404,2.04,2.03
201405,1.56,1.56
201406,1.27,1.08
201407,1.04,0.95
201408,0.99,0.89
201409,1.28,1.11
201410,1.07,0.96
201411,1.40,1.41
201412,1.31,1.25
201501,1.25,1.17
201502,1.14,1.13
201503,0.61,0.68
201504,0.81,0.80
201505,-0.78,-0.78
201506,-0.65,-0.84
201507,-1.22,-1.31
201508,-1.72,-1.82
201509,-1.45,-1.62
201510,1.30,1.19
201511,2.66,2.67
201512,3.52,3.46
201601,2.79,2.71
201602,3.26,3.25
201603,1.75,1.82
201604,1.23,1.22
201605,1.78,1.78
201606,1.56,1.37
201607,1.02,0.93
201608,-1.31,-1.41
201609,0.80,0.63
201610,1.55,1.44
201611,0.63,0.64
201612,-0.83,-0.89
201701,-0.81,-0.89
201702,-2.00,-2.01
201703,-2.08,-2.01
201704,-0.93,-0.94
201705,1.56,1.56
201706,1.62,1.43
201707,1.05,0.96
201708,0.88,0.78
201709,0.64,0.47
201710,0.76,0.65
201711,-0.96,-0.95
201712,-1.14,-1.20
201801,-0.94,-1.02
201802,-1.42,-1.43
201803,-1.23,-1.16
201804,0.85,0.84
201805,1.57,1.57
201806,1.13,0.94
201807,1.22,1.13
201808,1.55,1.45
201809,3.36,3.19
201810,3.58,3.47
201811,4.58,4.59
201812,5.45,5.39
201901,4.87,4.79
201902,4.67,4.66
201903,3.78,3.85
201904,3.94,3.93
201905,2.48,2.48
201906,2.61,2.42
201907,1.83,1.74
201908,1.39,1.29
201909,-1.77,-1.94
