#  North Carolina Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,40.5,0.5
199702,46.0,4.1
199703,54.4,5.1
199704,54.5,-3.3
199705,62.4,-4.0
199706,70.3,-3.3
199707,77.5,0.6
199708,74.2,-1.4
199709,69.6,-0.7
199710,59.3,-0.3
199711,46.8,-2.5
199712,41.6,0.1
199801,44.3,4.3
199802,45.6,3.7
199803,49.4,0.1
199804,58.5,0.7
199805,68.4,2.0
199806,75.8,2.2
199807,78.4,1.5
199808,76.5,0.9
199809,73.2,2.9
199810,61.0,1.4
199811,51.8,2.5
199812,47.0,5.5
199901,45.0,5.0
199902,44.8,2.9
199903,46.6,-2.7
199904,60.4,2.6
199905,65.2,-1.2
199906,72.4,-1.2
199907,78.6,1.7
199908,77.8,2.2
199909,68.6,-1.7
199910,58.7,-0.9
199911,54.5,5.2
199912,43.4,1.9
200001,38.8,-1.2
200002,45.6,3.7
200003,53.4,4.1
200004,56.9,-0.9
200005,69.1,2.7
200006,75.0,1.4
200007,75.4,-1.5
200008,75.0,-0.6
200009,69.1,-1.2
200010,59.7,0.1
200011,47.5,-1.8
200012,35.1,-6.4
200101,39.3,-0.7
200102,46.4,4.5
200103,47.2,-2.1
200104,59.8,2.0
200105,66.3,-0.1
200106,74.3,0.7
200107,74.6,-2.3
200108,76.7,1.1
200109,67.6,-2.7
200110,57.7,-1.9
200111,54.8,5.5
200112,48.0,6.5
200201,42.6,2.6
200202,44.4,2.5
200203,51.1,1.8
200204,62.5,4.7
200205,65.3,-1.1
200206,75.2,1.6
200207,78.7,1.8
200208,77.0,1.4
200209,72.2,1.9
200210,62.1,2.5
200211,48.1,-1.2
200212,40.5,-1.0
200301,36.4,-3.6
200302,41.4,-0.5
200303,52.8,3.5
200304,57.6,-0.2
200305,65.8,-0.6
200306,72.5,-1.1
200307,76.6,-0.3
200308,77.3,1.7
200309,69.4,-0.9
200310,58.9,-0.7
200311,55.7,6.4
200312,40.3,-1.2
200401,37.9,-2.1
200402,40.4,-1.5
200403,51.8,2.5
200404,58.8,1.0
200405,71.1,4.7
200406,74.4,0.8
200407,77.3,0.4
200408,73.9,-1.7
200409,70.2,-0.1
200410,61.6,2.0
200411,52.8,3.5
200412,41.9,0.4
200501,43.0,3.0
200502,43.8,1.9
200503,47.2,-2.1
200504,57.6,-0.2
200505,63.3,-3.1
200506,73.5,-0.1
200507,79.2,2.3
200508,78.1,2.5
200509,73.6,3.3
200510,61.7,2.1
200511,52.1,2.8
200512,40.0,-1.5
200601,46.6,6.6
200602,42.1,0.2
200603,49.8,0.5
200604,61.7,3.9
200605,64.2,-2.2
200606,73.1,-0.5
200607,77.6,0.7
200608,78.3,2.7
200609,68.1,-2.2
200610,57.7,-1.9
200611,51.5,2.2
200612,47.1,5.6
200701,44.2,4.2
200702,39.1,-2.8
200703,53.8,4.5
200704,57.3,-0.5
200705,66.0,-0.4
200706,74.1,0.5
200707,75.8,-1.1
200708,80.6,5.0
200709,72.4,2.1
200710,65.4,5.8
200711,49.5,0.2
200712,47.5,6.0
200801,40.1,0.1
200802,46.2,4.3
200803,51.0,1.7
200804,58.7,0.9
200805,64.8,-1.6
200806,77.1,3.5
200807,76.6,-0.3
200808,75.5,-0.1
200809,70.8,0.5
200810,57.8,-1.8
200811,47.2,-2.1
200812,46.1,4.6
200901,38.7,-1.3
200902,42.8,0.9
200903,49.3,0.0
200904,58.7,0.9
200905,67.5,1.1
200906,75.1,1.5
200907,75.2,-1.7
200908,77.4,1.8
200909,69.6,-0.7
200910,58.9,-0.7
200911,52.7,3.4
200912,40.7,-0.8
201001,36.6,-3.4
201002,36.9,-5.0
201003,49.5,0.2
201004,61.3,3.5
201005,69.5,3.1
201006,78.8,5.2
201007,79.4,2.5
201008,78.6,3.0
201009,73.1,2.8
201010,60.9,1.3
201011,50.0,0.7
201012,33.6,-7.9
201101,36.2,-3.8
201102,45.7,3.8
201103,50.6,1.3
201104,61.4,3.6
201105,67.6,1.2
201106,77.0,3.4
201107,80.0,3.1
201108,77.7,2.1
201109,71.0,0.7
201110,58.2,-1.4
201111,52.4,3.1
201112,46.9,5.4
201201,43.9,3.9
201202,45.8,3.9
