#  North Carolina Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,50.8,0.2
199702,56.8,3.7
199703,67.1,6.0
199704,67.0,-3.3
199705,75.7,-2.9
199706,80.5,-4.3
199707,88.2,0.8
199708,86.0,0.0
199709,80.6,-0.5
199710,71.2,-0.6
199711,57.4,-3.8
199712,51.3,-0.8
199801,53.7,3.1
199802,54.9,1.8
199803,60.0,-1.1
199804,70.1,-0.2
199805,79.4,0.8
199806,86.8,2.0
199807,88.9,1.5
199808,87.3,1.3
199809,85.0,3.9
199810,74.1,2.3
199811,63.8,2.6
199812,57.1,5.0
199901,56.8,6.2
199902,56.7,3.6
199903,59.2,-1.9
199904,72.5,2.2
199905,77.4,-1.2
199906,82.5,-2.3
199907,88.5,1.1
199908,88.8,2.8
199909,79.3,-1.8
199910,70.1,-1.7
199911,67.0,5.8
199912,55.4,3.3
200001,49.3,-1.3
200002,58.2,5.1
200003,66.5,5.4
200004,68.5,-1.8
200005,81.8,3.2
200006,85.8,1.0
200007,85.0,-2.4
200008,85.0,-1.0
200009,78.5,-2.6
200010,74.0,2.2
200011,59.1,-2.1
200012,45.4,-6.7
200101,50.7,0.1
200102,58.0,4.9
200103,58.3,-2.8
200104,72.7,2.4
200105,79.0,0.4
200106,84.5,-0.3
200107,84.2,-3.2
200108,86.9,0.9
200109,78.4,-2.7
200110,71.9,0.1
200111,69.0,7.8
200112,59.4,7.3
200201,54.2,3.6
200202,57.0,3.9
200203,63.5,2.4
200204,75.0,4.7
200205,77.7,-0.9
200206,87.1,2.3
200207,89.5,2.1
200208,88.0,2.0
200209,81.5,0.4
200210,70.4,-1.4
200211,58.9,-2.3
200212,50.6,-1.5
200301,46.6,-4.0
200302,51.2,-1.9
200303,63.8,2.7
200304,69.0,-1.3
200305,75.4,-3.2
200306,82.6,-2.2
200307,85.8,-1.6
200308,86.2,0.2
200309,79.6,-1.5
200310,70.0,-1.8
200311,68.1,6.9
200312,51.7,-0.4
200401,49.0,-1.6
200402,50.4,-2.7
200403,64.0,2.9
200404,71.4,1.1
200405,82.3,3.7
200406,83.7,-1.1
200407,87.2,-0.2
200408,83.1,-2.9
200409,79.2,-1.9
200410,71.1,-0.7
200411,63.9,2.7
200412,53.6,1.5
200501,53.5,2.9
200502,54.3,1.2
200503,58.7,-2.4
200504,70.0,-0.3
200505,75.2,-3.4
200506,83.2,-1.6
200507,88.6,1.2
200508,87.6,1.6
200509,84.7,3.6
200510,72.0,0.2
200511,65.0,3.8
200512,50.7,-1.4
200601,57.7,7.1
200602,53.4,0.3
200603,62.0,0.9
200604,75.3,5.0
200605,76.7,-1.9
200606,83.9,-0.9
200607,88.0,0.6
200608,88.2,2.2
200609,78.1,-3.0
200610,69.3,-2.5
200611,63.1,1.9
200612,59.7,7.6
200701,54.8,4.2
200702,50.4,-2.7
200703,67.4,6.3
200704,70.2,-0.1
200705,78.8,0.2
200706,85.5,0.7
200707,86.6,-0.8
200708,92.4,6.4
200709,84.4,3.3
200710,77.1,5.3
200711,62.3,1.1
200712,58.3,6.2
200801,50.9,0.3
200802,58.3,5.2
200803,63.8,2.7
200804,69.8,-0.5
200805,77.0,-1.6
200806,89.4,4.6
200807,87.6,0.2
200808,86.0,0.0
200809,80.2,-0.9
200810,69.9,-1.9
200811,58.9,-2.3
200812,56.4,4.3
200901,49.1,-1.5
200902,55.0,1.9
200903,60.1,-1.0
200904,71.5,1.2
200905,77.7,-0.9
200906,85.6,0.8
200907,85.7,-1.7
