#  North Carolina Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.22,-0.31
199702,-0.33,-0.34
199703,-0.67,-0.62
199704,2.29,2.22
199705,-1.48,-1.43
199706,0.08,-0.28
199707,0.02,-0.02
199708,-3.11,-3.21
199709,0.23,0.14
199710,-0.48,-0.43
199711,0.67,0.93
199712,0.61,0.53
199801,4.34,4.25
199802,2.98,2.97
199803,1.00,1.05
199804,2.61,2.54
199805,0.37,0.42
199806,-1.13,-1.49
199807,-2.18,-2.22
199808,-0.92,-1.02
199809,-1.95,-2.04
199810,-2.55,-2.50
199811,-2.55,-2.29
199812,-0.40,-0.48
199901,1.95,1.86
199902,-1.65,-1.66
199903,-1.15,-1.10
199904,-0.16,-0.23
199905,-1.21,-1.16
199906,-0.40,-0.76
199907,-1.86,-1.90
199908,-1.90,-2.00
199909,8.70,8.61
199910,2.24,2.29
199911,-1.11,-0.85
199912,-1.92,-2.00
200001,1.43,1.34
200002,-2.39,-2.40
200003,-1.67,-1.62
200004,2.06,1.99
200005,-2.04,-1.99
200006,-0.29,-0.65
200007,-0.46,-0.50
200008,-0.15,-0.25
200009,2.16,2.07
200010,-2.82,-2.77
200011,-0.15,0.11
200012,-1.41,-1.49
200101,-2.06,-2.15
200102,-1.55,-1.56
200103,1.40,1.45
200104,-2.61,-2.68
200105,-1.30,-1.25
200106,1.75,1.39
200107,0.38,0.34
200108,-0.84,-0.94
200109,-0.87,-0.96
200110,-2.15,-2.10
200111,-3.48,-3.22
200112,-3.36,-3.44
200201,1.21,1.12
200202,-2.70,-2.71
200203,0.19,0.24
200204,-2.83,-2.90
200205,-1.81,-1.76
200206,-2.30,-2.66
200207,-2.45,-2.49
200208,-1.42,-1.52
200209,-0.65,-0.74
200210,1.25,1.30
200211,1.67,1.93
200212,1.44,1.36
200301,-1.69,-1.78
200302,1.69,1.68
200303,1.55,1.60
200304,3.80,3.73
200305,4.34,4.39
200306,1.92,1.56
200307,2.74,2.70
200308,1.57,1.47
200309,2.14,2.05
200310,1.15,1.20
200311,-0.76,-0.50
200312,0.94,0.86
200401,-2.52,-2.61
200402,0.22,0.21
200403,-3.18,-3.13
200404,-0.73,-0.80
200405,-0.87,-0.82
200406,1.17,0.81
200407,-0.31,-0.35
200408,2.92,2.82
200409,4.41,4.32
200410,-1.07,-1.02
200411,0.80,1.06
200412,-0.83,-0.91
200501,-1.65,-1.74
200502,-1.36,-1.37
200503,-0.09,-0.04
200504,-0.14,-0.21
200505,0.10,0.15
200506,1.18,0.82
200507,0.72,0.68
200508,-1.01,-1.11
200509,-2.56,-2.65
200510,1.74,1.79
200511,0.62,0.88
200512,1.28,1.20
200601,-1.09,-1.18
200602,-2.32,-2.33
200603,-3.52,-3.47
200604,-0.35,-0.42
200605,-0.49,-0.44
200606,4.37,4.01
200607,-0.88,-0.92
200608,-0.65,-0.75
200609,2.62,2.53
200610,1.58,1.63
200611,4.29,4.55
200612,-0.55,-0.63
200701,-0.48,-0.57
200702,-1.62,-1.63
200703,-2.23,-2.18
200704,-0.20,-0.27
200705,-2.60,-2.55
200706,-1.09,-1.45
200707,-2.52,-2.56
200708,-5.10,-5.20
200709,-3.62,-3.71
200710,-0.96,-0.91
200711,-3.69,-3.43
200712,-1.36,-1.44
200801,-2.30,-2.39
200802,-0.12,-0.13
200803,-0.73,-0.68
200804,1.78,1.71
200805,-0.94,-0.89
200806,-3.13,-3.49
200807,-1.39,-1.43
200808,-0.01,-0.11
200809,0.73,0.64
200810,-1.26,-1.21
200811,0.28,0.54
200812,0.26,0.18
200901,-1.06,-1.15
200902,-2.52,-2.53
200903,1.31,1.36
200904,-1.37,-1.44
200905,2.10,2.15
200906,0.05,-0.31
200907,-1.07,-1.11
200908,-0.60,-0.70
200909,0.07,-0.02
200910,-0.38,-0.33
200911,3.92,4.18
200912,4.39,4.31
201001,1.64,1.55
201002,0.29,0.28
201003,-0.31,-0.26
201004,-3.02,-3.09
201005,-0.40,-0.35
201006,-1.84,-2.20
201007,-2.84,-2.88
201008,-2.15,-2.25
201009,2.34,2.25
201010,-0.56,-0.51
201011,-1.81,-1.55
201012,-0.33,-0.41
201101,-1.98,-2.07
201102,-1.73,-1.74
201103,0.97,1.02
201104,-0.40,-0.47
201105,-1.22,-1.17
201106,-2.11,-2.47
201107,-2.88,-2.92
201108,0.50,0.40
201109,0.71,0.62
201110,-0.25,-0.20
201111,1.09,1.35
201112,-1.56,-1.64
201201,-1.39,-1.48
201202,-2.16,-2.17
201203,-1.50,-1.45
201204,-0.55,-0.62
201205,2.15,2.20
201206,-1.38,-1.74
201207,-0.50,-0.54
201208,0.56,0.46
201209,0.34,0.25
201210,0.24,0.29
201211,-1.98,-1.72
201212,0.63,0.55
201301,0.78,0.69
201302,0.37,0.36
201303,-1.37,-1.32
201304,1.40,1.33
201305,0.24,0.29
201306,5.89,5.53
201307,3.42,3.38
201308,0.39,0.29
201309,-0.81,-0.90
201310,-1.07,-1.02
201311,0.47,0.73
201312,2.31,2.23
201401,-0.34,-0.43
201402,-0.87,-0.88
201403,0.81,0.86
201404,1.61,1.54
201405,-0.81,-0.76
201406,-0.40,-0.76
201407,-0.29,-0.33
201408,0.17,0.07
201409,1.16,1.07
201410,-0.23,-0.18
201411,1.34,1.60
201412,0.14,0.06
201501,0.24,0.15
201502,0.05,0.04
201503,-1.22,-1.17
201504,0.76,0.69
201505,-2.04,-1.99
201506,0.14,-0.22
201507,-1.90,-1.94
201508,-1.87,-1.97
201509,0.28,0.19
201510,3.65,3.70
201511,4.50,4.76
201512,3.38,3.30
201601,-1.08,-1.17
201602,2.27,2.26
201603,-3.54,-3.49
201604,-1.02,-1.09
201605,2.06,2.11
201606,-0.11,-0.47
201607,-1.16,-1.20
201608,-1.56,-1.66
201609,2.39,2.30
201610,2.51,2.56
201611,-2.27,-2.01
201612,-0.45,-0.53
