#  North Dakota Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,-1
199705,9,-11
199706,136,57
199707,160,-14
199708,129,-1
199709,43,22
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,2,2
199803,0,0
199804,4,3
199805,33,13
199806,40,-39
199807,191,17
199808,199,69
199809,63,42
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,-1
199905,18,-2
199906,71,-8
199907,173,-1
199908,128,-2
199909,8,-13
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,-1
200005,22,2
200006,44,-35
200007,178,4
200008,150,20
200009,19,-2
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,-1
200105,25,5
200106,72,-7
200107,196,22
200108,190,60
200109,26,5
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,-1
200205,3,-17
200206,117,38
200207,238,64
200208,111,-19
200209,35,14
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,-1
200305,14,-6
200306,64,-15
200307,182,8
200308,238,108
200309,18,-3
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,-1
200405,5,-15
200406,34,-45
200407,129,-45
200408,45,-85
200409,32,11
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,4,3
200505,9,-11
200506,104,25
200507,186,12
200508,110,-20
200509,39,18
200510,0,0
200511,0,0
200512,0,0
200601,1,1
200602,0,0
200603,0,0
200604,7,6
200605,24,4
200606,110,31
200607,286,112
200608,163,33
200609,14,-7
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,-1
200705,26,6
200706,111,32
200707,259,85
200708,104,-26
200709,25,4
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,-1
200805,9,-11
200806,47,-32
200807,167,-7
200808,152,22
200809,18,-3
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,-1
200905,9,-11
200906,49,-30
200907,89,-85
200908,84,-46
200909,75,54
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,4,3
201005,14,-6
201006,77,-2
201007,169,-5
201008,165,35
201009,10,-11
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,-1
201105,9,-11
201106,68,-11
201107,220,46
201108,155,25
201109,25,4
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,10,10
201204,0,-1
201205,23,3
201206,114,35
201207,296,122
201208,130,0
201209,25,4
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,-1
201305,14,-6
201306,82,3
201307,157,-17
201308,156,26
201309,59,38
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,-1
201405,15,-5
201406,72,-7
201407,126,-48
201408,125,-5
201409,23,2
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,-1
201505,11,-9
201506,102,23
201507,186,12
201508,140,10
201509,62,41
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,1,1
201603,0,0
201604,0,-1
201605,29,9
201606,116,37
201607,173,-1
201608,141,11
201609,29,8
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,-1
201705,19,-1
201706,101,22
201707,234,60
201708,95,-35
201709,26,5
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,-1
201805,58,38
201806,145,66
201807,175,1
201808,135,5
201809,13,-8
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,-1
201905,5,-15
201906,89,10
201907,176,2
201908,96,-34
201909,26,5
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,-1
202005,11,-9
202006,138,59
202007,203,29
202008,162,32
202009,19,-2
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,-1
202105,13,-7
202106,178,99
202107,279,105
202108,165,35
202109,62,41
202110,0,0
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,-1
202205,13,-7
202206,103,24
202207,203,29
202208,167,37
202209,45,24
202210,0,0
202211,0,0
202212,0,0
