#  North Dakota Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1977,143
199702,1378,-122
199703,1339,89
199704,855,142
199705,422,58
199706,68,-66
199707,44,-3
199708,58,-10
199709,177,-102
199710,609,-39
199711,1200,39
199712,1249,-384
199801,1702,-132
199802,1054,-446
199803,1320,70
199804,538,-175
199805,268,-96
199806,185,51
199807,31,-16
199808,25,-43
199809,143,-136
199810,602,-46
199811,1093,-68
199812,1488,-145
199901,1822,-12
199902,1195,-305
199903,1058,-192
199904,663,-50
199905,339,-25
199906,133,-1
199907,39,-8
199908,59,-9
199909,343,64
199910,672,24
199911,838,-323
199912,1273,-360
200001,1655,-179
200002,1208,-292
200003,927,-323
200004,701,-12
200005,313,-51
200006,176,42
200007,35,-12
200008,47,-21
200009,262,-17
200010,578,-70
200011,1281,120
200012,1945,312
200101,1507,-327
200102,1676,176
200103,1187,-63
200104,668,-45
200105,295,-69
200106,132,-2
200107,29,-18
200108,28,-40
200109,227,-52
200110,706,58
200111,832,-329
200112,1462,-171
200201,1503,-331
200202,1153,-347
200203,1501,251
200204,801,88
200205,508,144
200206,86,-48
200207,19,-28
200208,73,5
200209,200,-79
200210,934,286
200211,1082,-79
200212,1382,-251
200301,1700,-134
200302,1591,91
200303,1310,60
200304,608,-105
200305,371,7
200306,141,7
200307,34,-13
200308,17,-51
200309,260,-19
200310,532,-116
200311,1351,190
200312,1397,-236
200401,1915,81
200402,1399,-101
200403,1088,-162
200404,651,-62
200405,470,106
200406,201,67
200407,65,18
200408,155,87
200409,206,-73
200410,639,-9
200411,955,-206
200412,1434,-199
200501,1834,0
200502,1276,-224
200503,1134,-116
200504,543,-170
200505,426,62
200506,97,-37
200507,33,-14
200508,74,6
200509,188,-91
200510,602,-46
200511,1012,-149
200512,1469,-164
200601,1235,-599
200602,1427,-73
200603,1171,-79
200604,499,-214
200605,305,-59
200606,91,-43
200607,12,-35
200608,39,-29
200609,285,6
200610,770,122
200611,1097,-64
200612,1347,-286
200701,1611,-223
200702,1625,125
200703,1023,-227
200704,727,14
200705,299,-65
200706,90,-44
200707,15,-32
200708,79,11
200709,230,-49
200710,571,-77
200711,1076,-85
200712,1645,12
200801,1745,-89
200802,1557,57
200803,1216,-34
200804,751,38
200805,430,66
200806,168,34
200807,41,-6
200808,45,-23
200809,259,-20
200810,632,-16
200811,1067,-94
200812,1871,238
200901,1893,59
200902,1513,13
200903,1401,151
200904,768,55
200905,423,59
200906,166,32
200907,99,52
200908,97,29
200909,126,-153
200910,831,183
200911,858,-303
200912,1784,151
201001,1730,-104
201002,1567,67
201003,1028,-222
201004,524,-189
201005,385,21
201006,125,-9
201007,41,-6
201008,39,-29
201009,322,43
201010,524,-124
201011,1132,-29
201012,1728,95
201101,1845,11
201102,1542,42
201103,1425,175
201104,767,54
201105,435,71
201106,137,3
201107,23,-24
201108,42,-26
201109,227,-52
201110,507,-141
201111,1033,-128
201112,1305,-328
201201,1410,-424
201202,1235,-265
201203,773,-477
201204,575,-138
201205,315,-49
201206,88,-46
201207,10,-37
201208,57,-11
201209,233,-46
201210,732,84
201211,1131,-30
201212,1613,-20
201301,1680,-154
201302,1381,-119
201303,1484,234
201304,1011,298
201305,367,3
201306,120,-14
201307,47,0
201308,42,-26
201309,149,-130
201310,718,70
201311,1168,7
201312,1878,245
201401,1782,-52
201402,1676,176
201403,1326,76
201404,803,90
201405,359,-5
201406,133,-1
201407,66,19
201408,61,-7
201409,234,-45
201410,572,-76
201411,1343,182
201412,1457,-176
201501,1533,-301
201502,1607,107
201503,1000,-250
201504,617,-96
201505,397,33
201506,97,-37
201507,32,-15
201508,51,-17
201509,146,-133
201510,530,-118
201511,971,-190
201512,1369,-264
201601,1583,-251
201602,1125,-375
201603,894,-356
201604,698,-15
201605,279,-85
201606,85,-49
201607,38,-9
201608,50,-18
201609,212,-67
201610,581,-67
201611,770,-391
201612,1688,55
201701,1669,-165
201702,1245,-255
201703,1170,-80
201704,664,-49
201705,331,-33
201706,99,-35
201707,20,-27
201708,87,19
201709,222,-57
201710,611,-37
201711,1165,4
201712,1545,-88
201801,1664,-170
201802,1668,168
201803,1250,0
201804,951,238
201805,200,-164
201806,63,-71
201807,37,-10
201808,54,-14
201809,304,25
201810,805,157
201811,1277,116
201812,1385,-248
201901,1737,-97
201902,1891,391
201903,1387,137
201904,698,-15
201905,474,110
201906,111,-23
201907,37,-10
201908,86,18
201909,223,-56
201910,841,193
201911,1173,12
201912,1543,-90
202001,1634,-200
202002,1353,-147
202003,1111,-139
202004,825,112
202005,398,34
202006,68,-66
202007,28,-19
202008,39,-29
202009,256,-23
202010,843,195
202011,1000,-161
202012,1305,-328
202101,1380,-454
202102,1664,164
202103,908,-342
202104,729,16
202105,383,19
202106,43,-91
202107,12,-35
202108,39,-29
202109,142,-137
202110,503,-145
202111,983,-178
202112,1587,-46
202201,1781,-53
202202,1579,79
202203,1197,-53
202204,939,226
202205,379,15
202206,99,-35
202207,27,-20
202208,37,-31
202209,173,-106
202210,590,-58
202211,1248,87
202212,1807,174
