#  North Dakota Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.91,0.42
199702,0.30,-0.16
199703,0.82,0.08
199704,2.11,0.74
199705,0.81,-1.51
199706,2.43,-1.00
199707,4.38,1.79
199708,1.46,-0.66
199709,1.14,-0.49
199710,1.70,0.62
199711,0.34,-0.28
199712,0.13,-0.36
199801,0.41,-0.08
199802,1.59,1.13
199803,0.41,-0.33
199804,0.96,-0.41
199805,2.08,-0.24
199806,4.16,0.73
199807,2.14,-0.45
199808,3.01,0.89
199809,0.99,-0.64
199810,3.91,2.83
199811,1.22,0.60
199812,0.30,-0.19
199901,0.92,0.43
199902,0.38,-0.08
199903,0.52,-0.22
199904,1.19,-0.18
199905,5.18,2.86
199906,3.00,-0.43
199907,2.83,0.24
199908,3.36,1.24
199909,2.44,0.81
199910,0.33,-0.75
199911,0.05,-0.57
199912,0.24,-0.25
200001,0.26,-0.23
200002,1.03,0.57
200003,0.74,0.00
200004,1.29,-0.08
200005,2.39,0.07
200006,4.13,0.70
200007,3.18,0.59
200008,2.50,0.38
200009,1.40,-0.23
200010,1.61,0.53
200011,2.33,1.71
200012,0.45,-0.04
200101,0.23,-0.26
200102,0.37,-0.09
200103,0.15,-0.59
200104,1.74,0.37
200105,1.89,-0.43
200106,4.20,0.77
200107,4.66,2.07
200108,0.93,-1.19
200109,1.12,-0.51
200110,0.95,-0.13
200111,0.24,-0.38
200112,0.34,-0.15
200201,0.32,-0.17
200202,0.14,-0.32
200203,0.58,-0.16
200204,1.28,-0.09
200205,1.28,-1.04
200206,3.44,0.01
200207,3.08,0.49
200208,3.02,0.90
200209,1.06,-0.57
200210,0.87,-0.21
200211,0.13,-0.49
200212,0.63,0.14
200301,0.32,-0.17
200302,0.21,-0.25
200303,0.83,0.09
200304,1.09,-0.28
200305,4.05,1.73
200306,3.23,-0.20
200307,1.81,-0.78
200308,1.17,-0.95
200309,1.81,0.18
200310,0.63,-0.45
200311,0.47,-0.15
200312,0.62,0.13
200401,0.76,0.27
200402,0.34,-0.12
200403,1.51,0.77
200404,0.71,-0.66
200405,3.86,1.54
200406,2.24,-1.19
200407,2.55,-0.04
200408,2.00,-0.12
200409,2.53,0.90
200410,1.77,0.69
200411,0.12,-0.50
200412,0.47,-0.02
200501,0.60,0.11
200502,0.12,-0.34
200503,0.55,-0.19
200504,0.57,-0.80
200505,3.46,1.14
200506,7.01,3.58
200507,2.31,-0.28
200508,2.25,0.13
200509,0.82,-0.81
200510,1.52,0.44
200511,1.15,0.53
200512,0.62,0.13
200601,0.27,-0.22
200602,0.33,-0.13
200603,0.89,0.15
200604,1.60,0.23
200605,1.72,-0.60
200606,1.64,-1.79
200607,1.14,-1.45
200608,2.50,0.38
200609,2.08,0.45
200610,1.01,-0.07
200611,0.17,-0.45
200612,0.67,0.18
200701,0.14,-0.35
200702,0.63,0.17
200703,1.55,0.81
200704,1.05,-0.32
200705,5.34,3.02
200706,3.69,0.26
200707,1.88,-0.71
200708,1.97,-0.15
200709,1.27,-0.36
200710,0.94,-0.14
200711,0.17,-0.45
200712,0.37,-0.12
200801,0.10,-0.39
200802,0.41,-0.05
200803,0.36,-0.38
200804,0.68,-0.69
200805,1.65,-0.67
200806,4.11,0.68
200807,2.38,-0.21
200808,2.21,0.09
200809,2.65,1.02
200810,2.50,1.42
200811,1.44,0.82
200812,1.27,0.78
200901,0.63,0.14
200902,1.04,0.58
200903,1.58,0.84
200904,1.10,-0.27
200905,1.75,-0.57
200906,2.97,-0.46
200907,2.29,-0.30
200908,1.93,-0.19
200909,1.78,0.15
200910,2.72,1.64
200911,0.07,-0.55
200912,1.10,0.61
201001,0.79,0.30
201002,0.56,0.10
201003,0.76,0.02
201004,1.58,0.21
201005,4.08,1.76
201006,3.61,0.18
201007,2.76,0.17
201008,2.40,0.28
201009,3.98,2.35
201010,1.09,0.01
201011,0.63,0.01
201012,1.24,0.75
201101,0.96,0.47
201102,0.33,-0.13
201103,1.05,0.31
201104,1.87,0.50
201105,4.06,1.74
201106,3.89,0.46
201107,3.79,1.20
201108,2.46,0.34
201109,1.49,-0.14
201110,1.06,-0.02
201111,0.16,-0.46
201112,0.32,-0.17
201201,0.33,-0.16
201202,0.51,0.05
201203,0.51,-0.23
201204,2.06,0.69
201205,2.04,-0.28
201206,2.62,-0.81
201207,2.21,-0.38
201208,1.52,-0.60
201209,0.20,-1.43
201210,1.97,0.89
201211,0.68,0.06
201212,0.44,-0.05
201301,0.34,-0.15
201302,0.52,0.06
201303,0.97,0.23
201304,1.06,-0.31
201305,5.50,3.18
201306,3.69,0.26
201307,2.20,-0.39
201308,1.63,-0.49
201309,2.76,1.13
201310,3.52,2.44
201311,0.21,-0.41
