#  North Dakota Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,5.03,4.35
199702,4.59,3.94
199703,4.55,3.90
199704,5.15,4.59
199705,4.15,3.51
199706,3.18,2.46
199707,4.32,3.52
199708,3.69,2.91
199709,2.87,2.13
199710,3.06,2.30
199711,2.55,1.84
199712,1.91,1.21
199801,1.59,0.91
199802,2.72,2.07
199803,2.26,1.61
199804,1.35,0.79
199805,0.82,0.18
199806,1.37,0.65
199807,0.93,0.13
199808,1.26,0.48
199809,-0.90,-1.64
199810,2.26,1.50
199811,2.90,2.19
199812,2.67,1.97
199901,3.17,2.49
199902,3.10,2.45
199903,3.06,2.41
199904,2.86,2.30
199905,4.83,4.19
199906,4.64,3.92
199907,5.22,4.42
199908,6.14,5.36
199909,6.52,5.78
199910,5.50,4.74
199911,4.17,3.46
199912,3.57,2.87
200001,3.00,2.32
200002,3.42,2.77
200003,2.95,2.30
200004,2.63,2.07
200005,2.46,1.82
200006,2.94,2.22
200007,3.34,2.54
200008,3.45,2.67
200009,3.00,2.26
200010,3.09,2.33
200011,4.63,3.92
200012,4.35,3.65
200101,3.84,3.16
200102,3.57,2.92
200103,2.93,2.28
200104,2.93,2.37
200105,2.45,1.81
200106,2.88,2.16
200107,4.38,3.58
200108,3.41,2.63
200109,2.67,1.93
200110,2.43,1.67
200111,1.46,0.75
200112,1.10,0.40
200201,0.69,0.01
200202,-1.88,-2.53
200203,-2.07,-2.72
200204,-1.96,-2.52
200205,-2.09,-2.73
200206,-2.27,-2.99
200207,-2.20,-3.00
200208,-1.46,-2.24
200209,-1.92,-2.66
200210,-1.40,-2.16
200211,-1.70,-2.41
200212,-1.38,-2.08
200301,-1.48,-2.16
200302,-1.65,-2.30
200303,-1.53,-2.18
200304,-1.98,-2.54
200305,-0.65,-1.29
200306,1.05,0.33
200307,-0.56,-1.36
200308,-1.58,-2.36
200309,-1.38,-2.12
200310,-1.85,-2.61
200311,-1.84,-2.55
200312,-1.55,-2.25
