#  North Dakota Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,5.03,4.41
199702,4.59,3.97
199703,4.55,4.04
199704,5.15,4.75
199705,3.56,3.07
199706,1.94,1.35
199707,4.32,3.60
199708,3.43,2.70
199709,2.03,1.31
199710,2.74,2.01
199711,1.96,1.26
199712,0.87,0.15
199801,0.42,-0.20
199802,2.72,2.10
199803,1.96,1.45
199804,0.16,-0.24
199805,-0.82,-1.31
199806,0.49,-0.10
199807,-0.27,-0.99
199808,0.51,-0.22
199809,-0.90,-1.62
199810,2.26,1.53
199811,2.90,2.20
199812,2.67,1.95
199901,3.17,2.55
199902,3.10,2.48
199903,3.06,2.55
199904,2.86,2.46
199905,4.83,4.34
199906,4.64,4.05
199907,5.22,4.50
199908,6.14,5.41
199909,6.52,5.80
199910,5.07,4.34
199911,2.85,2.15
199912,2.05,1.33
200001,1.28,0.66
200002,2.44,1.82
200003,1.84,1.33
200004,1.49,1.09
200005,1.42,0.93
200006,2.43,1.84
200007,3.34,2.62
200008,3.45,2.72
200009,2.84,2.12
200010,3.09,2.36
200011,4.63,3.93
200012,4.35,3.63
200101,3.70,3.08
200102,3.53,2.91
200103,2.50,1.99
200104,2.79,2.39
200105,2.05,1.56
200106,2.88,2.29
200107,4.38,3.66
200108,2.77,2.04
200109,1.54,0.82
200110,1.32,0.59
200111,-0.42,-1.12
200112,-0.90,-1.62
200201,-1.46,-2.08
200202,-1.88,-2.50
200203,-2.07,-2.58
200204,-1.96,-2.36
200205,-2.09,-2.58
200206,-2.27,-2.86
200207,-2.20,-2.92
200208,-0.71,-1.44
200209,-1.91,-2.63
200210,-0.87,-1.60
200211,-1.70,-2.40
200212,-1.08,-1.80
200301,-1.47,-2.09
200302,-1.65,-2.27
200303,-1.53,-2.04
200304,-1.98,-2.38
200305,1.00,0.51
200306,1.05,0.46
200307,-0.56,-1.28
200308,-1.58,-2.31
200309,-1.25,-1.97
200310,-1.85,-2.58
200311,-1.84,-2.54
200312,-1.34,-2.06
200401,-0.59,-1.21
200402,-0.83,-1.45
200403,0.73,0.22
200404,-0.65,-1.05
200405,1.32,0.83
200406,0.31,-0.28
200407,0.85,0.13
200408,1.22,0.49
200409,1.74,1.02
200410,2.20,1.47
200411,0.83,0.13
200412,0.74,0.02
200501,0.91,0.29
200502,0.02,-0.60
200503,-0.45,-0.96
200504,-1.57,-1.97
200505,0.81,0.32
200506,2.99,2.40
200507,3.17,2.45
200508,3.38,2.65
200509,1.76,1.04
200510,2.28,1.55
200511,2.99,2.29
200512,2.98,2.26
200601,2.35,1.73
200602,2.00,1.38
200603,2.35,1.84
200604,1.47,1.07
200605,0.33,-0.16
200606,-1.85,-2.44
200607,-3.16,-3.88
200608,-2.98,-3.71
200609,-2.02,-2.74
200610,-1.41,-2.14
200611,-2.17,-2.87
200612,-1.54,-2.26
200701,-2.21,-2.83
200702,-1.71,-2.33
200703,-0.13,-0.64
200704,-0.59,-0.99
200705,2.25,1.76
200706,2.38,1.79
200707,1.78,1.06
200708,1.48,0.75
200709,0.52,-0.20
200710,-0.12,-0.85
200711,-0.97,-1.67
200712,-1.05,-1.77
200801,-1.49,-2.11
200802,-1.50,-2.12
200803,-1.95,-2.46
200804,-2.41,-2.81
200805,-2.58,-3.07
200806,-1.62,-2.21
200807,-2.41,-3.13
200808,-2.47,-3.20
200809,-0.67,-1.39
200810,1.70,0.97
200811,2.47,1.77
200812,3.30,2.58
200901,3.36,2.74
200902,3.95,3.33
200903,4.87,4.36
200904,4.73,4.33
200905,4.41,3.92
200906,4.28,3.69
200907,4.49,3.77
200908,4.43,3.70
200909,4.01,3.29
200910,5.36,4.63
200911,3.54,2.84
200912,4.74,4.02
201001,4.87,4.25
201002,4.82,4.20
201003,4.85,4.34
201004,4.47,4.07
201005,5.66,5.17
201006,5.75,5.16
201007,6.28,5.56
201008,6.41,5.68
201009,7.82,7.10
201010,7.33,6.60
201011,6.88,6.18
201012,7.34,6.62
201101,7.49,6.87
201102,7.00,6.38
201103,7.22,6.71
201104,7.39,6.99
201105,8.42,7.93
201106,8.44,7.85
201107,9.38,8.66
201108,9.49,8.76
201109,8.70,7.98
201110,7.71,6.98
201111,6.25,5.55
201112,5.34,4.62
201201,4.46,3.84
201202,4.18,3.56
201203,1.70,1.19
201204,1.38,0.98
201205,0.68,0.19
201206,-1.03,-1.62
201207,-2.43,-3.15
201208,-2.90,-3.63
201209,-3.85,-4.57
201210,-1.55,-2.28
201211,-0.98,-1.68
201212,-0.75,-1.47
201301,-0.89,-1.51
201302,-0.49,-1.11
201303,0.12,-0.39
201304,0.82,0.42
201305,3.33,2.84
201306,3.70,3.11
201307,4.07,3.35
201308,3.76,3.03
