#  North Dakota Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.6,-4.8
199702,16.7,4.8
199703,22.5,-2.3
199704,36.5,-4.7
199705,51.7,-2.0
199706,67.2,4.3
199707,68.7,-0.3
199708,67.4,0.5
199709,60.4,4.1
199710,45.3,1.3
199711,25.4,-1.0
199712,24.9,12.2
199801,10.4,4.0
199802,27.8,15.9
199803,21.8,-3.0
199804,46.9,5.7
199805,56.9,3.2
199806,59.8,-3.1
199807,70.2,1.2
199808,70.6,3.7
199809,62.4,6.1
199810,45.4,1.4
199811,28.8,2.4
199812,17.4,4.7
199901,6.9,0.5
199902,22.9,11.0
199903,31.2,6.4
199904,42.6,1.4
199905,54.3,0.6
199906,62.6,-0.3
199907,69.2,0.2
199908,67.3,0.4
199909,53.6,-2.7
199910,43.3,-0.7
199911,37.3,10.9
199912,24.3,11.6
200001,12.4,6.0
200002,22.1,10.2
200003,35.1,10.3
200004,41.6,0.4
200005,55.4,1.7
200006,60.4,-2.5
200007,69.7,0.7
200008,68.4,1.5
200009,57.0,0.7
200010,46.3,2.3
200011,21.7,-4.7
200012,2.8,-9.9
200101,17.0,10.6
200102,5.5,-6.4
200103,27.1,2.3
200104,42.6,1.4
200105,56.0,2.3
200106,62.7,-0.2
200107,70.2,1.2
200108,70.3,3.4
200109,58.3,2.0
200110,42.2,-1.8
200111,37.1,10.7
200112,17.9,5.2
200201,16.9,10.5
200202,24.1,12.2
200203,16.3,-8.5
200204,38.2,-3.0
200205,48.6,-5.1
200206,65.6,2.7
200207,72.1,3.1
200208,66.1,-0.8
200209,59.2,2.9
200210,34.7,-9.3
200211,29.4,3.0
200212,20.8,8.1
200301,10.7,4.3
200302,8.8,-3.1
200303,22.8,-2.0
200304,44.9,3.7
200305,53.3,-0.4
200306,62.0,-0.9
200307,69.9,0.9
200308,72.2,5.3
200309,56.8,0.5
200310,47.9,3.9
200311,19.6,-6.8
200312,20.3,7.6
200401,3.8,-2.6
200402,15.5,3.6
200403,30.4,5.6
200404,43.4,2.2
200405,49.8,-3.9
200406,59.1,-3.8
200407,67.1,-1.9
200408,61.5,-5.4
200409,59.0,2.7
200410,44.2,0.2
200411,33.3,6.9
200412,19.4,6.7
200501,6.4,0.0
200502,20.3,8.4
200503,28.9,4.1
200504,46.8,5.6
200505,51.2,-2.5
200506,64.9,2.0
200507,69.8,0.8
200508,66.1,-0.8
200509,59.7,3.4
200510,45.4,1.4
200511,31.5,5.1
200512,17.8,5.1
200601,25.9,19.5
200602,15.0,3.1
200603,27.5,2.7
200604,48.5,7.3
200605,55.5,1.8
200606,65.3,2.4
200607,73.8,4.8
200608,69.1,2.2
200609,55.7,-0.6
200610,39.9,-4.1
200611,28.4,2.0
200612,21.4,8.7
200701,13.7,7.3
200702,7.7,-4.2
200703,32.6,7.8
200704,40.7,-0.5
200705,55.8,2.1
200706,65.3,2.4
200707,73.1,4.1
200708,66.0,-0.9
200709,58.1,1.8
200710,46.3,2.3
200711,29.2,2.8
200712,12.7,0.0
200801,9.6,3.2
200802,10.3,-1.6
200803,26.5,1.7
200804,40.0,-1.2
200805,51.4,-2.3
200806,60.8,-2.1
200807,69.2,0.2
200808,68.6,1.7
200809,56.7,0.4
200810,44.4,0.4
200811,29.5,3.1
200812,5.0,-7.7
200901,5.0,-1.4
200902,11.4,-0.5
200903,20.0,-4.8
200904,39.2,-2.0
200905,51.7,-2.0
200906,60.7,-2.2
200907,64.6,-4.4
200908,64.5,-2.4
200909,63.3,7.0
200910,38.0,-6.0
200911,36.4,10.0
200912,7.4,-5.3
201001,9.7,3.3
201002,9.3,-2.6
201003,31.6,6.8
201004,47.2,6.0
201005,52.4,-1.3
201006,63.1,0.2
201007,68.8,-0.2
201008,69.0,2.1
201009,54.6,-1.7
201010,48.0,4.0
201011,27.2,0.8
201012,9.6,-3.1
201101,6.4,0.0
201102,10.0,-1.9
201103,19.2,-5.6
201104,39.1,-2.1
201105,50.9,-2.8
201106,62.4,-0.5
201107,71.1,2.1
201108,68.6,1.7
201109,58.3,2.0
201110,48.4,4.4
201111,30.5,4.1
201112,23.0,10.3
201201,20.0,13.6
201202,21.0,9.1
201203,40.6,15.8
201204,45.8,4.6
201205,55.0,1.3
201206,65.5,2.6
201207,74.1,5.1
201208,67.4,0.5
201209,58.2,1.9
201210,41.2,-2.8
201211,27.5,1.1
201212,13.3,0.6
201301,11.4,5.0
201302,16.8,4.9
201303,17.6,-7.2
201304,31.3,-9.9
201305,53.4,-0.3
201306,63.3,0.4
201307,68.3,-0.7
201308,68.6,1.7
201309,62.0,5.7
201310,41.6,-2.4
201311,26.2,-0.2
201312,5.0,-7.7
201401,8.5,2.1
201402,5.6,-6.3
201403,22.7,-2.1
201404,38.2,-3.0
201405,53.7,0.0
201406,62.5,-0.4
201407,66.8,-2.2
201408,67.0,0.1
201409,57.8,1.5
201410,46.5,2.5
201411,20.2,-6.2
201412,18.2,5.5
201501,16.0,9.6
201502,8.4,-3.5
201503,33.0,8.2
201504,44.3,3.1
201505,52.4,-1.3
201506,65.1,2.2
201507,69.9,0.9
201508,68.0,1.1
201509,62.0,5.7
201510,47.8,3.8
201511,32.5,6.1
201512,21.1,8.4
201601,14.6,8.2
201602,25.6,13.7
201603,36.3,11.5
201604,41.8,0.6
201605,56.6,2.9
201606,66.0,3.1
201607,69.3,0.3
201608,68.0,1.1
201609,58.6,2.3
201610,46.1,2.1
201611,39.3,12.9
201612,10.2,-2.5
201701,11.2,4.8
201702,20.5,8.6
201703,27.4,2.6
201704,42.7,1.5
201705,54.8,1.1
201706,64.8,1.9
201707,72.2,3.2
201708,65.2,-1.7
201709,58.3,2.0
201710,45.0,1.0
201711,26.4,0.0
201712,15.6,2.9
201801,11.8,5.4
201802,5.4,-6.5
201803,24.7,-0.1
201804,33.3,-7.9
201805,60.2,6.5
201806,67.4,4.5
201807,69.3,0.3
201808,67.6,0.7
201809,55.0,-1.3
201810,39.1,-4.9
201811,22.9,-3.5
201812,20.8,8.1
201901,9.8,3.4
201902,-2.7,-14.6
201903,20.6,-4.2
201904,41.8,0.6
201905,49.6,-4.1
201906,64.0,1.1
201907,69.3,0.3
201908,65.5,-1.4
201909,58.3,2.0
201910,37.6,-6.4
201911,26.1,-0.3
201912,16.1,3.4
202001,12.9,6.5
202002,17.8,5.9
202003,29.8,5.0
202004,37.6,-3.6
202005,52.5,-1.2
202006,66.9,4.0
202007,70.3,1.3
202008,69.2,2.3
202009,57.1,0.8
202010,37.8,-6.2
202011,31.8,5.4
202012,23.4,10.7
202101,21.0,14.6
202102,5.8,-6.1
202103,35.9,11.1
202104,40.7,-0.5
202105,52.8,-0.9
202106,69.3,6.4
202107,73.8,4.8
202108,68.9,2.0
202109,62.2,5.9
202110,48.6,4.6
202111,32.6,6.2
202112,14.0,1.3
202201,8.7,2.3
202202,9.4,-2.5
202203,26.9,2.1
202204,33.6,-7.6
202205,52.9,-0.8
202206,64.6,1.7
202207,70.7,1.7
202208,69.5,2.6
202209,61.0,4.7
202210,46.0,2.0
202211,23.1,-3.3
202212,6.7,-6.0
