#  North Dakota Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.04,1.94
199702,0.25,0.06
199703,1.30,1.23
199704,3.21,3.24
199705,-1.43,-1.79
199706,-1.62,-1.94
199707,4.40,3.86
199708,-0.55,-0.86
199709,-1.34,-1.52
199710,1.47,1.23
199711,-0.58,-0.78
199712,-1.13,-1.32
199801,-0.37,-0.47
199802,3.89,3.70
199803,-0.56,-0.63
199804,-2.02,-1.99
199805,-1.17,-1.53
199806,1.90,1.58
199807,-0.91,-1.45
199808,1.29,0.98
199809,-2.27,-2.45
199810,6.77,6.53
199811,2.61,2.41
199812,0.22,0.03
199901,2.32,2.22
199902,0.77,0.58
199903,0.84,0.77
199904,0.33,0.36
199905,6.82,6.46
199906,0.91,0.59
199907,3.19,2.65
199908,4.35,4.04
199909,3.05,2.87
199910,-1.04,-1.28
199911,-2.30,-2.50
199912,-0.52,-0.71
200001,-0.60,-0.70
200002,2.19,2.00
200003,-0.35,-0.42
200004,-0.06,-0.03
200005,0.32,-0.04
200006,2.19,1.87
200007,2.10,1.56
200008,1.36,1.05
200009,-0.26,-0.44
200010,1.17,0.93
200011,5.58,5.38
200012,0.60,0.41
200101,-0.20,-0.30
200102,0.38,0.19
200103,-0.82,-0.89
200104,0.90,0.93
200105,-0.53,-0.89
200106,2.07,1.75
200107,5.37,4.83
200108,-1.54,-1.85
200109,-1.17,-1.35
200110,0.10,-0.14
200111,-2.15,-2.35
200112,-0.62,-0.81
200201,-0.89,-0.99
200202,-1.36,-1.55
200203,-1.17,-1.24
200204,-0.30,-0.27
200205,-0.98,-1.34
200206,-1.20,-1.52
200207,-0.48,-1.02
200208,1.54,1.23
200209,-1.82,-2.00
200210,0.96,0.72
200211,-1.36,-1.56
200212,0.45,0.26
200301,-0.73,-0.83
200302,-0.97,-1.16
200303,-0.15,-0.22
200304,-1.82,-1.79
200305,3.39,3.03
200306,0.11,-0.21
200307,-1.67,-2.21
200308,-3.23,-3.54
200309,0.11,-0.07
200310,-1.85,-2.09
200311,-0.52,-0.72
200312,0.29,0.10
200401,0.64,0.54
200402,-0.52,-0.71
200403,1.94,1.87
200404,-1.94,-1.91
200405,3.94,3.58
200406,-0.87,-1.19
200407,0.78,0.24
200408,0.80,0.49
200409,1.94,1.76
200410,1.92,1.68
200411,-1.38,-1.58
200412,0.14,-0.05
200501,0.47,0.37
200502,-0.96,-1.15
200503,-0.52,-0.59
200504,-3.09,-3.06
200505,2.51,2.15
200506,6.72,6.40
200507,1.46,0.92
200508,1.60,1.29
200509,-1.65,-1.83
200510,1.13,0.89
200511,1.97,1.77
200512,0.90,0.71
200601,-0.36,-0.46
200602,-0.03,-0.22
200603,0.92,0.85
200604,-0.74,-0.71
200605,-1.17,-1.53
200606,-3.89,-4.21
200607,-4.50,-5.04
200608,-0.44,-0.75
200609,0.79,0.61
200610,0.42,0.18
200611,-1.40,-1.60
200612,0.44,0.25
200701,-1.53,-1.63
200702,0.27,0.08
200703,1.70,1.63
200704,-0.78,-0.75
200705,5.89,5.53
200706,1.07,0.75
200707,-0.37,-0.91
200708,-0.05,-0.36
200709,-0.94,-1.12
200710,-0.64,-0.88
200711,-1.30,-1.50
200712,-0.53,-0.72
200801,-1.66,-1.76
200802,-0.50,-0.69
200803,-1.81,-1.88
200804,-1.98,-1.95
200805,-1.25,-1.61
200806,0.83,0.51
200807,-1.75,-2.29
200808,-0.92,-1.23
200809,1.94,1.76
200810,3.36,3.12
200811,2.84,2.64
200812,3.26,3.07
200901,1.18,1.08
200902,2.83,2.64
200903,3.97,3.90
200904,1.09,1.12
200905,0.50,0.14
200906,0.99,0.67
200907,1.96,1.42
200908,1.20,0.89
200909,0.13,-0.05
200910,5.26,5.02
200911,-1.71,-1.91
200912,2.82,2.63
201001,1.87,1.77
201002,1.35,1.16
201003,1.58,1.51
201004,0.37,0.40
201005,4.94,4.58
201006,2.01,1.69
201007,3.38,2.84
201008,2.31,2.00
201009,6.22,6.04
201010,0.95,0.71
201011,0.91,0.71
201012,3.50,3.31
201101,2.72,2.62
201102,0.86,0.67
201103,2.81,2.74
201104,2.75,2.78
201105,5.35,4.99
201106,2.68,2.36
201107,5.42,4.88
201108,3.22,2.91
201109,0.56,0.38
201110,-0.06,-0.30
201111,-0.88,-1.08
201112,-0.24,-0.43
201201,-0.33,-0.43
201202,0.44,0.25
201203,-2.87,-2.94
201204,0.00,0.03
201205,-0.63,-0.99
201206,-2.39,-2.71
201207,-2.37,-2.91
201208,-2.14,-2.45
201209,-3.76,-3.94
201210,2.56,2.32
201211,0.39,0.19
201212,-0.01,-0.20
201301,-0.49,-0.59
201302,0.29,0.10
201303,0.71,0.64
201304,0.99,1.02
201305,7.25,6.89
201306,2.13,1.81
201307,2.26,1.72
201308,0.32,0.01
201309,2.32,2.14
201310,6.75,6.51
201311,-0.16,-0.36
201312,2.34,2.15
201401,0.82,0.72
201402,0.17,-0.02
201403,0.63,0.56
201404,3.10,3.13
201405,1.45,1.09
201406,4.22,3.90
201407,1.13,0.59
201408,6.86,6.55
201409,0.13,-0.05
201410,-1.05,-1.29
201411,0.06,-0.14
201412,-0.67,-0.86
201501,0.26,0.16
201502,0.20,0.01
201503,-0.77,-0.84
201504,-2.25,-2.22
201505,3.67,3.31
201506,0.57,0.25
201507,0.72,0.18
201508,-1.02,-1.33
201509,-0.85,-1.03
201510,0.02,-0.22
201511,-0.43,-0.63
201512,0.25,0.06
201601,-1.09,-1.19
201602,-0.39,-0.58
201603,-2.24,-2.31
201604,1.68,1.71
201605,-0.40,-0.76
201606,-2.47,-2.79
201607,2.88,2.34
201608,0.46,0.15
201609,2.88,2.70
201610,0.19,-0.05
201611,-0.61,-0.81
201612,2.86,2.67
201701,0.09,-0.01
201702,0.01,-0.18
201703,-0.62,-0.69
201704,-1.24,-1.21
201705,-2.79,-3.15
201706,-3.24,-3.56
201707,-4.38,-4.92
201708,0.83,0.52
201709,1.29,1.11
201710,-2.32,-2.56
201711,-1.04,-1.24
201712,-0.56,-0.75
201801,-1.35,-1.45
201802,-0.81,-1.00
201803,1.06,0.99
201804,-0.93,-0.90
201805,-2.15,-2.51
201806,0.49,0.17
201807,-0.22,-0.76
201808,-2.09,-2.40
201809,0.04,-0.14
201810,1.56,1.32
201811,0.61,0.41
201812,0.73,0.54
201901,-0.14,-0.24
201902,2.08,1.89
201903,-0.25,-0.32
201904,-0.44,-0.41
201905,1.26,0.90
201906,-0.41,-0.73
201907,2.03,1.49
201908,2.23,1.92
201909,9.65,9.47
201910,5.32,5.08
201911,1.66,1.46
201912,2.64,2.45
202001,1.32,1.22
202002,0.59,0.40
202003,0.68,0.61
202004,0.73,0.76
202005,-0.37,-0.73
202006,-1.25,-1.57
202007,3.57,3.03
202008,0.58,0.27
202009,-2.22,-2.40
202010,-0.14,-0.38
202011,-1.39,-1.59
202012,-0.95,-1.14
202101,-1.09,-1.19
202102,-1.20,-1.39
202103,-3.59,-3.66
202104,-2.62,-2.59
202105,-1.20,-1.56
202106,-4.45,-4.77
202107,-5.54,-6.08
202108,-0.27,-0.58
202109,-2.30,-2.48
202110,4.58,4.34
202111,-0.33,-0.53
202112,1.58,1.39
202201,0.08,-0.02
202202,-0.12,-0.31
202203,-1.29,-1.36
202204,6.26,6.29
202205,5.06,4.70
202206,-0.63,-0.95
202207,2.28,1.74
202208,-0.88,-1.19
202209,-2.57,-2.75
202210,-1.23,-1.47
202211,0.33,0.13
202212,3.59,3.40
