#  Ohio Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1221,28
199702,857,-163
199703,744,-93
199704,571,84
199705,349,136
199706,32,-3
199707,5,1
199708,31,14
199709,114,21
199710,380,-9
199711,787,56
199712,979,-99
199801,916,-277
199802,744,-276
199803,731,-106
199804,425,-62
199805,110,-103
199806,28,-7
199807,4,0
199808,4,-13
199809,42,-51
199810,345,-44
199811,633,-98
199812,871,-207
199901,1149,-44
199902,849,-171
199903,929,92
199904,379,-108
199905,159,-54
199906,15,-20
199907,0,-4
199908,19,2
199909,82,-11
199910,391,2
199911,567,-164
199912,994,-84
200001,1206,13
200002,836,-184
200003,635,-202
200004,470,-17
200005,148,-65
200006,21,-14
200007,16,12
200008,21,4
200009,108,15
200010,301,-88
200011,751,20
200012,1348,270
200101,1165,-28
200102,876,-144
200103,901,64
200104,348,-139
200105,172,-41
200106,32,-3
200107,4,0
200108,5,-12
200109,126,33
200110,352,-37
200111,506,-225
200112,850,-228
200201,959,-234
200202,847,-173
200203,809,-28
200204,384,-103
200205,283,70
200206,13,-22
200207,0,-4
200208,2,-15
200209,37,-56
200210,413,24
200211,742,11
200212,1064,-14
200301,1358,165
200302,1123,103
200303,757,-80
200304,408,-79
200305,218,5
200306,61,26
200307,6,2
200308,6,-11
200309,116,23
200310,434,45
200311,558,-173
200312,999,-79
200401,1301,108
200402,984,-36
200403,706,-131
200404,432,-55
200405,120,-93
200406,39,4
200407,7,3
200408,28,11
200409,64,-29
200410,362,-27
200411,599,-132
200412,1047,-31
200501,1117,-76
200502,916,-104
200503,930,93
200504,400,-87
200505,292,79
200506,7,-28
200507,0,-4
200508,2,-15
200509,43,-50
200510,344,-45
200511,623,-108
200512,1174,96
200601,821,-372
200602,946,-74
200603,821,-16
200604,340,-147
200605,217,4
200606,41,6
200607,0,-4
200608,4,-13
200609,129,36
200610,454,65
200611,626,-105
200612,830,-248
200701,1001,-192
200702,1281,261
200703,670,-167
200704,507,20
200705,130,-83
200706,18,-17
200707,10,6
200708,2,-15
200709,47,-46
200710,193,-196
200711,697,-34
200712,994,-84
200801,1112,-81
200802,1037,17
200803,892,55
200804,374,-113
200805,276,63
200806,14,-21
200807,2,-2
200808,16,-1
200809,54,-39
200810,409,20
200811,753,22
200812,1058,-20
200901,1378,185
200902,947,-73
200903,718,-119
200904,425,-62
200905,181,-32
200906,32,-3
200907,23,19
200908,12,-5
200909,86,-7
200910,465,76
200911,569,-162
200912,1071,-7
201001,1247,54
201002,1108,88
201003,716,-121
201004,308,-179
201005,138,-75
201006,9,-26
201007,0,-4
201008,1,-16
201009,65,-28
201010,335,-54
201011,692,-39
201012,1248,170
201101,1296,103
201102,976,-44
201103,804,-33
201104,400,-87
201105,165,-48
201106,18,-17
201107,0,-4
201108,8,-9
201109,90,-3
201110,386,-3
201111,541,-190
201112,875,-203
201201,1028,-165
201202,841,-179
201203,428,-409
201204,455,-32
201205,89,-124
201206,18,-17
201207,0,-4
201208,11,-6
201209,107,14
201210,397,8
201211,761,30
201212,850,-228
201301,1077,-116
201302,1013,-7
201303,943,106
201304,442,-45
201305,140,-73
201306,25,-10
201307,2,-2
201308,16,-1
201309,87,-6
201310,343,-46
201311,784,53
201312,1031,-47
201401,1403,210
201402,1180,160
201403,987,150
201404,419,-68
201405,170,-43
201406,16,-19
201407,17,13
201408,13,-4
201409,97,4
201410,371,-18
201411,850,119
201412,927,-151
201501,1267,74
201502,1353,333
201503,916,79
201504,413,-74
201505,109,-104
201506,22,-13
201507,6,2
201508,16,-1
201509,33,-60
201510,340,-49
201511,532,-199
201512,667,-411
201601,1171,-22
201602,887,-133
201603,587,-250
201604,460,-27
201605,208,-5
201606,14,-21
201607,0,-4
201608,0,-17
201609,29,-64
201610,249,-140
201611,575,-156
201612,1058,-20
201701,952,-241
201702,694,-326
201703,773,-64
201704,272,-215
201705,203,-10
201706,20,-15
201707,0,-4
201708,18,1
201709,66,-27
201710,257,-132
201711,700,-31
201712,1117,39
201801,1240,47
201802,801,-219
201803,902,65
201804,609,122
201805,72,-141
201806,13,-22
201807,0,-4
201808,0,-17
201809,25,-68
201810,341,-48
201811,834,103
201812,928,-150
201901,1174,-19
201902,904,-116
201903,885,48
201904,393,-94
201905,151,-62
201906,29,-6
201907,0,-4
201908,9,-8
201909,24,-69
201910,279,-110
201911,830,99
201912,893,-185
202001,936,-257
202002,908,-112
202003,639,-198
202004,526,39
202005,237,24
202006,17,-18
202007,0,-4
202008,7,-10
202009,83,-10
202010,366,-23
202011,558,-173
202012,973,-105
202101,1059,-134
202102,1120,100
202103,636,-201
202104,413,-74
202105,228,15
202106,11,-24
202107,2,-2
202108,0,-17
202109,51,-42
202110,184,-205
202111,736,5
202112,773,-305
202201,1276,83
202202,966,-54
202203,688,-149
202204,497,10
202205,131,-82
202206,16,-19
202207,0,-4
202208,6,-11
202209,74,-19
202210,404,15
202211,636,-95
202212,1004,-74
