#  Ohio Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.24,-0.57
199702,2.28,-0.01
199703,5.01,1.64
199704,1.63,-1.88
199705,5.16,1.36
199706,5.13,1.15
199707,3.36,-0.62
199708,4.95,1.48
199709,2.21,-0.79
199710,1.52,-1.03
199711,2.64,-0.13
199712,2.22,-0.53
199801,3.41,0.60
199802,2.55,0.26
199803,2.75,-0.62
199804,5.59,2.08
199805,3.29,-0.51
199806,7.20,3.22
199807,3.33,-0.65
199808,3.72,0.25
199809,1.46,-1.54
199810,2.95,0.40
199811,1.65,-1.12
199812,2.07,-0.68
199901,4.21,1.40
199902,2.66,0.37
199903,1.93,-1.44
199904,4.05,0.54
199905,2.20,-1.60
199906,2.10,-1.88
199907,3.65,-0.33
199908,3.14,-0.33
199909,1.85,-1.15
199910,2.15,-0.40
199911,2.49,-0.28
199912,2.63,-0.12
200001,2.62,-0.19
200002,3.24,0.95
200003,2.48,-0.89
200004,4.05,0.54
200005,4.80,1.00
200006,4.89,0.91
200007,3.94,-0.04
200008,3.81,0.34
200009,3.94,0.94
200010,2.20,-0.35
200011,1.80,-0.97
200012,3.08,0.33
200101,1.28,-1.53
200102,1.57,-0.72
200103,1.79,-1.58
200104,3.54,0.03
200105,5.42,1.62
200106,3.09,-0.89
200107,3.63,-0.35
200108,3.54,0.07
200109,3.09,0.09
200110,4.62,2.07
200111,2.98,0.21
200112,2.75,0.00
200201,2.06,-0.75
200202,1.64,-0.65
200203,3.77,0.40
200204,4.75,1.24
200205,5.18,1.38
200206,3.58,-0.40
200207,2.75,-1.23
200208,2.12,-1.35
200209,4.11,1.11
200210,2.96,0.41
200211,2.89,0.12
200212,2.77,0.02
200301,1.61,-1.20
200302,2.88,0.59
200303,2.18,-1.19
200304,2.53,-0.98
200305,6.79,2.99
200306,3.97,-0.01
200307,6.71,2.73
200308,4.82,1.35
200309,5.96,2.96
200310,2.53,-0.02
200311,3.65,0.88
200312,2.79,0.04
200401,3.61,0.80
200402,1.36,-0.93
200403,3.26,-0.11
200404,3.21,-0.30
200405,6.89,3.09
200406,4.57,0.59
200407,4.56,0.58
200408,4.07,0.60
200409,4.31,1.31
200410,2.74,0.19
200411,3.61,0.84
200412,3.23,0.48
200501,6.70,3.89
200502,1.72,-0.57
200503,2.59,-0.78
200504,4.42,0.91
200505,2.44,-1.36
200506,1.78,-2.20
200507,4.17,0.19
200508,4.99,1.52
200509,3.35,0.35
200510,2.65,0.10
200511,3.46,0.69
200512,1.83,-0.92
200601,3.08,0.27
200602,1.63,-0.66
200603,2.66,-0.71
200604,3.18,-0.33
200605,4.18,0.38
200606,4.57,0.59
200607,5.55,1.57
200608,3.04,-0.43
200609,4.79,1.79
200610,5.67,3.12
200611,2.17,-0.60
200612,3.04,0.29
200701,4.51,1.70
200702,2.05,-0.24
200703,4.07,0.70
200704,3.42,-0.09
200705,1.56,-2.24
200706,2.77,-1.21
200707,3.62,-0.36
200708,5.72,2.25
200709,2.37,-0.63
200710,3.23,0.68
200711,3.24,0.47
200712,4.60,1.85
200801,2.36,-0.45
200802,4.90,2.61
200803,6.41,3.04
200804,2.52,-0.99
200805,4.67,0.87
200806,6.42,2.44
200807,3.61,-0.37
200808,1.90,-1.57
200809,2.52,-0.48
200810,1.85,-0.70
200811,2.40,-0.37
200812,4.54,1.79
200901,2.47,-0.34
200902,2.03,-0.26
200903,2.47,-0.90
200904,3.87,0.36
200905,3.68,-0.12
200906,4.01,0.03
200907,4.05,0.07
200908,3.07,-0.40
200909,2.67,-0.33
200910,4.16,1.61
200911,0.98,-1.79
200912,3.04,0.29
201001,1.76,-1.05
201002,2.05,-0.24
201003,2.85,-0.52
201004,2.18,-1.33
201005,5.37,1.57
201006,6.32,2.34
201007,3.45,-0.53
201008,2.72,-0.75
201009,2.11,-0.89
201010,1.93,-0.62
201011,4.14,1.37
201012,1.88,-0.87
201101,1.47,-1.34
201102,4.58,2.29
201103,4.24,0.87
201104,7.63,4.12
201105,6.55,2.75
201106,3.81,-0.17
201107,3.80,-0.18
201108,3.93,0.46
201109,5.89,2.89
201110,4.36,1.81
201111,5.42,2.65
201112,4.27,1.52
201201,3.38,0.57
201202,1.62,-0.67
201203,3.09,-0.28
201204,1.93,-1.58
201205,3.68,-0.12
201206,2.11,-1.87
201207,3.45,-0.53
201208,2.97,-0.50
201209,5.10,2.10
201210,4.46,1.91
201211,0.83,-1.94
201212,4.64,1.89
201301,2.61,-0.20
201302,1.88,-0.41
201303,2.42,-0.95
201304,3.84,0.33
201305,2.28,-1.52
201306,5.92,1.94
201307,6.68,2.70
201308,2.70,-0.77
201309,2.63,-0.37
201310,3.64,1.09
201311,2.96,0.19
201312,4.13,1.38
201401,2.08,-0.73
201402,2.60,0.31
201403,2.00,-1.37
201404,5.28,1.77
201405,3.98,0.18
201406,5.42,1.44
201407,3.45,-0.53
201408,4.14,0.67
201409,2.19,-0.81
201410,2.97,0.42
201411,1.93,-0.84
201412,2.52,-0.23
201501,2.46,-0.35
201502,1.47,-0.82
201503,3.52,0.15
201504,4.58,1.07
201505,3.34,-0.46
201506,8.03,4.05
201507,4.75,0.77
201508,2.49,-0.98
201509,3.07,0.07
201510,2.76,0.21
201511,2.24,-0.53
201512,4.30,1.55
201601,1.34,-1.47
201602,3.24,0.95
201603,4.01,0.64
201604,3.40,-0.11
201605,3.40,-0.40
201606,3.29,-0.69
201607,3.23,-0.75
201608,4.20,0.73
201609,3.72,0.72
201610,2.93,0.38
201611,1.31,-1.46
201612,3.32,0.57
201701,4.06,1.25
201702,2.03,-0.26
201703,4.50,1.13
201704,4.06,0.55
201705,5.29,1.49
201706,4.62,0.64
201707,6.29,2.31
201708,2.32,-1.15
201709,1.86,-1.14
201710,3.77,1.22
201711,5.14,2.37
201712,1.56,-1.19
201801,2.31,-0.50
201802,5.40,3.11
201803,3.30,-0.07
201804,4.63,1.12
201805,4.00,0.20
201806,5.50,1.52
201807,3.26,-0.72
201808,4.96,1.49
201809,6.30,3.30
201810,2.77,0.22
201811,5.16,2.39
201812,3.34,0.59
201901,3.42,0.61
201902,4.69,2.40
201903,3.54,0.17
201904,4.31,0.80
201905,4.82,1.02
201906,6.76,2.78
201907,4.45,0.47
201908,3.64,0.17
201909,1.74,-1.26
201910,3.80,1.25
201911,2.19,-0.58
201912,3.51,0.76
202001,3.51,0.70
202002,2.98,0.69
202003,4.98,1.61
202004,3.66,0.15
202005,5.10,1.30
202006,3.12,-0.86
202007,3.16,-0.82
202008,3.71,0.24
202009,3.18,0.18
202010,4.19,1.64
202011,2.51,-0.26
202012,2.21,-0.54
202101,1.98,-0.83
202102,2.03,-0.26
202103,2.98,-0.39
202104,2.88,-0.63
202105,3.79,-0.01
202106,4.25,0.27
202107,5.66,1.68
202108,4.29,0.82
202109,3.79,0.79
202110,4.64,2.09
202111,1.56,-1.21
202112,3.83,1.08
202201,2.32,-0.49
202202,4.83,2.54
202203,2.82,-0.55
202204,2.96,-0.55
202205,5.39,1.59
202206,3.82,-0.16
202207,5.06,1.08
202208,4.09,0.62
202209,3.06,0.06
202210,1.38,-1.17
202211,2.80,0.03
202212,1.71,-1.04
