#  Ohio Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.35,3.13
199702,3.00,2.81
199703,3.37,3.18
199704,2.34,2.17
199705,2.94,2.78
199706,3.25,3.04
199707,2.76,2.60
199708,3.43,3.30
199709,2.93,2.87
199710,2.34,2.21
199711,2.19,2.07
199712,1.96,1.82
199801,2.11,1.89
199802,1.89,1.70
199803,1.31,1.12
199804,2.06,1.89
199805,1.34,1.18
199806,2.66,2.45
199807,2.21,2.05
199808,2.10,1.97
199809,1.02,0.96
199810,1.00,0.87
199811,-1.37,-1.49
199812,-1.88,-2.02
199901,-1.06,-1.28
199902,-0.77,-0.96
199903,-1.20,-1.39
199904,-1.00,-1.17
199905,-1.69,-1.85
199906,-2.50,-2.71
199907,-2.89,-3.05
199908,-2.95,-3.08
199909,-3.37,-3.43
199910,-3.43,-3.56
199911,-4.01,-4.13
199912,-4.25,-4.39
200001,-3.99,-4.21
200002,-3.14,-3.33
200003,-3.48,-3.67
200004,-2.87,-3.04
200005,-2.33,-2.49
200006,-1.68,-1.89
200007,-1.26,-1.42
200008,-0.73,-0.86
200009,1.80,1.74
200010,1.63,1.50
200011,1.43,1.31
200012,1.75,1.61
200101,1.10,0.88
200102,0.65,0.46
200103,-1.29,-1.48
200104,-1.37,-1.54
200105,-0.66,-0.82
200106,-0.90,-1.11
200107,-0.90,-1.06
200108,-0.91,-1.04
200109,-0.68,-0.74
200110,1.08,0.95
200111,1.12,1.00
200112,1.18,1.04
200201,0.88,0.66
200202,-0.49,-0.68
200203,0.20,0.01
200204,0.60,0.43
200205,1.27,1.11
200206,0.88,0.67
200207,-1.00,-1.16
200208,-1.90,-2.03
200209,-1.53,-1.59
200210,-1.29,-1.42
200211,-1.39,-1.51
200212,-1.32,-1.46
200301,-1.52,-1.74
200302,-1.02,-1.21
200303,-1.53,-1.72
200304,-1.95,-2.12
200305,1.25,1.09
200306,1.34,1.13
200307,2.74,2.58
200308,3.26,3.13
200309,4.64,4.58
200310,4.67,4.54
200311,4.96,4.84
200312,4.77,4.63
200401,4.78,4.56
200402,3.89,3.70
200403,3.31,3.12
200404,2.76,2.59
200405,3.49,3.33
200406,3.51,3.30
200407,3.62,3.46
200408,3.85,3.72
200409,4.18,4.12
200410,4.20,4.07
200411,4.57,4.45
200412,4.64,4.50
200501,5.95,5.73
200502,5.10,4.91
200503,4.37,4.18
200504,4.20,4.03
200505,3.38,3.22
200506,1.88,1.67
200507,1.45,1.29
200508,1.68,1.55
200509,1.43,1.37
200510,1.18,1.05
200511,0.95,0.83
200512,-1.39,-1.53
200601,-1.13,-1.35
200602,-1.28,-1.47
200603,-1.45,-1.64
200604,-1.71,-1.88
200605,-1.34,-1.50
200606,-0.81,-1.02
200607,1.32,1.16
200608,1.05,0.92
