#  Ohio Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.21,3.02
199702,2.80,2.63
199703,3.37,3.22
199704,1.45,1.24
199705,2.94,2.83
199706,3.25,3.14
199707,2.50,2.41
199708,3.43,3.37
199709,2.69,2.66
199710,1.70,1.55
199711,1.61,1.49
199712,1.34,1.22
199801,1.81,1.62
199802,1.54,1.37
199803,0.47,0.32
199804,2.06,1.85
199805,0.57,0.46
199806,2.66,2.55
199807,1.92,1.83
199808,1.90,1.84
199809,-0.32,-0.35
199810,-0.19,-0.34
199811,-1.37,-1.49
199812,-1.88,-2.00
199901,-0.09,-0.28
199902,0.44,0.27
199903,-0.66,-0.81
199904,-0.31,-0.52
199905,-1.69,-1.80
199906,-2.50,-2.61
199907,-2.89,-2.98
199908,-2.95,-3.01
199909,-3.37,-3.40
199910,-3.43,-3.58
199911,-4.01,-4.13
199912,-4.25,-4.37
200001,-3.99,-4.18
200002,-2.58,-2.75
200003,-3.48,-3.63
200004,-2.50,-2.71
200005,-1.64,-1.75
200006,-0.46,-0.57
200007,0.23,0.14
200008,1.10,1.04
200009,1.80,1.77
200010,1.59,1.44
200011,1.26,1.14
200012,1.75,1.63
200101,0.34,0.15
200102,-0.61,-0.78
200103,-1.29,-1.44
200104,-1.37,-1.58
200105,0.39,0.28
200106,-0.34,-0.45
200107,-0.43,-0.52
200108,-0.51,-0.57
200109,-0.06,-0.09
200110,1.08,0.93
200111,1.12,1.00
200112,1.18,1.06
200201,0.44,0.25
200202,-0.49,-0.66
200203,-0.24,-0.39
200204,0.60,0.39
200205,1.27,1.16
200206,0.32,0.21
200207,-1.00,-1.09
200208,-1.90,-1.96
200209,-1.21,-1.24
200210,-0.78,-0.93
200211,-1.15,-1.27
200212,-1.11,-1.23
200301,-1.52,-1.71
200302,-0.39,-0.56
200303,-1.53,-1.68
200304,-1.95,-2.16
200305,1.25,1.14
200306,1.34,1.23
200307,2.74,2.65
200308,3.26,3.20
200309,4.64,4.61
200310,4.67,4.52
200311,4.96,4.84
200312,4.77,4.65
200401,4.78,4.59
200402,3.39,3.22
200403,2.54,2.39
200404,1.72,1.51
200405,3.49,3.38
200406,3.51,3.40
200407,3.62,3.53
200408,3.85,3.79
200409,4.18,4.15
200410,4.20,4.05
200411,4.57,4.45
200412,4.64,4.52
200501,5.95,5.76
200502,4.79,4.62
200503,3.77,3.62
200504,3.87,3.66
200505,2.58,2.47
200506,-0.17,-0.28
200507,-0.76,-0.85
200508,-0.07,-0.13
200509,-0.31,-0.34
200510,-0.56,-0.71
200511,-0.77,-0.89
200512,-1.39,-1.51
200601,-0.84,-1.03
200602,-1.28,-1.45
200603,-1.45,-1.60
200604,-1.71,-1.92
200605,-0.99,-1.10
200606,0.19,0.08
200607,1.32,1.23
200608,0.74,0.68
200609,2.03,2.00
