#  Ohio Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,34.5,-0.5
199702,42.9,4.9
199703,51.3,2.9
199704,58.2,-2.4
199705,65.8,-6.3
199706,78.5,-2.1
199707,83.1,-1.5
199708,78.5,-3.9
199709,74.4,-2.1
199710,64.7,0.3
199711,45.9,-4.0
199712,39.7,1.6
199801,41.9,6.9
199802,46.0,8.0
199803,50.0,1.6
199804,62.7,2.1
199805,76.0,3.9
199806,79.0,-1.6
199807,82.9,-1.7
199808,83.9,1.5
199809,80.9,4.4
199810,65.5,1.1
199811,53.6,3.7
199812,45.8,7.7
199901,37.3,2.3
199902,43.6,5.6
199903,45.7,-2.7
199904,64.6,4.0
199905,75.3,3.2
199906,82.9,2.3
199907,88.7,4.1
199908,81.6,-0.8
199909,78.9,2.4
199910,64.6,0.2
199911,57.5,7.6
199912,41.4,3.3
200001,35.6,0.6
200002,44.4,6.4
200003,55.7,7.3
200004,60.8,0.2
200005,74.3,2.2
200006,80.3,-0.3
200007,80.4,-4.2
200008,80.1,-2.3
200009,74.2,-2.3
200010,67.6,3.2
200011,48.4,-1.5
200012,29.5,-8.6
200101,34.8,-0.2
200102,42.3,4.3
200103,44.8,-3.6
200104,66.3,5.7
200105,72.9,0.8
200106,79.4,-1.2
200107,83.2,-1.4
200108,83.4,1.0
200109,73.6,-2.9
200110,64.5,0.1
200111,59.8,9.9
200112,45.3,7.2
200201,42.1,7.1
200202,45.0,7.0
200203,49.1,0.7
200204,63.6,3.0
200205,68.5,-3.6
200206,82.8,2.2
200207,87.3,2.7
200208,85.7,3.3
200209,81.1,4.6
200210,61.0,-3.4
200211,47.3,-2.6
200212,37.3,-0.8
200301,28.6,-6.4
200302,33.0,-5.0
200303,52.3,3.9
200304,64.0,3.4
200305,69.5,-2.6
200306,76.4,-4.2
200307,82.0,-2.6
200308,82.6,0.2
200309,73.4,-3.1
200310,62.5,-1.9
200311,55.5,5.6
200312,39.4,1.3
200401,31.1,-3.9
200402,39.1,1.1
200403,51.8,3.4
200404,61.6,1.0
200405,75.9,3.8
200406,78.3,-2.3
200407,81.3,-3.3
200408,78.7,-3.7
200409,77.6,1.1
200410,64.4,0.0
200411,53.5,3.6
200412,39.6,1.5
200501,36.9,1.9
200502,41.0,3.0
200503,44.2,-4.2
200504,64.2,3.6
200505,68.7,-3.4
200506,84.0,3.4
200507,85.7,1.1
200508,85.0,2.6
200509,79.7,3.2
200510,63.9,-0.5
200511,54.7,4.8
200512,33.8,-4.3
200601,46.4,11.4
200602,39.6,1.6
200603,48.0,-0.4
200604,67.1,6.5
200605,70.3,-1.8
200606,78.8,-1.8
200607,84.2,-0.4
200608,84.0,1.6
200609,71.4,-5.1
200610,60.2,-4.2
200611,53.5,3.6
200612,47.0,8.9
200701,39.9,4.9
200702,27.8,-10.2
200703,54.2,5.8
200704,58.4,-2.2
200705,77.6,5.5
200706,83.2,2.6
200707,82.3,-2.3
200708,85.9,3.5
200709,80.6,4.1
200710,70.6,6.2
200711,51.1,1.2
200712,40.0,1.9
200801,37.6,2.6
200802,36.6,-1.4
200803,45.2,-3.2
200804,64.8,4.2
200805,68.4,-3.7
200806,81.7,1.1
200807,83.4,-1.2
200808,82.2,-0.2
200809,79.3,2.8
200810,63.8,-0.6
200811,49.0,-0.9
200812,39.7,1.6
200901,29.2,-5.8
200902,40.9,2.9
200903,53.8,5.4
200904,62.4,1.8
200905,73.0,0.9
200906,80.0,-0.6
200907,78.7,-5.9
200908,81.3,-1.1
200909,75.2,-1.3
200910,59.6,-4.8
200911,55.8,5.9
200912,37.7,-0.4
201001,31.0,-4.0
201002,32.4,-5.6
201003,52.6,4.2
201004,68.8,8.2
201005,74.4,2.3
201006,82.4,1.8
201007,86.0,1.4
201008,85.3,2.9
201009,78.5,2.0
201010,66.8,2.4
201011,53.6,3.7
201012,30.8,-7.3
201101,30.9,-4.1
201102,39.0,1.0
201103,48.7,0.3
201104,62.8,2.2
201105,71.7,-0.4
201106,81.2,0.6
201107,88.4,3.8
201108,83.0,0.6
201109,73.3,-3.2
201110,63.0,-1.4
201111,56.5,6.6
201112,44.0,5.9
201201,40.4,5.4
201202,43.4,5.4
201203,63.6,15.2
201204,62.0,1.4
201205,78.9,6.8
201206,83.1,2.5
201207,89.1,4.5
201208,83.7,1.3
201209,74.8,-1.7
201210,62.2,-2.2
201211,49.9,0.0
201212,44.7,6.6
201301,38.7,3.7
201302,36.8,-1.2
201303,42.5,-5.9
201304,62.6,2.0
201305,74.8,2.7
201306,80.0,-0.6
201307,81.9,-2.7
201308,80.7,-1.7
201309,76.3,-0.2
201310,64.8,0.4
201311,47.4,-2.5
201312,39.4,1.3
201401,29.5,-5.5
201402,32.6,-5.4
201403,44.5,-3.9
201404,63.7,3.1
201405,73.2,1.1
201406,81.2,0.6
201407,79.8,-4.8
201408,81.5,-0.9
201409,75.7,-0.8
201410,63.0,-1.4
201411,45.2,-4.7
201412,41.6,3.5
201501,32.5,-2.5
201502,27.4,-10.6
201503,45.8,-2.6
201504,63.0,2.4
201505,77.0,4.9
201506,79.2,-1.4
201507,81.8,-2.8
201508,81.2,-1.2
201509,80.1,3.6
201510,65.0,0.6
201511,57.7,7.8
201512,51.7,13.6
201601,35.8,0.8
201602,42.6,4.6
201603,56.4,8.0
201604,62.3,1.7
201605,70.7,-1.4
201606,83.0,2.4
201607,85.4,0.8
201608,86.1,3.7
201609,80.9,4.4
201610,68.5,4.1
201611,56.8,6.9
201612,37.9,-0.2
201701,41.6,6.6
201702,50.3,12.3
201703,49.6,1.2
201704,68.4,7.8
201705,70.7,-1.4
201706,81.0,0.4
201707,83.0,-1.6
201708,80.5,-1.9
201709,77.3,0.8
201710,68.1,3.7
201711,51.2,1.3
201712,37.4,-0.7
201801,33.7,-1.3
201802,45.6,7.6
201803,45.0,-3.4
201804,55.8,-4.8
201805,79.9,7.8
201806,81.3,0.7
201807,84.5,-0.1
201808,83.0,0.6
201809,78.7,2.2
201810,64.2,-0.2
201811,43.6,-6.3
201812,42.2,4.1
201901,35.0,0.0
201902,41.5,3.5
201903,46.5,-1.9
201904,63.4,2.8
201905,73.5,1.4
201906,78.8,-1.8
201907,86.4,1.8
201908,82.4,0.0
201909,81.9,5.4
201910,68.2,3.8
201911,46.4,-3.5
201912,44.7,6.6
202001,41.7,6.7
202002,40.6,2.6
202003,53.9,5.5
202004,58.5,-2.1
202005,68.8,-3.3
202006,81.9,1.3
202007,88.1,3.5
202008,83.1,0.7
202009,76.2,-0.3
202010,63.1,-1.3
202011,57.1,7.2
202012,40.5,2.4
202101,36.1,1.1
202102,32.7,-5.3
202103,57.5,9.1
202104,63.1,2.5
202105,70.6,-1.5
202106,81.8,1.2
202107,82.7,-1.9
202108,84.8,2.4
202109,78.0,1.5
202110,69.4,5.0
202111,50.1,0.2
202112,49.6,11.5
202201,32.9,-2.1
202202,40.1,2.1
202203,54.4,6.0
202204,59.2,-1.4
202205,74.7,2.6
202206,82.6,2.0
202207,84.0,-0.6
202208,82.2,-0.2
202209,75.3,-1.2
202210,64.2,-0.2
202211,53.7,3.8
202212,40.1,2.0
