#  Ohio Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.21,-0.52
199702,-0.01,-0.04
199703,2.04,2.00
199704,-2.06,-2.12
199705,2.54,2.63
199706,1.83,1.73
199707,-0.47,-0.49
199708,2.88,2.87
199709,-0.45,-0.46
199710,-0.86,-1.01
199711,0.27,0.33
199712,0.00,-0.05
199801,1.04,0.73
199802,0.00,-0.03
199803,-1.17,-1.21
199804,2.67,2.61
199805,-1.53,-1.44
199806,4.38,4.28
199807,-0.54,-0.56
199808,0.36,0.35
199809,-2.59,-2.60
199810,0.27,0.12
199811,-2.17,-2.11
199812,-1.95,-2.00
199901,1.88,1.57
199902,0.53,0.50
199903,-1.54,-1.58
199904,0.25,0.19
199905,-2.40,-2.31
199906,-2.94,-3.04
199907,-1.95,-1.97
199908,-1.08,-1.09
199909,-2.15,-2.16
199910,-1.24,-1.39
199911,-2.80,-2.74
199912,-1.95,-2.00
200001,-0.53,-0.84
200002,1.30,1.27
200003,-1.97,-2.01
200004,0.76,0.70
200005,0.71,0.80
200006,1.25,1.15
200007,0.74,0.72
200008,1.18,1.17
200009,1.92,1.91
200010,0.06,-0.09
200011,-0.10,-0.04
200012,1.41,1.36
200101,-1.41,-1.72
200102,-1.00,-1.03
200103,-1.84,-1.88
200104,-0.65,-0.71
200105,1.72,1.81
200106,-0.93,-1.03
200107,-0.28,-0.30
200108,-0.29,-0.30
200109,0.39,0.38
200110,2.89,2.74
200111,0.45,0.51
200112,0.54,0.49
200201,-0.54,-0.85
200202,-0.98,-1.01
200203,0.59,0.55
200204,1.26,1.20
200205,2.20,2.29
200206,-0.78,-0.88
200207,-2.30,-2.32
200208,-3.02,-3.03
200209,0.53,0.52
200210,0.26,0.11
200211,-0.71,-0.65
200212,-0.23,-0.28
200301,-0.99,-1.30
200302,1.03,1.00
200303,-1.86,-1.90
200304,-1.74,-1.80
200305,3.76,3.85
200306,0.65,0.55
200307,4.62,4.60
200308,2.39,2.38
200309,5.15,5.14
200310,1.53,1.38
200311,2.32,2.38
200312,0.97,0.92
200401,1.50,1.19
200402,-1.19,-1.22
200403,-0.56,-0.60
200404,-0.62,-0.68
200405,3.05,3.14
200406,1.14,1.04
200407,1.42,1.40
200408,1.79,1.78
200409,2.19,2.18
200410,1.36,1.21
200411,2.40,2.46
200412,1.62,1.57
200501,5.36,5.05
200502,-0.69,-0.72
200503,-0.63,-0.67
200504,0.87,0.81
200505,-1.17,-1.08
200506,-3.45,-3.55
200507,-0.72,-0.74
200508,1.14,1.13
200509,-0.24,-0.25
200510,-0.31,-0.46
200511,-0.33,-0.27
200512,-1.32,-1.37
200601,0.36,0.05
200602,-0.79,-0.82
200603,-0.92,-0.96
200604,-1.23,-1.29
200605,0.57,0.66
200606,1.19,1.09
200607,2.43,2.41
200608,-0.39,-0.40
200609,3.25,3.24
200610,5.97,5.82
200611,0.63,0.69
200612,0.89,0.84
200701,2.58,2.27
200702,-0.18,-0.21
200703,0.39,0.35
200704,0.09,0.03
200705,-3.50,-3.41
200706,-2.17,-2.27
200707,-0.73,-0.75
200708,2.05,2.04
200709,-1.52,-1.53
200710,-0.40,-0.55
200711,-0.56,-0.50
200712,2.24,2.19
200801,-0.06,-0.37
200802,3.98,3.95
200803,4.56,4.52
200804,-1.91,-1.97
200805,1.52,1.61
200806,3.14,3.04
200807,-0.17,-0.19
200808,-1.95,-1.96
200809,-1.14,-1.15
200810,-1.03,-1.18
