#  Oklahoma Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,-2
199703,15,3
199704,7,-28
199705,95,-52
199706,291,-74
199707,508,-18
199708,404,-99
199709,286,14
199710,48,-9
199711,0,-2
199712,0,0
199801,0,0
199802,3,1
199803,2,-10
199804,15,-20
199805,230,83
199806,448,83
199807,652,126
199808,569,66
199809,452,180
199810,74,17
199811,7,5
199812,0,0
199901,0,0
199902,11,9
199903,8,-4
199904,37,2
199905,120,-27
199906,307,-58
199907,534,8
199908,574,71
199909,193,-79
199910,50,-7
199911,19,17
199912,0,0
200001,0,0
200002,8,6
200003,20,8
200004,22,-13
200005,188,41
200006,274,-91
200007,485,-41
200008,634,131
200009,325,53
200010,84,27
200011,0,-2
200012,0,0
200101,0,0
200102,0,-2
200103,1,-11
200104,77,42
200105,160,13
200106,348,-17
200107,638,112
200108,566,63
200109,206,-66
200110,35,-22
200111,11,9
200112,0,0
200201,0,0
200202,0,-2
200203,4,-8
200204,45,10
200205,100,-47
200206,354,-11
200207,485,-41
200208,503,0
200209,296,24
200210,14,-43
200211,0,-2
200212,0,0
200301,0,0
200302,0,-2
200303,10,-2
200304,39,4
200305,149,2
200306,263,-102
200307,574,48
200308,558,55
200309,166,-106
200310,61,4
200311,1,-1
200312,0,0
200401,0,0
200402,0,-2
200403,27,15
200404,32,-3
200405,197,50
200406,296,-69
200407,404,-122
200408,347,-156
200409,281,9
200410,78,21
200411,1,-1
200412,0,0
200501,0,0
200502,3,1
200503,11,-1
200504,31,-4
200505,129,-18
200506,379,14
200507,477,-49
200508,494,-9
200509,353,81
200510,57,0
200511,7,5
200512,0,0
200601,10,10
200602,0,-2
200603,22,10
200604,113,78
200605,195,48
200606,381,16
200607,590,64
200608,619,116
200609,183,-89
200610,41,-16
200611,1,-1
200612,0,0
200701,0,0
200702,0,-2
200703,57,45
200704,11,-24
200705,165,18
200706,314,-51
200707,435,-91
200708,557,54
200709,289,17
200710,82,25
200711,1,-1
200712,0,0
200801,0,0
200802,0,-2
200803,12,0
200804,19,-16
200805,149,2
200806,388,23
200807,522,-4
200808,445,-58
200809,194,-78
200810,35,-22
200811,0,-2
200812,0,0
200901,0,0
200902,8,6
200903,17,5
200904,21,-14
200905,100,-47
200906,437,72
200907,481,-45
200908,428,-75
200909,194,-78
200910,8,-49
200911,9,7
200912,0,0
201001,0,0
201002,0,-2
201003,9,-3
201004,52,17
201005,142,-5
201006,477,112
201007,532,6
201008,598,95
201009,308,36
201010,56,-1
201011,2,0
201012,0,0
201101,0,0
201102,0,-2
201103,17,5
201104,56,21
201105,127,-20
201106,552,187
201107,761,235
201108,708,205
201109,205,-67
201110,53,-4
201111,1,-1
201112,0,0
201201,0,0
201202,0,-2
201203,70,58
201204,84,49
201205,247,100
201206,409,44
201207,664,138
201208,527,24
201209,304,32
201210,30,-27
201211,5,3
201212,0,0
201301,0,0
201302,0,-2
201303,5,-7
201304,8,-27
201305,110,-37
201306,381,16
201307,452,-74
201308,469,-34
201309,335,63
201310,37,-20
201311,0,-2
201312,0,0
201401,0,0
201402,0,-2
201403,1,-11
201404,29,-6
201405,159,12
201406,367,2
201407,398,-128
201408,494,-9
201409,271,-1
201410,95,38
201411,0,-2
201412,0,0
201501,0,0
201502,0,-2
201503,13,1
201504,48,13
201505,107,-40
201506,407,42
201507,531,5
201508,432,-71
201509,351,79
201510,68,11
201511,3,1
201512,0,0
201601,0,0
201602,8,6
201603,27,15
201604,47,12
201605,103,-44
201606,437,72
201607,565,39
201608,509,6
201609,329,57
201610,135,78
201611,15,13
201612,0,0
201701,0,0
201702,15,13
201703,35,23
201704,46,11
201705,118,-29
201706,367,2
201707,546,20
201708,392,-111
201709,272,0
201710,55,-2
201711,8,6
201712,0,0
201801,0,0
201802,0,-2
201803,18,6
201804,4,-31
201805,319,172
201806,461,96
201807,547,21
201808,465,-38
201809,290,18
201810,35,-22
201811,0,-2
201812,0,0
201901,0,0
201902,0,-2
201903,4,-8
201904,40,5
201905,128,-19
201906,322,-43
201907,492,-34
201908,529,26
201909,446,174
201910,18,-39
201911,0,-2
201912,0,0
202001,0,0
202002,0,-2
202003,32,20
202004,18,-17
202005,113,-34
202006,411,46
202007,540,14
202008,440,-63
202009,199,-73
202010,22,-35
202011,9,7
202012,0,0
202101,0,0
202102,0,-2
202103,25,13
202104,17,-18
202105,94,-53
202106,367,2
202107,467,-59
202108,515,12
202109,369,97
202110,87,30
202111,3,1
202112,10,10
202201,0,0
202202,0,-2
202203,12,0
202204,40,5
202205,189,42
202206,435,70
202207,672,146
202208,550,47
202209,333,61
202210,53,-4
202211,0,-2
202212,0,0
