#  Oklahoma Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,887,1
199702,608,-57
199703,417,-72
199704,308,119
199705,68,26
199706,2,1
199707,0,0
199708,2,1
199709,14,-7
199710,150,-1
199711,565,77
199712,809,8
199801,762,-124
199802,564,-101
199803,569,80
199804,243,54
199805,12,-30
199806,0,-1
199807,0,0
199808,0,-1
199809,0,-21
199810,116,-35
199811,372,-116
199812,744,-57
199901,789,-97
199902,443,-222
199903,507,18
199904,164,-25
199905,49,7
199906,2,1
199907,0,0
199908,0,-1
199909,36,15
199910,148,-3
199911,264,-224
199912,680,-121
200001,768,-118
200002,482,-183
200003,383,-106
200004,207,18
200005,20,-22
200006,6,5
200007,0,0
200008,0,-1
200009,9,-12
200010,102,-49
200011,642,154
200012,1084,283
200101,912,26
200102,664,-1
200103,570,81
200104,102,-87
200105,29,-13
200106,0,-1
200107,0,0
200108,0,-1
200109,30,9
200110,175,24
200111,323,-165
200112,689,-112
200201,775,-111
200202,658,-7
200203,563,74
200204,146,-43
200205,64,22
200206,0,-1
200207,0,0
200208,0,-1
200209,12,-9
200210,266,115
200211,524,36
200212,740,-61
200301,878,-8
200302,749,84
200303,482,-7
200304,156,-33
200305,34,-8
200306,6,5
200307,0,0
200308,0,-1
200309,48,27
200310,132,-19
200311,431,-57
200312,697,-104
200401,807,-79
200402,724,59
200403,338,-151
200404,173,-16
200405,18,-24
200406,2,1
200407,0,0
200408,6,5
200409,15,-6
200410,111,-40
200411,426,-62
200412,723,-78
200501,792,-94
200502,551,-114
200503,455,-34
200504,174,-15
200505,43,1
200506,0,-1
200507,0,0
200508,0,-1
200509,6,-15
200510,136,-15
200511,370,-118
200512,831,30
200601,561,-325
200602,669,4
200603,368,-121
200604,69,-120
200605,18,-24
200606,0,-1
200607,0,0
200608,0,-1
200609,39,18
200610,166,15
200611,414,-74
200612,714,-87
200701,922,36
200702,716,51
200703,240,-249
200704,275,86
200705,26,-16
200706,1,0
200707,0,0
200708,0,-1
200709,14,-7
200710,106,-45
200711,413,-75
200712,828,27
200801,825,-61
200802,677,12
200803,445,-44
200804,224,35
200805,33,-9
200806,0,-1
200807,0,0
200808,0,-1
200809,35,14
200810,177,26
200811,441,-47
200812,818,17
200901,872,-14
200902,502,-163
200903,400,-89
200904,211,22
200905,64,22
200906,0,-1
200907,0,0
200908,2,1
200909,35,14
200910,320,169
200911,336,-152
200912,939,138
201001,937,51
201002,815,150
201003,495,6
201004,134,-55
201005,37,-5
201006,0,-1
201007,0,0
201008,0,-1
201009,11,-10
201010,136,-15
201011,416,-72
201012,796,-5
201101,937,51
201102,716,51
201103,404,-85
201104,131,-58
201105,45,3
201106,0,-1
201107,0,0
201108,0,-1
201109,32,11
201110,142,-9
201111,437,-51
201112,751,-50
201201,687,-199
201202,580,-85
201203,215,-274
201204,95,-94
201205,9,-33
201206,0,-1
201207,0,0
201208,0,-1
201209,12,-9
201210,189,38
201211,389,-99
201212,692,-109
201301,771,-115
201302,664,-1
201303,550,61
201304,305,116
201305,56,14
201306,0,-1
201307,0,0
201308,0,-1
201309,8,-13
201310,174,23
201311,543,55
201312,929,128
201401,908,22
201402,808,143
201403,582,93
201404,185,-4
201405,29,-13
201406,0,-1
201407,0,0
201408,0,-1
201409,16,-5
201410,93,-58
201411,618,130
201412,710,-91
201501,851,-35
201502,778,113
201503,444,-45
201504,140,-49
201505,59,17
201506,0,-1
201507,0,0
201508,2,1
201509,7,-14
201510,122,-29
201511,400,-88
201512,611,-190
201601,838,-48
201602,498,-167
201603,337,-152
201604,142,-47
201605,61,19
201606,0,-1
201607,0,0
201608,0,-1
201609,9,-12
201610,58,-93
201611,288,-200
201612,808,7
201701,741,-145
201702,411,-254
201703,303,-186
201704,145,-44
201705,50,8
201706,0,-1
201707,0,0
201708,2,1
201709,16,-5
201710,140,-11
201711,363,-125
201712,751,-50
201801,880,-6
201802,670,5
201803,395,-94
201804,336,147
201805,2,-40
201806,0,-1
201807,0,0
201808,0,-1
201809,13,-8
201810,178,27
201811,609,121
201812,744,-57
201901,840,-46
201902,694,29
201903,549,60
201904,155,-34
201905,45,3
201906,1,0
201907,0,0
201908,0,-1
201909,0,-21
201910,244,93
201911,551,63
201912,663,-138
202001,702,-184
202002,641,-24
202003,316,-173
202004,223,34
202005,56,14
202006,0,-1
202007,0,0
202008,1,0
202009,32,11
202010,220,69
202011,341,-147
202012,732,-69
202101,787,-99
202102,948,283
202103,352,-137
202104,228,39
202105,69,27
202106,0,-1
202107,0,0
202108,0,-1
202109,6,-15
202110,100,-51
202111,412,-76
202112,444,-357
202201,870,-16
202202,733,68
202203,450,-39
202204,159,-30
202205,21,-21
202206,0,-1
202207,0,0
202208,0,-1
202209,9,-12
202210,142,-9
202211,518,30
202212,767,-34
