#  Oklahoma Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.48,-0.95
199702,4.12,2.50
199703,1.21,-1.27
199704,5.48,2.06
199705,3.70,-1.14
199706,4.33,0.31
199707,2.54,-0.31
199708,4.70,1.85
199709,3.07,-0.34
199710,4.02,1.03
199711,1.68,-0.53
199712,3.98,2.26
199801,3.54,2.11
199802,1.48,-0.14
199803,5.37,2.89
199804,2.55,-0.87
199805,2.52,-2.32
199806,1.80,-2.22
199807,2.44,-0.41
199808,1.53,-1.32
199809,3.07,-0.34
199810,6.69,3.70
199811,3.29,1.08
199812,1.90,0.18
199901,2.13,0.70
199902,0.88,-0.74
199903,4.12,1.64
199904,5.86,2.44
199905,5.45,0.61
199906,6.32,2.30
199907,1.38,-1.47
199908,1.44,-1.41
199909,3.86,0.45
199910,1.90,-1.09
199911,0.83,-1.38
199912,3.10,1.38
200001,1.15,-0.28
200002,1.53,-0.09
200003,4.30,1.82
200004,2.57,-0.85
200005,4.34,-0.50
200006,7.11,3.09
200007,2.54,-0.31
200008,0.12,-2.73
200009,1.09,-2.32
200010,6.45,3.46
200011,3.76,1.55
200012,1.97,0.25
200101,2.22,0.79
200102,4.11,2.49
200103,1.52,-0.96
200104,1.37,-2.05
200105,7.38,2.54
200106,2.34,-1.68
200107,0.92,-1.93
200108,2.32,-0.53
200109,3.79,0.38
200110,2.21,-0.78
200111,1.75,-0.46
200112,2.05,0.33
200201,2.16,0.73
200202,1.06,-0.56
200203,2.70,0.22
200204,4.14,0.72
200205,3.56,-1.28
200206,3.69,-0.33
200207,3.48,0.63
200208,3.15,0.30
200209,2.33,-1.08
200210,5.11,2.12
200211,0.63,-1.58
200212,3.00,1.28
200301,0.07,-1.36
200302,1.78,0.16
200303,2.01,-0.47
200304,1.88,-1.54
200305,3.71,-1.13
200306,5.17,1.15
200307,0.91,-1.94
200308,4.41,1.56
200309,3.08,-0.33
200310,1.67,-1.32
200311,1.99,-0.22
200312,1.19,-0.53
200401,2.18,0.75
200402,1.69,0.07
200403,3.95,1.47
200404,3.65,0.23
200405,1.56,-3.28
200406,6.52,2.50
200407,4.64,1.79
200408,2.88,0.03
200409,1.23,-2.18
200410,5.11,2.12
200411,5.96,3.75
200412,0.82,-0.90
200501,3.50,2.07
200502,1.67,0.05
200503,1.18,-1.30
200504,1.37,-2.05
200505,2.60,-2.24
200506,4.30,0.28
200507,3.00,0.15
200508,5.13,2.28
200509,2.07,-1.34
200510,2.01,-0.98
200511,0.46,-1.75
200512,0.27,-1.45
200601,0.94,-0.49
200602,0.30,-1.32
200603,3.16,0.68
200604,3.35,-0.07
200605,3.16,-1.68
200606,2.65,-1.37
200607,1.79,-1.06
200608,3.20,0.35
200609,2.41,-1.00
200610,2.85,-0.14
200611,2.45,0.24
200612,3.55,1.83
200701,2.16,0.73
200702,0.93,-0.69
200703,4.23,1.75
200704,2.81,-0.61
200705,7.05,2.21
200706,9.51,5.49
200707,4.48,1.63
200708,3.20,0.35
200709,3.05,-0.36
200710,3.04,0.05
200711,0.48,-1.73
200712,2.63,0.91
200801,0.51,-0.92
200802,2.42,0.80
200803,4.68,2.20
200804,4.58,1.16
200805,4.80,-0.04
200806,5.59,1.57
200807,2.44,-0.41
200808,4.75,1.90
200809,3.63,0.22
200810,2.92,-0.07
200811,1.06,-1.15
200812,0.93,-0.79
200901,0.66,-0.77
200902,1.16,-0.46
200903,2.58,0.10
200904,4.82,1.40
200905,4.98,0.14
200906,2.49,-1.53
200907,3.88,1.03
200908,3.79,0.94
200909,4.60,1.19
200910,6.96,3.97
200911,0.73,-1.48
200912,1.39,-0.33
201001,1.86,0.43
201002,1.92,0.30
201003,2.03,-0.45
201004,2.63,-0.79
201005,4.80,-0.04
201006,4.12,0.10
201007,4.46,1.61
201008,1.69,-1.16
201009,4.13,0.72
201010,1.67,-1.32
201011,1.87,-0.34
201012,0.86,-0.86
201101,0.28,-1.15
201102,1.57,-0.05
201103,0.74,-1.74
201104,3.49,0.07
201105,4.47,-0.37
201106,1.17,-2.85
201107,0.79,-2.06
201108,2.36,-0.49
201109,1.72,-1.69
201110,2.79,-0.20
201111,4.38,2.17
201112,2.48,0.76
201201,1.86,0.43
201202,1.86,0.24
201203,4.56,2.08
201204,3.45,0.03
201205,2.15,-2.69
201206,2.45,-1.57
201207,1.16,-1.69
201208,2.42,-0.43
201209,2.94,-0.47
201210,1.20,-1.79
201211,0.63,-1.58
201212,1.02,-0.70
201301,1.77,0.34
201302,3.24,1.62
201303,1.59,-0.89
201304,3.81,0.39
201305,4.73,-0.11
201306,3.87,-0.15
201307,5.28,2.43
201308,3.34,0.49
201309,2.58,-0.83
201310,3.10,0.11
201311,1.72,-0.49
201312,1.67,-0.05
201401,0.33,-1.10
201402,0.49,-1.13
201403,1.74,-0.74
201404,1.69,-1.73
201405,3.14,-1.70
201406,5.71,1.69
201407,4.57,1.72
201408,1.55,-1.30
201409,2.57,-0.84
201410,3.44,0.45
201411,2.20,-0.01
201412,1.44,-0.28
201501,1.21,-0.22
201502,1.18,-0.44
201503,2.41,-0.07
201504,4.85,1.43
201505,14.44,9.60
201506,4.81,0.79
201507,5.43,2.58
201508,2.45,-0.40
201509,2.07,-1.34
201510,3.26,0.27
201511,6.05,3.84
201512,5.56,3.84
201601,0.50,-0.93
201602,1.02,-0.60
201603,2.47,-0.01
201604,6.05,2.63
201605,3.86,-0.98
201606,3.26,-0.76
201607,3.72,0.87
