#  Oklahoma Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.80,2.53
199702,3.73,3.64
199703,2.80,2.73
199704,3.63,3.41
199705,3.07,2.85
199706,3.07,2.81
199707,3.05,2.75
199708,3.68,3.45
199709,3.20,2.99
199710,3.26,3.09
199711,2.90,2.66
199712,3.73,3.44
199801,4.54,4.27
199802,4.06,3.97
199803,4.94,4.87
199804,4.36,4.14
199805,3.05,2.83
199806,1.78,1.52
199807,0.71,0.41
199808,-3.07,-3.30
199809,-3.24,-3.45
199810,-1.80,-1.97
199811,-1.10,-1.34
199812,-0.58,-0.87
199901,2.13,1.86
199902,1.51,1.42
199903,2.08,2.01
199904,2.87,2.65
199905,2.85,2.63
199906,3.49,3.23
199907,3.10,2.80
199908,2.17,1.94
199909,2.14,1.93
199910,1.53,1.36
199911,-1.58,-1.82
199912,-1.18,-1.47
200001,-1.41,-1.68
200002,-1.74,-1.83
200003,-1.09,-1.16
200004,-1.12,-1.34
200005,-1.23,-1.45
200006,1.26,1.00
200007,1.49,1.19
200008,-0.95,-1.18
200009,-1.80,-2.01
200010,-0.60,-0.77
200011,1.79,1.55
200012,2.19,1.90
200101,2.63,2.36
200102,3.61,3.52
200103,3.01,2.94
200104,1.88,1.66
200105,2.30,2.08
200106,1.62,1.36
200107,0.57,0.27
200108,-1.98,-2.21
200109,-1.65,-1.86
200110,-1.75,-1.92
200111,-2.08,-2.32
200112,-2.06,-2.35
200201,-1.81,-2.08
200202,-2.08,-2.17
200203,-1.79,-1.86
200204,-1.29,-1.51
200205,-1.43,-1.65
200206,-1.30,-1.56
200207,-0.77,-1.07
200208,0.66,0.43
200209,0.21,0.00
200210,1.06,0.89
200211,0.58,0.34
200212,1.18,0.89
200301,0.72,0.45
200302,0.91,0.82
200303,0.68,0.61
200304,-0.65,-0.87
200305,-0.98,-1.20
200306,-0.29,-0.55
200307,-0.58,-0.88
200308,-0.21,-0.44
200309,-0.21,-0.42
200310,-0.71,-0.88
200311,-0.93,-1.17
200312,-1.31,-1.60
200401,-1.14,-1.41
200402,-1.16,-1.25
200403,-0.73,-0.80
200404,0.48,0.26
200405,-1.09,-1.31
200406,0.75,0.49
200407,1.54,1.24
200408,2.00,1.77
200409,1.17,0.96
200410,1.73,1.56
200411,3.13,2.89
200412,2.76,2.47
200501,3.66,3.39
200502,3.35,3.26
200503,2.52,2.45
200504,1.63,1.41
200505,0.76,0.54
200506,0.67,0.41
200507,0.63,0.33
200508,1.48,1.25
200509,0.77,0.56
200510,-1.07,-1.24
200511,-1.86,-2.10
200512,-2.54,-2.83
200601,-3.18,-3.45
200602,-4.06,-4.15
200603,-3.98,-4.05
200604,-4.10,-4.32
200605,-4.71,-4.93
200606,-5.21,-5.47
200607,-5.80,-6.10
200608,-5.48,-5.71
200609,-5.17,-5.38
200610,-4.71,-4.88
200611,-4.27,-4.51
200612,-3.17,-3.46
200701,-2.35,-2.62
200702,-2.23,-2.32
200703,-1.62,-1.69
200704,-1.37,-1.59
200705,-0.55,-0.77
200706,3.49,3.23
200707,4.18,3.88
200708,4.59,4.36
200709,4.06,3.85
200710,3.65,3.48
200711,2.58,2.34
200712,2.60,2.31
200801,1.89,1.62
200802,1.91,1.82
200803,2.59,2.52
200804,2.96,2.74
200805,2.67,2.45
200806,2.95,2.69
200807,2.96,2.66
200808,3.63,3.40
200809,3.50,3.29
200810,3.23,3.06
200811,2.49,2.25
200812,1.87,1.58
200901,1.22,0.95
200902,-1.57,-1.66
200903,-1.61,-1.68
200904,-0.80,-1.02
200905,0.76,0.54
200906,0.20,-0.06
200907,0.42,0.12
200908,0.91,0.68
200909,1.34,1.13
200910,2.86,2.69
200911,2.26,2.02
200912,2.30,2.01
201001,2.57,2.30
201002,2.68,2.59
201003,2.30,2.23
201004,1.80,1.58
201005,1.65,1.43
201006,1.41,1.15
201007,1.84,1.54
201008,1.31,1.08
201009,1.29,1.08
201010,0.67,0.50
201011,-0.90,-1.14
201012,-1.37,-1.66
201101,-2.00,-2.27
201102,-2.24,-2.33
201103,-3.02,-3.09
201104,-2.96,-3.18
201105,-3.03,-3.25
201106,-4.17,-4.43
201107,-5.41,-5.71
201108,-5.61,-5.84
201109,-5.59,-5.80
201110,-5.15,-5.32
201111,-3.93,-4.17
201112,-3.11,-3.40
201201,-2.49,-2.76
201202,-2.05,-2.14
201203,-1.39,-1.46
201204,-1.34,-1.56
201205,-2.20,-2.42
201206,-2.74,-3.00
201207,-3.67,-3.97
201208,-3.80,-4.03
