#  Oklahoma Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.35,2.16
199702,3.73,3.66
199703,2.10,2.07
199704,3.63,3.46
199705,2.80,2.67
199706,3.07,2.91
199707,3.05,2.84
199708,3.68,3.43
199709,3.02,2.84
199710,3.26,3.05
199711,2.81,2.58
199712,3.73,3.48
199801,4.54,4.35
199802,4.00,3.93
199803,4.94,4.91
199804,4.21,4.04
199805,1.88,1.75
199806,-0.46,-0.62
199807,-2.32,-2.53
199808,-3.07,-3.32
199809,-3.24,-3.42
199810,-0.40,-0.61
199811,0.87,0.64
199812,1.71,1.46
199901,2.13,1.94
199902,0.89,0.82
199903,2.08,2.05
199904,2.87,2.70
199905,2.85,2.72
199906,3.49,3.33
199907,3.00,2.79
199908,1.29,1.04
199909,1.46,1.28
199910,0.37,0.16
199911,-1.58,-1.81
199912,-0.74,-0.99
200001,-1.41,-1.60
200002,-1.74,-1.81
200003,-0.34,-0.37
200004,-0.52,-0.69
200005,-0.90,-1.03
200006,1.26,1.10
200007,1.49,1.28
200008,-0.95,-1.20
200009,-1.80,-1.98
200010,0.94,0.73
200011,1.79,1.56
200012,2.19,1.94
200101,2.63,2.44
200102,3.61,3.54
200103,2.68,2.65
200104,0.52,0.35
200105,1.64,1.51
200106,0.45,0.29
200107,-1.51,-1.72
200108,-1.98,-2.23
200109,-1.40,-1.58
200110,-1.75,-1.96
200111,-2.08,-2.31
200112,-2.06,-2.31
200201,-1.70,-1.89
200202,-2.08,-2.15
200203,-1.62,-1.65
200204,-0.64,-0.81
200205,-1.08,-1.21
200206,-0.92,-1.08
200207,0.15,-0.06
200208,0.66,0.41
200209,-0.39,-0.57
200210,1.06,0.85
200211,-0.32,-0.55
200212,1.18,0.93
200301,-0.02,-0.21
200302,0.61,0.54
200303,0.06,0.03
200304,-0.65,-0.82
200305,-0.98,-1.11
200306,0.59,0.43
200307,-0.58,-0.79
200308,0.49,0.24
200309,0.43,0.25
200310,-0.71,-0.92
200311,-0.93,-1.16
200312,-1.31,-1.56
200401,-0.98,-1.17
200402,-1.16,-1.23
200403,-0.04,-0.07
200404,0.48,0.31
200405,-1.09,-1.22
200406,0.75,0.59
200407,1.54,1.33
200408,2.00,1.75
200409,0.24,0.06
200410,1.66,1.45
200411,3.13,2.90
200412,2.64,2.39
200501,3.66,3.47
200502,3.35,3.28
200503,1.88,1.85
200504,0.20,0.03
200505,-1.42,-1.55
200506,-1.38,-1.54
200507,-1.25,-1.46
200508,0.51,0.26
200509,-0.62,-0.80
200510,-1.07,-1.28
200511,-1.86,-2.09
200512,-2.54,-2.79
200601,-3.18,-3.37
200602,-4.06,-4.13
200603,-3.98,-4.01
200604,-4.10,-4.27
200605,-4.71,-4.84
