#  Oklahoma Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,36.6,0.1
199702,42.7,1.5
199703,52.2,2.9
199704,54.2,-5.2
199705,65.6,-2.4
199706,74.4,-2.5
199707,81.5,-0.2
199708,78.1,-2.8
199709,74.0,0.9
199710,61.3,-0.3
199711,45.9,-2.5
199712,38.3,-0.6
199801,40.4,3.9
199802,44.8,3.6
199803,46.3,-3.0
199804,57.0,-2.4
199805,72.0,4.0
199806,79.9,3.0
199807,85.9,4.2
199808,82.6,1.7
199809,79.6,6.5
199810,63.6,2.0
199811,52.4,4.0
199812,40.6,1.7
199901,39.7,3.2
199902,49.2,8.0
199903,48.7,-0.6
199904,60.1,0.7
199905,67.2,-0.8
199906,75.1,-1.8
199907,82.2,0.5
199908,83.2,2.3
199909,70.3,-2.8
199910,61.6,0.0
199911,56.1,7.7
199912,42.7,3.8
200001,40.3,3.8
200002,48.0,6.8
200003,52.8,3.5
200004,58.5,-0.9
200005,70.5,2.5
200006,74.0,-2.9
200007,81.0,-0.7
200008,85.3,4.4
200009,75.3,2.2
200010,63.8,2.2
200011,43.3,-5.1
200012,30.9,-8.0
200101,35.8,-0.7
200102,41.2,0.0
200103,46.7,-2.6
200104,63.6,4.2
200105,69.0,1.0
200106,76.8,-0.1
200107,85.6,3.9
200108,82.8,1.9
200109,70.9,-2.2
200110,60.3,-1.3
200111,54.0,5.6
200112,42.7,3.8
200201,40.0,3.5
200202,41.2,0.0
200203,46.8,-2.5
200204,61.4,2.0
200205,66.5,-1.5
200206,77.2,0.3
200207,80.6,-1.1
200208,81.1,0.2
200209,74.0,0.9
200210,56.6,-5.0
200211,47.2,-1.2
200212,40.4,1.5
200301,37.2,0.7
200302,38.3,-2.9
200303,49.7,0.4
200304,60.9,1.5
200305,68.7,0.7
200306,73.3,-3.6
200307,83.3,1.6
200308,82.7,1.8
200309,69.0,-4.1
200310,62.8,1.2
200311,50.3,1.9
200312,42.2,3.3
200401,39.1,2.6
200402,39.1,-2.1
200403,55.1,5.8
200404,59.9,0.5
200405,70.8,2.8
200406,74.9,-2.0
200407,78.0,-3.7
200408,76.0,-4.9
200409,73.6,0.5
200410,63.5,1.9
200411,50.3,1.9
200412,41.5,2.6
200501,39.7,3.2
200502,45.3,4.1
200503,50.3,1.0
200504,59.6,0.2
200505,67.5,-0.5
200506,77.4,0.5
200507,80.3,-1.4
200508,80.6,-0.3
200509,76.4,3.3
200510,62.2,0.6
200511,52.5,4.1
200512,38.3,-0.6
200601,46.8,10.3
200602,41.0,-0.2
200603,53.3,4.0
200604,65.9,6.5
200605,70.6,2.6
200606,77.9,1.0
200607,83.9,2.2
200608,84.1,3.2
200609,69.3,-3.8
200610,60.7,-0.9
200611,50.8,2.4
200612,41.6,2.7
200701,35.1,-1.4
200702,39.3,-1.9
200703,58.3,9.0
200704,55.5,-3.9
200705,68.9,0.9
200706,74.9,-2.0
200707,78.7,-3.0
200708,82.6,1.7
200709,74.1,1.0
200710,64.1,2.5
200711,50.9,2.5
200712,38.2,-0.7
200801,38.3,1.8
200802,41.2,0.0
200803,50.8,1.5
200804,57.8,-1.6
200805,68.5,0.5
200806,78.2,1.3
200807,81.7,0.0
200808,79.1,-1.8
200809,70.1,-3.0
200810,60.1,-1.5
200811,50.2,1.8
200812,38.6,-0.3
200901,37.5,1.0
200902,47.2,6.0
200903,52.1,2.8
200904,58.3,-1.1
200905,66.0,-2.0
200906,79.1,2.2
200907,80.8,-0.9
200908,78.9,-2.0
200909,70.1,-3.0
200910,54.8,-6.8
200911,53.6,5.2
200912,34.6,-4.3
201001,35.2,-1.3
201002,35.7,-5.5
201003,49.0,-0.3
201004,61.5,2.1
201005,68.2,0.2
201006,81.0,4.1
201007,81.9,0.2
201008,83.9,3.0
201009,75.0,1.9
201010,62.3,0.7
201011,50.4,2.0
201012,39.5,0.6
201101,35.0,-1.5
201102,39.4,-1.8
201103,52.4,3.1
201104,62.1,2.7
201105,67.7,-0.3
201106,83.4,6.5
201107,89.2,7.5
201108,87.7,6.8
201109,71.1,-2.0
201110,61.8,0.2
201111,50.0,1.6
201112,39.9,1.0
201201,42.7,6.2
201202,43.8,2.6
201203,59.6,10.3
201204,64.3,4.9
201205,72.6,4.6
201206,79.0,2.1
201207,85.9,4.2
201208,81.5,0.6
201209,74.4,1.3
201210,59.6,-2.0
201211,52.2,3.8
201212,42.2,3.3
201301,39.7,3.2
201302,41.1,-0.1
201303,47.5,-1.8
201304,54.7,-4.7
201305,67.0,-1.0
201306,78.1,1.2
201307,79.6,-2.1
201308,80.3,-0.6
201309,75.8,2.7
201310,60.4,-1.2
201311,46.6,-1.8
201312,35.2,-3.7
201401,36.0,-0.5
201402,36.1,-5.1
201403,46.3,-3.0
201404,59.4,0.0
201405,68.9,0.9
201406,77.3,0.4
201407,77.8,-3.9
201408,80.7,-0.2
201409,73.3,0.2
201410,64.6,3.0
201411,44.4,-4.0
201412,41.8,2.9
201501,37.7,1.2
201502,37.8,-3.4
201503,51.1,1.8
