#  Oklahoma Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.42,-0.47
199702,3.67,3.87
199703,-1.64,-1.55
199704,3.35,3.09
199705,-0.54,-0.49
199706,0.95,0.88
199707,0.88,0.75
199708,2.83,2.66
199709,-0.31,-0.27
199710,1.17,1.05
199711,-0.08,-0.19
199712,3.39,3.24
199801,3.57,3.52
199802,-0.01,0.19
199803,3.89,3.98
199804,-0.23,-0.49
199805,-2.58,-2.53
199806,-2.88,-2.95
199807,-2.64,-2.77
199808,-2.53,-2.70
199809,-1.43,-1.39
199810,3.31,3.19
199811,1.54,1.43
199812,1.21,1.06
199901,1.68,1.63
199902,-1.21,-1.01
199903,2.19,2.28
199904,3.01,2.75
199905,0.82,0.87
199906,2.81,2.74
199907,-0.10,-0.23
199908,-1.82,-1.99
199909,0.59,0.63
199910,-1.18,-1.30
199911,-2.76,-2.87
199912,0.70,0.55
200001,-1.05,-1.10
200002,-1.42,-1.22
200003,1.39,1.48
200004,-0.41,-0.67
200005,-0.68,-0.63
200006,3.71,3.64
200007,1.10,0.97
200008,-2.85,-3.02
200009,-2.84,-2.80
200010,3.04,2.92
200011,2.65,2.54
200012,1.76,1.61
200101,2.00,1.95
200102,3.76,3.96
200103,-0.69,-0.60
200104,-2.47,-2.73
200105,1.85,1.90
200106,-1.31,-1.38
200107,-2.67,-2.80
200108,-1.81,-1.98
200109,0.38,0.42
200110,-0.82,-0.94
200111,-1.52,-1.63
200112,-0.58,-0.73
200201,0.09,0.04
200202,-1.35,-1.15
200203,0.23,0.32
200204,0.92,0.66
200205,-0.80,-0.75
200206,-0.06,-0.13
200207,1.18,1.05
200208,0.83,0.66
200209,-1.17,-1.13
200210,2.62,2.50
200211,-1.12,-1.23
200212,1.98,1.83
200301,-1.01,-1.06
200302,0.80,1.00
200303,-0.41,-0.32
200304,-1.51,-1.77
200305,-1.17,-1.12
200306,1.76,1.69
200307,-0.95,-1.08
200308,0.92,0.75
200309,-0.05,-0.01
200310,-1.59,-1.71
200311,-0.86,-0.97
200312,-1.45,-1.60
200401,0.12,0.07
200402,-0.42,-0.22
200403,0.93,1.02
200404,0.59,0.33
200405,-3.26,-3.21
200406,2.24,2.17
200407,2.62,2.49
200408,1.87,1.70
200409,-1.88,-1.84
200410,2.03,1.91
200411,4.74,4.63
200412,-0.14,-0.29
200501,3.56,3.51
200502,0.20,0.40
200503,-1.46,-1.37
200504,-1.89,-2.15
200505,-2.10,-2.05
200506,-0.05,-0.12
200507,0.08,-0.05
200508,2.77,2.60
200509,-1.68,-1.64
200510,-1.07,-1.19
200511,-2.70,-2.81
200512,-2.63,-2.78
200601,-2.69,-2.74
200602,-3.62,-3.42
200603,-1.03,-0.94
200604,-1.57,-1.83
200605,-3.12,-3.07
200606,-2.94,-3.01
200607,-3.38,-3.51
200608,-0.82,-0.99
200609,-0.79,-0.75
200610,-0.21,-0.33
200611,-0.13,-0.24
200612,1.99,1.84
200701,1.47,1.42
200702,-0.37,-0.17
200703,1.14,1.23
200704,0.25,-0.01
200705,2.03,2.08
200706,5.96,5.89
200707,3.17,3.04
200708,2.52,2.35
200709,-0.17,-0.13
200710,0.01,-0.11
200711,-2.08,-2.19
200712,0.87,0.72
200801,-1.34,-1.39
200802,0.65,0.85
200803,2.62,2.71
200804,1.91,1.65
200805,0.04,0.09
200806,1.69,1.62
200807,0.92,0.79
200808,2.93,2.76
200809,0.72,0.76
200810,0.29,0.17
200811,-1.21,-1.32
200812,-1.09,-1.24
200901,-1.37,-1.42
200902,-1.74,-1.54
200903,-0.59,-0.50
200904,1.92,1.66
200905,0.57,0.62
200906,-1.47,-1.54
200907,0.73,0.60
200908,1.60,1.43
200909,1.56,1.60
200910,5.00,4.88
200911,-0.92,-1.03
200912,0.80,0.65
201001,1.52,1.47
201002,1.12,1.32
201003,-0.32,-0.23
201004,-0.76,-1.02
201005,0.08,0.13
201006,-0.21,-0.28
201007,1.73,1.60
201008,-1.00,-1.17
201009,0.34,0.38
201010,-1.47,-1.59
201011,-0.94,-1.05
201012,-1.67,-1.82
201101,-2.33,-2.38
201102,-1.33,-1.13
201103,-3.04,-2.95
201104,-0.75,-1.01
201105,-1.11,-1.06
201106,-4.37,-4.44
201107,-5.01,-5.14
201108,-2.25,-2.42
201109,-1.70,-1.66
201110,-0.40,-0.52
201111,2.07,1.96
201112,1.25,1.10
201201,0.91,0.86
201202,0.55,0.75
201203,1.35,1.44
201204,-0.28,-0.54
201205,-3.01,-2.96
201206,-2.29,-2.36
201207,-3.64,-3.77
201208,-1.52,-1.69
201209,-0.89,-0.85
201210,-1.76,-1.88
201211,-2.66,-2.77
201212,-2.08,-2.23
201301,-1.00,-1.05
201302,0.77,0.97
201303,-1.10,-1.01
201304,1.29,1.03
201305,0.20,0.25
201306,0.02,-0.05
201307,3.19,3.06
201308,2.08,1.91
201309,-0.88,-0.84
201310,0.36,0.24
201311,-0.23,-0.34
201312,0.26,0.11
201401,-1.19,-1.24
201402,-1.36,-1.16
201403,-0.65,-0.56
201404,-1.51,-1.77
201405,-1.71,-1.66
201406,1.57,1.50
201407,2.83,2.70
201408,-0.02,-0.19
201409,-0.86,-0.82
201410,0.11,-0.01
201411,0.26,0.15
201412,-0.46,-0.61
201501,-0.32,-0.37
201502,-0.48,-0.28
201503,-0.16,-0.07
201504,1.71,1.45
201505,9.17,9.22
201506,0.90,0.83
201507,3.44,3.31
201508,1.24,1.07
201509,-1.54,-1.50
201510,0.14,0.02
201511,4.24,4.13
201512,5.86,5.71
201601,-0.47,-0.52
201602,-0.88,-0.68
201603,-0.46,-0.37
201604,3.04,2.78
201605,-0.48,-0.43
201606,-0.73,-0.80
201607,0.63,0.50
201608,0.27,0.10
201609,-0.20,-0.16
201610,-1.77,-1.89
201611,-2.12,-2.23
201612,-2.03,-2.18
201701,0.23,0.18
201702,-1.12,-0.92
201703,-1.08,-0.99
201704,3.38,3.12
201705,-0.01,0.04
201706,-1.15,-1.22
201707,0.71,0.58
201708,4.90,4.73
201709,-0.46,-0.42
201710,0.76,0.64
201711,-2.29,-2.40
201712,-1.39,-1.54
201801,-1.79,-1.84
201802,2.30,2.50
201803,-0.68,-0.59
201804,-0.29,-0.55
201805,-1.81,-1.76
201806,-0.92,-0.99
201807,-0.46,-0.59
201808,1.67,1.50
201809,1.92,1.96
201810,4.08,3.96
201811,0.08,-0.03
201812,3.85,3.70
201901,1.72,1.67
201902,0.31,0.51
201903,0.56,0.65
201904,0.81,0.55
201905,6.46,6.51
201906,1.57,1.50
201907,0.36,0.23
201908,2.86,2.69
201909,-1.10,-1.06
201910,2.21,2.09
201911,0.85,0.74
201912,-0.26,-0.41
202001,3.39,3.34
202002,0.66,0.86
202003,2.63,2.72
202004,0.06,-0.20
202005,0.48,0.53
202006,-1.82,-1.89
202007,1.14,1.01
202008,0.41,0.24
202009,1.28,1.32
202010,0.80,0.68
202011,-1.37,-1.48
202012,0.57,0.42
202101,1.16,1.11
202102,-0.30,-0.10
202103,0.50,0.59
202104,0.70,0.44
202105,1.15,1.20
202106,1.26,1.19
202107,2.19,2.06
202108,0.71,0.54
202109,-2.68,-2.64
202110,0.84,0.72
202111,-1.58,-1.69
202112,-2.37,-2.52
202201,-1.92,-1.97
202202,-1.01,-0.81
202203,-0.51,-0.42
202204,-0.94,-1.20
202205,0.71,0.76
202206,-0.32,-0.39
202207,-1.65,-1.78
202208,-1.77,-1.94
202209,-3.19,-3.15
202210,-0.36,-0.48
202211,0.35,0.24
202212,0.03,-0.12
