#  Oregon Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,13,12
199706,7,-3
199707,61,-2
199708,105,46
199709,30,11
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,0,-1
199806,10,0
199807,124,61
199808,107,48
199809,51,32
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,0,-1
199906,2,-8
199907,47,-16
199908,73,14
199909,30,11
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,0,-1
200006,22,12
200007,53,-10
200008,59,0
200009,20,1
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,7,6
200106,2,-8
200107,52,-11
200108,86,27
200109,34,15
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,0,-1
200206,16,6
200207,106,43
200208,66,7
200209,27,8
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,0,-1
200306,31,21
200307,137,74
200308,95,36
200309,45,26
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,0,-1
200406,19,9
200407,117,54
200408,115,56
200409,10,-9
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,-1
200506,1,-9
200507,100,37
200508,110,51
200509,11,-8
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,1,0
200606,24,14
200607,120,57
200608,66,7
200609,29,10
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,0,-1
200706,9,-1
200707,114,51
200708,63,4
200709,11,-8
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,-1
200806,2,-8
200807,82,19
200808,75,16
200809,28,9
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,1,0
200906,15,5
200907,138,75
200908,78,19
200909,35,16
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,0,-1
201006,1,-9
201007,70,7
201008,60,1
201009,20,1
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,0,-1
201106,1,-9
201107,33,-30
201108,78,19
201109,58,39
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,0,-1
201206,1,-9
201207,61,-2
201208,105,46
201209,41,22
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,0,-1
201306,19,9
201307,121,58
201308,97,38
201309,20,1
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,6,5
201406,11,1
201407,152,89
201408,135,76
201409,54,35
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,5,4
201506,82,72
201507,149,86
201508,118,59
201509,16,-3
201510,1,1
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,6,5
201606,23,13
201607,61,-2
201608,118,59
201609,14,-5
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,4,3
201706,20,10
201707,110,47
201708,175,116
201709,41,22
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,9,8
201806,14,4
201807,143,80
201808,105,46
201809,15,-4
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,6,5
201906,19,9
201907,68,5
201908,107,48
201909,13,-6
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,0,-1
202006,10,0
202007,85,22
202008,101,42
202009,57,38
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,0,-1
202106,73,63
202107,158,95
202108,113,54
202109,28,9
202110,0,0
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,0,-1
202206,13,3
202207,139,76
202208,168,109
202209,60,41
202210,1,1
202211,0,0
202212,0,0
