#  Oregon Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,819,-65
199702,685,-20
199703,654,-30
199704,542,15
199705,220,-154
199706,214,9
199707,71,-8
199708,34,-44
199709,128,-49
199710,458,41
199711,572,-102
199712,835,-9
199801,748,-136
199802,649,-56
199803,634,-50
199804,510,-17
199805,432,58
199806,193,-12
199807,26,-53
199808,32,-46
199809,94,-83
199810,439,22
199811,637,-37
199812,888,44
199901,787,-97
199902,725,20
199903,735,51
199904,560,33
199905,455,81
199906,237,32
199907,90,11
199908,60,-18
199909,131,-46
199910,376,-41
199911,541,-133
199912,774,-70
200001,856,-28
200002,656,-49
200003,706,22
200004,444,-83
200005,370,-4
200006,134,-71
200007,83,4
200008,73,-5
200009,159,-18
200010,425,8
200011,764,90
200012,798,-46
200101,803,-81
200102,722,17
200103,625,-59
200104,591,64
200105,277,-97
200106,247,42
200107,84,5
200108,49,-29
200109,119,-58
200110,421,4
200111,599,-75
200112,828,-16
200201,836,-48
200202,661,-44
200203,740,56
200204,506,-21
200205,409,35
200206,157,-48
200207,37,-42
200208,66,-12
200209,135,-42
200210,442,25
200211,582,-92
200212,755,-89
200301,654,-230
200302,677,-28
200303,611,-73
200304,582,55
200305,363,-11
200306,113,-92
200307,23,-56
200308,40,-38
200309,101,-76
200310,319,-98
200311,738,64
200312,792,-52
200401,831,-53
200402,663,-42
200403,538,-146
200404,428,-99
200405,337,-37
200406,145,-60
200407,29,-50
200408,29,-49
200409,201,24
200410,396,-21
200411,664,-10
200412,757,-87
200501,777,-107
200502,654,-51
200503,561,-123
200504,520,-7
200505,311,-63
200506,247,42
200507,39,-40
200508,31,-47
200509,196,19
200510,394,-23
200511,694,20
200512,837,-7
200601,747,-137
200602,715,10
200603,736,52
200604,501,-26
200605,304,-70
200606,125,-80
200607,28,-51
200608,65,-13
200609,129,-48
200610,440,23
200611,664,-10
200612,818,-26
200701,895,11
200702,663,-42
200703,565,-119
200704,523,-4
200705,332,-42
200706,202,-3
200707,33,-46
200708,68,-10
200709,195,18
200710,482,65
200711,668,-6
200712,868,24
200801,939,55
200802,678,-27
200803,752,68
200804,638,111
200805,342,-32
200806,241,36
200807,54,-25
200808,57,-21
200809,132,-45
200810,427,10
200811,555,-119
200812,915,71
200901,812,-72
200902,702,-3
200903,757,73
200904,551,24
200905,317,-57
200906,159,-46
200907,22,-57
200908,54,-24
200909,115,-62
200910,473,56
200911,660,-14
200912,945,101
201001,681,-203
201002,602,-103
201003,652,-32
201004,576,49
201005,464,90
201006,255,50
201007,64,-15
201008,72,-6
201009,154,-23
201010,396,-21
201011,692,18
201012,791,-53
201101,780,-104
201102,767,62
201103,706,22
201104,654,127
201105,486,112
201106,249,44
201107,110,31
201108,54,-24
201109,85,-92
201110,398,-19
201111,696,22
201112,872,28
201201,796,-88
201202,705,0
201203,746,62
201204,492,-35
201205,376,2
201206,259,54
201207,75,-4
201208,34,-44
201209,107,-70
201210,392,-25
201211,597,-77
201212,846,2
201301,890,6
201302,691,-14
201303,622,-62
201304,496,-31
201305,311,-63
201306,142,-63
201307,29,-50
201308,40,-38
201309,153,-24
201310,459,42
201311,645,-29
201312,941,97
201401,741,-143
201402,718,13
201403,592,-92
201404,473,-54
201405,274,-100
201406,181,-24
201407,18,-61
201408,23,-55
201409,92,-85
201410,268,-149
201411,640,-34
201412,720,-124
201501,673,-211
201502,520,-185
201503,481,-203
201504,511,-16
201505,283,-91
201506,52,-153
201507,19,-60
201508,27,-51
201509,168,-9
201510,254,-163
201511,707,33
201512,800,-44
201601,784,-100
201602,551,-154
201603,612,-72
201604,353,-174
201605,274,-100
201606,130,-75
201607,73,-6
201608,28,-50
201609,178,1
201610,421,4
201611,516,-158
201612,963,119
201701,969,85
201702,711,6
201703,639,-45
201704,559,32
201705,296,-78
201706,142,-63
201707,35,-44
201708,11,-67
201709,109,-68
201710,429,12
201711,641,-33
201712,829,-15
201801,704,-180
201802,733,28
201803,699,15
201804,501,-26
201805,253,-121
201806,161,-44
201807,19,-60
201808,34,-44
201809,176,-1
201810,368,-49
201811,608,-66
201812,801,-43
201901,751,-133
201902,862,157
201903,700,16
201904,470,-57
201905,286,-88
201906,142,-63
201907,65,-14
201908,32,-46
201909,185,8
201910,534,117
201911,620,-54
201912,779,-65
202001,742,-142
202002,688,-17
202003,707,23
202004,459,-68
202005,306,-68
202006,180,-25
202007,49,-30
202008,36,-42
202009,85,-92
202010,353,-64
202011,668,-6
202012,769,-75
202101,752,-132
202102,734,29
202103,699,15
202104,446,-81
202105,324,-50
202106,59,-146
202107,16,-63
202108,30,-48
202109,131,-46
202110,458,41
202111,569,-105
202112,850,6
202201,778,-106
202202,688,-17
202203,599,-85
202204,621,94
202205,434,60
202206,169,-36
202207,22,-57
202208,12,-66
202209,83,-94
202210,248,-169
202211,774,100
202212,863,19
