#  Oregon Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,5.03,5.08
199702,3.88,3.83
199703,3.58,3.57
199704,3.79,3.71
199705,2.96,2.88
199706,2.78,2.73
199707,2.77,2.65
199708,2.64,2.54
199709,2.90,2.78
199710,3.18,3.21
199711,2.44,2.39
199712,1.43,1.54
199801,2.06,2.11
199802,2.28,2.23
199803,2.09,2.08
199804,1.80,1.72
199805,3.50,3.42
199806,3.19,3.14
199807,3.25,3.13
199808,2.48,2.38
199809,2.02,1.90
199810,1.53,1.56
199811,2.55,2.50
199812,2.77,2.88
199901,2.65,2.70
199902,4.08,4.03
199903,3.52,3.51
199904,2.83,2.75
199905,2.67,2.59
199906,2.11,2.06
199907,1.75,1.63
199908,1.84,1.74
199909,0.90,0.78
199910,-1.21,-1.18
199911,-1.38,-1.43
199912,-1.89,-1.78
200001,-1.22,-1.17
200002,-0.79,-0.84
200003,-1.12,-1.13
200004,-1.33,-1.41
200005,-1.18,-1.26
200006,-1.41,-1.46
200007,-1.58,-1.70
200008,-1.92,-2.02
200009,-1.82,-1.94
200010,-1.42,-1.39
200011,-1.98,-2.03
200012,-2.66,-2.55
200101,-3.46,-3.41
200102,-3.95,-4.00
200103,-4.18,-4.19
200104,-3.48,-3.56
200105,-3.71,-3.79
200106,-3.49,-3.54
200107,-3.22,-3.34
200108,-3.17,-3.27
200109,-3.31,-3.43
200110,-3.18,-3.15
200111,-2.72,-2.77
200112,-2.01,-1.90
200201,-1.61,-1.56
200202,-2.08,-2.13
200203,-2.02,-2.03
200204,-1.81,-1.89
200205,-2.08,-2.16
200206,-2.27,-2.32
200207,-2.74,-2.86
200208,-3.01,-3.11
200209,-3.18,-3.30
200210,-3.75,-3.72
200211,-4.33,-4.38
200212,-3.50,-3.39
200301,-3.24,-3.19
200302,-3.50,-3.55
200303,-2.67,-2.68
200304,-1.37,-1.45
200305,-1.32,-1.40
200306,-2.01,-2.06
200307,-2.71,-2.83
200308,-2.96,-3.06
200309,-2.97,-3.09
200310,-3.42,-3.39
200311,-3.44,-3.49
200312,-2.64,-2.53
200401,-2.11,-2.06
200402,-1.83,-1.88
200403,-2.77,-2.78
200404,-2.87,-2.95
200405,-2.16,-2.24
200406,-2.13,-2.18
200407,-2.02,-2.14
200408,-1.29,-1.39
200409,-1.06,-1.18
200410,-0.63,-0.60
200411,-1.45,-1.50
200412,-1.73,-1.62
200501,-2.53,-2.48
200502,-3.48,-3.53
200503,-3.39,-3.40
200504,-2.61,-2.69
200505,-1.00,-1.08
200506,-0.73,-0.78
200507,1.85,1.73
200508,1.23,1.13
200509,0.75,0.63
200510,0.62,0.65
200511,0.81,0.76
200512,1.81,1.92
200601,2.87,2.92
200602,2.04,1.99
200603,2.04,2.03
200604,1.98,1.90
200605,1.64,1.56
200606,1.37,1.32
200607,0.80,0.68
200608,-1.19,-1.29
200609,-1.50,-1.62
200610,-2.01,-1.98
200611,-0.76,-0.81
200612,1.21,1.32
200701,-0.75,-0.70
200702,-0.38,-0.43
200703,-1.25,-1.26
200704,-1.20,-1.28
200705,-1.74,-1.82
200706,-1.93,-1.98
200707,-2.31,-2.43
200708,-2.42,-2.52
200709,-2.28,-2.40
200710,-1.57,-1.54
200711,-1.65,-1.70
200712,-1.13,-1.02
200801,-0.56,-0.51
200802,-1.09,-1.14
200803,-0.95,-0.96
200804,-0.77,-0.85
200805,-0.78,-0.86
200806,-0.94,-0.99
200807,-1.22,-1.34
200808,-1.23,-1.33
200809,-1.76,-1.88
200810,-2.13,-2.10
200811,-2.46,-2.51
200812,-2.18,-2.07
200901,-2.65,-2.60
200902,-2.94,-2.99
200903,-2.36,-2.37
200904,-2.23,-2.31
200905,-1.81,-1.89
200906,-1.28,-1.33
200907,-1.01,-1.13
200908,-0.95,-1.05
200909,-1.43,-1.55
200910,-1.02,-0.99
200911,-1.16,-1.21
200912,-1.57,-1.46
201001,-1.61,-1.56
201002,-2.03,-2.08
201003,-1.89,-1.90
201004,-0.78,-0.86
201005,1.53,1.45
201006,2.18,2.13
201007,2.44,2.32
201008,2.27,2.17
201009,2.29,2.17
201010,2.45,2.48
201011,2.40,2.35
201012,2.96,3.07
201101,2.04,2.09
201102,1.71,1.66
201103,2.86,2.85
201104,3.64,3.56
201105,4.17,4.09
201106,3.82,3.77
201107,3.89,3.77
201108,3.33,3.23
201109,2.23,2.11
201110,1.73,1.76
201111,1.13,1.08
201112,-2.16,-2.05
201201,-1.60,-1.55
201202,-1.78,-1.83
201203,1.69,1.68
201204,1.92,1.84
201205,1.65,1.57
201206,2.04,1.99
201207,2.23,2.11
201208,1.64,1.54
201209,0.60,0.48
201210,1.01,1.04
201211,1.22,1.17
201212,1.82,1.93
201301,0.88,0.93
201302,-1.60,-1.65
201303,-2.37,-2.38
201304,-2.23,-2.31
201305,-1.88,-1.96
201306,-1.76,-1.81
201307,-1.79,-1.91
201308,-1.73,-1.83
201309,1.86,1.74
201310,1.20,1.23
