#  Oregon Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,5.03,5.03
199702,3.11,3.02
199703,2.88,2.94
199704,3.67,3.62
199705,2.29,2.21
199706,2.20,2.16
199707,2.45,2.38
199708,2.42,2.42
199709,2.90,2.87
199710,3.18,3.26
199711,1.89,1.85
199712,-0.08,0.03
199801,1.45,1.45
199802,2.08,1.99
199803,1.89,1.95
199804,1.45,1.40
199805,3.50,3.42
199806,3.19,3.15
199807,3.25,3.18
199808,1.90,1.90
199809,1.14,1.11
199810,0.30,0.38
199811,2.55,2.51
199812,2.77,2.88
199901,2.65,2.65
199902,4.08,3.99
199903,3.30,3.36
199904,2.18,2.13
199905,2.12,2.04
199906,1.21,1.17
199907,0.67,0.60
199908,1.03,1.03
199909,-0.66,-0.69
199910,-1.21,-1.13
199911,-1.38,-1.42
199912,-1.89,-1.78
200001,-0.47,-0.47
200002,0.40,0.31
200003,-0.48,-0.42
200004,-1.01,-1.06
200005,-0.79,-0.87
200006,-1.40,-1.44
200007,-1.58,-1.65
200008,-1.92,-1.92
200009,-1.82,-1.85
200010,-1.03,-0.95
200011,-1.98,-2.02
200012,-2.66,-2.55
200101,-3.46,-3.46
200102,-3.95,-4.04
200103,-4.18,-4.12
200104,-3.11,-3.16
200105,-3.71,-3.79
200106,-3.49,-3.53
200107,-3.22,-3.29
200108,-3.17,-3.17
200109,-3.31,-3.34
200110,-3.18,-3.10
200111,-2.51,-2.55
200112,-1.21,-1.10
200201,-0.55,-0.55
200202,-1.72,-1.81
200203,-1.76,-1.70
200204,-1.49,-1.54
200205,-2.08,-2.16
200206,-2.27,-2.31
200207,-2.74,-2.81
200208,-3.01,-3.01
200209,-3.18,-3.21
200210,-3.75,-3.67
200211,-4.33,-4.37
200212,-3.00,-2.89
200301,-2.81,-2.81
200302,-3.50,-3.59
200303,-2.06,-2.00
200304,0.49,0.44
200305,0.37,0.29
200306,-1.21,-1.25
200307,-2.71,-2.78
200308,-2.96,-2.96
200309,-2.97,-3.00
200310,-3.42,-3.34
200311,-3.44,-3.48
200312,-2.04,-1.93
200401,-1.16,-1.16
200402,-0.79,-0.88
200403,-2.77,-2.71
200404,-2.87,-2.92
200405,-1.59,-1.67
200406,-1.73,-1.77
200407,-1.71,-1.78
200408,-0.30,-0.30
200409,0.03,0.00
200410,0.77,0.85
200411,-0.93,-0.97
200412,-1.54,-1.43
200501,-2.53,-2.53
200502,-3.48,-3.57
200503,-3.39,-3.33
200504,-2.03,-2.08
200505,1.20,1.12
200506,1.53,1.49
200507,1.85,1.78
200508,0.54,0.54
200509,-0.45,-0.48
200510,-0.63,-0.55
200511,-0.09,-0.13
200512,1.81,1.92
200601,2.87,2.87
