#  Oregon Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,25.2,2.3
199702,26.4,0.4
199703,30.4,1.7
199704,32.5,0.0
199705,42.2,4.2
199706,43.7,0.0
199707,49.1,-0.1
199708,50.9,2.6
199709,45.6,2.6
199710,35.8,-0.2
199711,32.8,3.6
199712,24.6,-0.1
199801,29.2,6.3
199802,29.0,3.0
199803,30.2,1.5
199804,33.1,0.6
199805,38.9,0.9
199806,44.0,0.3
199807,53.6,4.4
199808,50.8,2.5
199809,47.2,4.2
199810,34.7,-1.3
199811,32.4,3.2
199812,22.6,-2.1
199901,27.1,4.2
199902,26.0,0.0
199903,28.0,-0.7
199904,30.3,-2.2
199905,35.6,-2.4
199906,42.9,-0.8
199907,47.1,-2.1
199908,50.5,2.2
199909,41.9,-1.1
199910,36.0,0.0
199911,34.7,5.5
199912,26.8,2.1
200001,25.8,2.9
200002,30.0,4.0
200003,28.0,-0.7
200004,35.1,2.6
200005,39.4,1.4
200006,45.3,1.6
200007,49.3,0.1
200008,48.8,0.5
200009,43.2,0.2
200010,36.3,0.3
200011,25.6,-3.6
200012,26.1,1.4
200101,24.2,1.3
200102,24.3,-1.7
200103,31.0,2.3
200104,31.0,-1.5
200105,39.9,1.9
200106,42.6,-1.1
200107,49.3,0.1
200108,51.3,3.0
200109,45.2,2.2
200110,36.4,0.4
200111,31.6,2.4
200112,25.7,1.0
200201,25.0,2.1
200202,25.5,-0.5
200203,26.7,-2.0
200204,33.2,0.7
200205,37.1,-0.9
200206,45.7,2.0
200207,52.0,2.8
200208,46.9,-1.4
200209,43.1,0.1
200210,32.7,-3.3
200211,30.4,1.2
200212,28.8,4.1
200301,32.2,9.3
200302,25.7,-0.3
200303,32.3,3.6
200304,32.1,-0.4
200305,38.8,0.8
200306,45.8,2.1
200307,53.1,3.9
200308,50.7,2.4
200309,45.6,2.6
200310,39.4,3.4
200311,26.9,-2.3
200312,28.2,3.5
200401,25.6,2.7
200402,26.9,0.9
200403,32.3,3.6
200404,34.2,1.7
200405,39.5,1.5
200406,45.7,2.0
200407,51.8,2.6
200408,52.1,3.8
200409,42.7,-0.3
200410,37.3,1.3
200411,29.6,0.4
200412,28.4,3.7
200501,26.5,3.6
200502,25.7,-0.3
200503,31.4,2.7
200504,33.6,1.1
200505,41.4,3.4
200506,42.3,-1.4
200507,51.1,1.9
200508,50.1,1.8
200509,41.0,-2.0
200510,37.2,1.2
200511,29.0,-0.2
200512,24.6,-0.1
200601,28.7,5.8
200602,23.7,-2.3
200603,27.7,-1.0
200604,33.3,0.8
200605,39.7,1.7
200606,47.3,3.6
200607,53.0,3.8
200608,47.8,-0.5
200609,43.4,0.4
200610,34.3,-1.7
200611,30.7,1.5
200612,24.8,0.1
200701,20.6,-2.3
200702,28.4,2.4
200703,32.1,3.4
200704,32.6,0.1
200705,38.8,0.8
200706,44.0,0.3
200707,53.9,4.7
200708,48.9,0.6
200709,41.8,-1.2
200710,35.2,-0.8
200711,29.3,0.1
200712,23.7,-1.0
200801,20.8,-2.1
200802,26.6,0.6
200803,26.4,-2.3
200804,28.4,-4.1
200805,39.3,1.3
200806,42.1,-1.6
200807,50.0,0.8
200808,49.6,1.3
200809,43.3,0.3
200810,36.4,0.4
200811,33.7,4.5
200812,22.2,-2.5
200901,25.4,2.5
200902,26.1,0.1
200903,26.9,-1.8
200904,31.2,-1.3
200905,39.6,1.6
200906,45.9,2.2
200907,51.8,2.6
200908,49.8,1.5
200909,45.5,2.5
200910,34.5,-1.5
200911,28.9,-0.3
200912,20.4,-4.3
201001,31.0,8.1
201002,29.6,3.6
201003,28.7,0.0
201004,30.9,-1.6
201005,35.5,-2.5
201006,43.3,-0.4
201007,49.1,-0.1
201008,47.9,-0.4
201009,44.5,1.5
201010,38.6,2.6
201011,28.7,-0.5
201012,27.1,2.4
201101,25.8,2.9
201102,24.0,-2.0
201103,30.1,1.4
201104,29.4,-3.1
201105,35.5,-2.5
201106,42.3,-1.4
201107,47.8,-1.4
201108,50.2,1.9
201109,46.6,3.6
201110,37.8,1.8
201111,28.1,-1.1
201112,22.5,-2.2
201201,25.6,2.7
201202,25.7,-0.3
201203,28.9,0.2
201204,34.6,2.1
201205,37.5,-0.5
201206,42.4,-1.3
201207,50.8,1.6
201208,50.8,2.5
201209,45.2,2.2
201210,36.5,0.5
201211,32.7,3.5
201212,25.0,0.3
201301,21.0,-1.9
201302,26.2,0.2
201303,30.0,1.3
201304,32.8,0.3
201305,39.4,1.4
201306,45.8,2.1
201307,52.8,3.6
201308,51.2,2.9
201309,46.1,3.1
201310,33.6,-2.4
201311,30.1,0.9
201312,20.3,-4.4
201401,27.5,4.6
201402,27.8,1.8
201403,31.4,2.7
201404,33.7,1.2
201405,40.1,2.1
201406,44.2,0.5
201407,54.2,5.0
201408,51.8,3.5
201409,46.2,3.2
201410,41.1,5.1
201411,29.6,0.4
201412,29.8,5.1
201501,29.9,7.0
201502,32.5,6.5
201503,33.7,5.0
201504,31.8,-0.7
201505,41.6,3.6
201506,50.5,6.8
201507,52.6,3.4
201508,51.2,2.9
201509,43.4,0.4
201510,41.9,5.9
201511,27.1,-2.1
201512,26.2,1.5
201601,26.2,3.3
201602,31.0,5.0
201603,32.0,3.3
201604,37.4,4.9
201605,40.9,2.9
201606,46.1,2.4
201607,49.4,0.2
201608,50.3,2.0
201609,42.7,-0.3
201610,39.0,3.0
201611,35.0,5.8
201612,19.2,-5.5
201701,18.8,-4.1
201702,27.5,1.5
201703,33.1,4.4
201704,32.7,0.2
201705,39.6,1.6
201706,46.3,2.6
201707,52.9,3.7
201708,53.7,5.4
201709,46.1,3.1
201710,34.7,-1.3
201711,31.7,2.5
201712,24.5,-0.2
201801,30.4,7.5
201802,24.1,-1.9
201803,28.4,-0.3
201804,33.8,1.3
201805,42.8,4.8
201806,44.3,0.6
201807,52.4,3.2
201808,50.7,2.4
201809,42.1,-0.9
201810,36.8,0.8
201811,29.6,0.4
201812,25.2,0.5
201901,27.5,4.6
201902,21.8,-4.2
201903,26.7,-2.0
201904,35.8,3.3
201905,40.8,2.8
201906,44.8,1.1
201907,50.0,0.8
201908,51.8,3.5
201909,44.6,1.6
201910,31.0,-5.0
201911,29.9,0.7
201912,27.8,3.1
202001,28.6,5.7
202002,25.6,-0.4
202003,28.4,-0.3
202004,33.8,1.3
202005,40.0,2.0
202006,45.2,1.5
202007,50.0,0.8
202008,51.3,3.0
202009,47.4,4.4
202010,37.7,1.7
202011,29.2,0.0
202012,26.2,1.5
202101,27.5,4.6
202102,25.8,-0.2
202103,27.7,-1.0
202104,32.6,0.1
202105,38.9,0.9
202106,50.2,6.5
202107,55.4,6.2
202108,50.9,2.6
202109,44.2,1.2
202110,36.9,0.9
202111,33.3,4.1
202112,25.7,1.0
202201,26.1,3.2
202202,24.6,-1.4
202203,31.3,2.6
202204,29.7,-2.8
202205,36.5,-1.5
202206,45.2,1.5
202207,53.6,4.4
202208,54.5,6.2
202209,47.7,4.7
202210,40.0,4.0
202211,24.4,-4.8
202212,23.5,-1.2
