#  Pennsylvania Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.33,-0.72
199702,2.05,-0.55
199703,4.19,0.70
199704,1.80,-1.84
199705,3.96,0.03
199706,3.44,-0.73
199707,2.85,-1.34
199708,4.68,0.81
199709,3.75,0.16
199710,1.58,-1.59
199711,5.52,2.34
199712,2.65,-0.46
199801,4.32,1.27
199802,3.67,1.07
199803,3.65,0.16
199804,5.60,1.96
199805,4.36,0.43
199806,5.15,0.98
199807,2.87,-1.32
199808,2.93,-0.94
199809,2.13,-1.46
199810,3.08,-0.09
199811,1.19,-1.99
199812,1.46,-1.65
199901,5.84,2.79
199902,1.90,-0.70
199903,3.46,-0.03
199904,3.96,0.32
199905,2.56,-1.37
199906,2.37,-1.80
199907,2.62,-1.57
199908,3.67,-0.20
199909,6.65,3.06
199910,2.28,-0.89
199911,3.37,0.19
199912,2.44,-0.67
200001,2.36,-0.69
200002,2.82,0.22
200003,3.52,0.03
200004,4.48,0.84
200005,4.54,0.61
200006,5.30,1.13
200007,3.34,-0.85
200008,3.65,-0.22
200009,3.94,0.35
200010,2.37,-0.80
200011,2.12,-1.06
200012,2.94,-0.17
200101,1.88,-1.17
200102,1.55,-1.05
200103,4.03,0.54
200104,2.79,-0.85
200105,3.08,-0.85
200106,4.09,-0.08
200107,2.74,-1.45
200108,3.32,-0.55
200109,3.98,0.39
200110,2.15,-1.02
200111,2.07,-1.11
200112,2.66,-0.45
200201,2.13,-0.92
200202,1.45,-1.15
200203,3.98,0.49
200204,3.92,0.28
200205,5.68,1.75
200206,4.85,0.68
200207,2.31,-1.88
200208,2.67,-1.20
200209,4.33,0.74
200210,5.06,1.89
200211,3.36,0.18
200212,3.81,0.70
200301,2.41,-0.64
200302,3.51,0.91
200303,2.84,-0.65
200304,2.66,-0.98
200305,5.06,1.13
200306,6.11,1.94
200307,5.64,1.45
200308,5.55,1.68
200309,7.13,3.54
200310,4.19,1.02
200311,4.30,1.12
200312,4.17,1.06
200401,3.29,0.24
200402,2.26,-0.34
200403,2.84,-0.65
200404,4.87,1.23
200405,5.44,1.51
200406,4.40,0.23
200407,7.10,2.91
200408,5.26,1.39
200409,8.87,5.28
200410,2.61,-0.56
200411,3.47,0.29
200412,3.49,0.38
200501,5.58,2.53
200502,2.31,-0.29
200503,3.60,0.11
200504,3.80,0.16
200505,2.08,-1.85
200506,2.74,-1.43
200507,4.28,0.09
200508,3.51,-0.36
200509,1.82,-1.77
200510,6.50,3.33
200511,4.35,1.17
200512,2.40,-0.71
200601,4.25,1.20
200602,1.79,-0.81
200603,1.48,-2.01
200604,3.47,-0.17
200605,3.32,-0.61
200606,7.67,3.50
200607,5.08,0.89
200608,3.94,0.07
200609,5.06,1.47
200610,5.35,2.18
200611,3.84,0.66
200612,2.31,-0.80
200701,3.79,0.74
200702,2.24,-0.36
200703,4.01,0.52
200704,4.31,0.67
200705,1.96,-1.97
200706,3.70,-0.47
200707,3.40,-0.79
200708,5.78,1.91
200709,2.00,-1.59
200710,3.89,0.72
200711,4.07,0.89
200712,4.96,1.85
200801,2.03,-1.02
200802,5.21,2.61
200803,5.38,1.89
200804,3.13,-0.51
200805,4.18,0.25
200806,4.12,-0.05
200807,4.43,0.24
200808,2.60,-1.27
200809,4.16,0.57
200810,2.71,-0.46
200811,2.30,-0.88
200812,5.57,2.46
200901,2.68,-0.37
200902,1.30,-1.30
200903,2.11,-1.38
200904,3.25,-0.39
200905,5.02,1.09
200906,4.91,0.74
200907,4.97,0.78
200908,4.98,1.11
200909,2.78,-0.81
200910,4.77,1.60
200911,1.61,-1.57
200912,4.39,1.28
201001,3.08,0.03
201002,2.66,0.06
201003,3.57,0.08
201004,2.31,-1.33
201005,4.02,0.09
201006,3.63,-0.54
201007,4.64,0.45
201008,3.11,-0.76
201009,3.41,-0.18
201010,5.15,1.98
201011,3.29,0.11
201012,3.43,0.32
201101,1.90,-1.15
201102,3.73,1.13
201103,5.79,2.30
201104,8.06,4.42
201105,5.70,1.77
201106,3.18,-0.99
201107,2.98,-1.21
201108,6.87,3.00
201109,10.10,6.51
201110,4.96,1.79
201111,3.94,0.76
201112,3.78,0.67
201201,3.36,0.31
201202,1.50,-1.10
201203,2.89,-0.60
201204,2.15,-1.49
201205,5.10,1.17
201206,3.30,-0.87
201207,4.73,0.54
201208,3.52,-0.35
201209,5.11,1.52
201210,5.58,2.41
201211,1.01,-2.17
201212,5.24,2.13
201301,2.97,-0.08
201302,1.98,-0.62
201303,2.14,-1.35
201304,3.02,-0.62
201305,3.23,-0.70
201306,6.11,1.94
201307,5.09,0.90
201308,3.85,-0.02
201309,2.37,-1.22
201310,3.65,0.48
201311,3.42,0.24
201312,3.99,0.88
201401,2.32,-0.73
201402,3.24,0.64
201403,2.60,-0.89
201404,3.85,0.21
201405,5.29,1.36
201406,5.31,1.14
201407,4.53,0.34
201408,4.28,0.41
201409,1.88,-1.71
201410,3.73,0.56
201411,2.44,-0.74
201412,2.96,-0.15
201501,2.44,-0.61
201502,1.52,-1.08
201503,3.19,-0.30
201504,3.86,0.22
201505,2.57,-1.36
201506,8.35,4.18
201507,4.33,0.14
201508,2.57,-1.30
201509,4.32,0.73
201510,3.78,0.61
201511,2.06,-1.12
201512,4.10,0.99
201601,2.39,-0.66
201602,3.94,1.34
201603,1.96,-1.53
201604,2.63,-1.01
201605,3.88,-0.05
201606,3.35,-0.82
201607,3.79,-0.40
201608,4.09,0.22
201609,3.54,-0.05
201610,4.31,1.14
201611,1.49,-1.69
201612,3.62,0.51
201701,3.82,0.77
201702,2.20,-0.40
201703,3.98,0.49
201704,4.32,0.68
201705,5.95,2.02
201706,4.62,0.45
201707,6.14,1.95
201708,3.84,-0.03
201709,2.06,-1.53
201710,5.09,1.92
201711,2.89,-0.29
201712,1.70,-1.41
201801,3.28,0.23
201802,5.40,2.80
201803,3.12,-0.37
201804,4.17,0.53
201805,5.48,1.55
201806,5.32,1.15
201807,7.53,3.34
201808,6.26,2.39
201809,8.88,5.29
201810,4.28,1.11
201811,6.06,2.88
201812,4.26,1.15
201901,4.27,1.22
201902,3.45,0.85
201903,2.97,-0.52
201904,4.53,0.89
201905,6.52,2.59
201906,5.82,1.65
