#  Pennsylvania Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.66,4.74
199702,3.88,3.88
199703,3.77,3.73
199704,2.66,2.57
199705,2.57,2.52
199706,2.02,1.97
199707,1.23,1.26
199708,1.51,1.44
199709,1.49,1.43
199710,0.66,0.60
199711,1.52,1.60
199712,1.22,1.35
199801,1.75,1.83
199802,2.05,2.05
199803,1.77,1.73
199804,2.42,2.33
199805,2.00,1.95
199806,2.34,2.29
199807,-0.55,-0.52
199808,-1.05,-1.12
199809,-1.82,-1.88
199810,-2.00,-2.06
199811,-3.20,-3.12
199812,-4.24,-4.11
199901,-2.51,-2.43
199902,-2.60,-2.60
199903,-2.25,-2.29
199904,-1.93,-2.02
199905,-2.46,-2.51
199906,-3.10,-3.15
199907,-3.97,-3.94
199908,-3.96,-4.03
199909,1.07,1.01
199910,-0.24,-0.30
199911,-0.34,-0.26
199912,-0.56,-0.43
200001,-0.72,-0.64
200002,-0.50,-0.50
200003,-0.74,-0.78
200004,0.41,0.32
200005,0.40,0.35
200006,0.88,0.83
200007,0.63,0.66
200008,0.62,0.55
200009,0.83,0.77
200010,-0.27,-0.33
200011,-0.66,-0.58
200012,-0.59,-0.46
200101,-0.98,-0.90
200102,-1.43,-1.43
200103,-0.88,-0.92
200104,-1.30,-1.39
200105,-1.64,-1.69
200106,-1.51,-1.56
200107,-1.89,-1.86
200108,-2.21,-2.28
200109,-1.85,-1.91
200110,-2.24,-2.30
200111,-3.10,-3.02
200112,-3.35,-3.22
200201,-3.36,-3.28
200202,-3.67,-3.67
200203,-3.13,-3.17
200204,-2.82,-2.91
200205,-1.76,-1.81
200206,-1.32,-1.37
200207,-2.18,-2.15
200208,-2.85,-2.92
200209,0.00,-0.06
200210,0.72,0.66
200211,0.87,0.95
200212,1.20,1.33
200301,0.88,0.96
200302,1.31,1.31
200303,-0.36,-0.40
200304,-0.81,-0.90
200305,0.46,0.41
200306,1.50,1.45
200307,2.16,2.19
200308,2.83,2.76
200309,4.36,4.30
200310,4.76,4.70
200311,4.72,4.80
200312,4.84,4.97
200401,4.56,4.64
200402,3.93,3.93
200403,3.06,3.02
200404,3.29,3.20
200405,3.17,3.12
200406,3.08,3.03
200407,4.32,4.35
200408,4.80,4.73
200409,6.78,6.72
200410,6.13,6.07
200411,5.63,5.71
200412,5.31,5.44
200501,6.09,6.17
200502,-0.13,-0.13
200503,0.22,0.18
200504,-0.05,-0.14
200505,-0.66,-0.71
200506,-1.45,-1.50
200507,-1.56,-1.53
200508,-1.95,-2.02
200509,-2.88,-2.94
200510,1.04,0.98
200511,1.47,1.55
200512,1.06,1.19
200601,1.54,1.62
200602,-0.42,-0.42
200603,-1.39,-1.43
200604,-1.50,-1.59
200605,-1.66,-1.71
200606,1.71,1.66
200607,1.91,1.94
200608,1.80,1.73
200609,2.47,2.41
200610,3.56,3.50
200611,3.46,3.54
200612,2.64,2.77
200701,2.83,2.91
200702,2.37,2.37
200703,2.34,2.30
200704,2.57,2.48
200705,-1.01,-1.06
200706,-1.24,-1.29
200707,-1.53,-1.50
200708,-0.69,-0.76
200709,-1.44,-1.50
200710,-1.52,-1.58
200711,0.12,0.20
200712,1.09,1.22
200801,0.60,0.68
200802,1.98,1.98
200803,2.74,2.70
200804,-0.46,-0.55
200805,-0.20,-0.25
200806,-0.32,-0.37
200807,-0.18,-0.15
200808,-0.64,-0.71
200809,-0.44,-0.50
200810,-0.52,-0.58
200811,-0.91,-0.83
200812,1.27,1.40
200901,-0.07,0.01
200902,-0.74,-0.74
200903,-1.43,-1.47
200904,-1.56,-1.65
200905,0.32,0.27
200906,0.75,0.70
200907,1.33,1.36
200908,1.86,1.79
200909,1.57,1.51
200910,2.46,2.40
200911,-0.82,-0.74
200912,0.70,0.83
201001,0.76,0.84
201002,0.73,0.73
201003,-0.23,-0.27
201004,-1.13,-1.22
201005,-1.21,-1.26
201006,-1.49,-1.54
201007,-1.30,-1.27
201008,-1.69,-1.76
201009,-1.77,-1.83
201010,0.67,0.61
201011,0.74,0.82
201012,0.90,1.03
201101,0.37,0.45
201102,0.97,0.97
201103,2.01,1.97
201104,3.80,3.71
201105,3.87,3.82
201106,2.93,2.88
201107,1.76,1.79
201108,2.83,2.76
201109,5.40,5.34
201110,5.93,5.87
201111,5.60,5.68
201112,5.34,5.47
201201,5.05,5.13
201202,-0.65,-0.65
201203,-1.45,-1.49
201204,-2.03,-2.12
201205,-1.75,-1.80
201206,-1.96,-2.01
201207,-1.72,-1.69
201208,-1.80,-1.87
201209,0.62,0.56
201210,1.71,1.65
201211,0.71,0.79
201212,1.64,1.77
201301,1.54,1.62
201302,-0.31,-0.31
201303,-0.84,-0.88
201304,-1.12,-1.21
201305,-1.44,-1.49
201306,0.88,0.83
201307,1.15,1.18
201308,1.24,1.17
201309,0.75,0.69
201310,0.81,0.75
201311,1.04,1.12
201312,1.44,1.57
201401,1.05,1.13
201402,1.32,1.32
201403,0.91,0.87
201404,0.91,0.82
201405,1.21,1.16
201406,1.58,1.53
201407,1.72,1.75
201408,2.00,1.93
201409,-0.60,-0.66
201410,-0.36,-0.42
201411,-0.45,-0.37
201412,-0.45,-0.32
201501,-0.58,-0.50
201502,-1.08,-1.08
201503,-0.95,-0.99
201504,-0.80,-0.89
201505,-1.66,-1.71
201506,1.91,1.86
201507,1.84,1.87
201508,-0.54,-0.61
201509,-0.41,-0.47
201510,-0.11,-0.17
201511,-0.75,-0.67
201512,-0.45,-0.32
201601,-0.61,-0.53
201602,0.75,0.75
201603,-1.09,-1.13
201604,-1.44,-1.53
201605,-1.38,-1.43
201606,-1.66,-1.71
201607,-1.85,-1.82
201608,-1.93,-2.00
201609,-2.07,-2.13
201610,-1.69,-1.75
201611,-2.54,-2.46
201612,0.21,0.34
201701,0.66,0.74
201702,0.24,0.24
201703,0.51,0.47
201704,0.42,0.33
201705,1.14,1.09
201706,1.24,1.19
201707,2.07,2.10
201708,2.10,2.03
201709,1.30,1.24
201710,1.80,1.74
201711,1.62,1.70
201712,0.86,0.99
201801,0.99,1.07
201802,2.36,2.36
201803,2.07,2.03
201804,2.35,2.26
201805,2.31,2.26
201806,2.63,2.58
201807,3.99,4.02
201808,4.77,4.70
201809,6.63,6.57
201810,6.67,6.61
201811,7.57,7.65
201812,7.39,7.52
201901,7.32,7.40
201902,7.05,7.05
201903,6.14,6.10
201904,5.77,5.68
201905,5.98,5.93
201906,6.20,6.15
201907,6.16,6.19
201908,5.57,5.50
201909,4.34,4.28
201910,4.81,4.75
201911,4.21,4.29
201912,4.14,4.27
202001,3.82,3.90
202002,3.82,3.82
202003,3.51,3.47
202004,3.71,3.62
202005,-0.18,-0.23
202006,-0.65,-0.70
202007,-1.19,-1.16
202008,-1.15,-1.22
202009,-1.66,-1.72
202010,-1.61,-1.67
202011,-2.04,-1.96
202012,-1.13,-1.00
202101,-1.50,-1.42
202102,-1.10,-1.10
202103,-1.52,-1.56
202104,-1.88,-1.97
202105,-1.59,-1.64
202106,-1.83,-1.88
202107,0.95,0.98
202108,1.79,1.72
202109,3.23,3.17
202110,3.51,3.45
202111,-0.53,-0.45
202112,-0.89,-0.76
202201,-0.93,-0.85
202202,0.95,0.95
202203,0.34,0.30
202204,0.65,0.56
202205,0.85,0.80
202206,-0.29,-0.34
202207,-0.81,-0.78
202208,-1.07,-1.14
202209,0.36,0.30
202210,0.25,0.19
202211,0.41,0.49
202212,0.73,0.86
