#  Pennsylvania Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.66,4.55
199702,3.88,3.83
199703,3.77,3.78
199704,2.66,2.63
199705,2.57,2.56
199706,2.02,1.92
199707,1.23,1.14
199708,1.51,1.43
199709,1.49,1.40
199710,0.66,0.61
199711,1.52,1.51
199712,1.22,1.21
199801,1.75,1.64
199802,2.05,2.00
199803,1.77,1.78
199804,2.42,2.39
199805,2.00,1.99
199806,2.34,2.24
199807,1.55,1.46
199808,0.83,0.75
199809,-1.82,-1.91
199810,-2.00,-2.05
199811,-3.20,-3.21
199812,-4.24,-4.25
199901,-2.51,-2.62
199902,-2.60,-2.65
199903,-2.25,-2.24
199904,-1.93,-1.96
199905,-2.46,-2.47
199906,-3.10,-3.20
199907,-3.97,-4.06
199908,-3.96,-4.04
199909,-2.48,-2.57
199910,-2.47,-2.52
199911,-2.34,-2.35
199912,-2.35,-2.36
200001,-2.33,-2.44
200002,-1.94,-1.99
200003,-2.03,-2.02
200004,-1.41,-1.44
200005,-1.23,-1.24
200006,-0.59,-0.69
200007,-0.68,-0.77
200008,-0.56,-0.64
200009,0.83,0.74
200010,-0.27,-0.32
200011,-0.66,-0.67
200012,-0.59,-0.60
200101,-0.98,-1.09
200102,-1.43,-1.48
200103,-0.88,-0.87
200104,-1.30,-1.33
200105,-1.64,-1.65
200106,-1.51,-1.61
200107,-1.89,-1.98
200108,-2.21,-2.29
200109,-1.85,-1.94
200110,-2.24,-2.29
200111,-3.10,-3.11
200112,-3.35,-3.36
200201,-3.36,-3.47
200202,-3.67,-3.72
200203,-3.13,-3.12
200204,-2.82,-2.85
200205,-1.76,-1.77
200206,-1.32,-1.42
200207,-2.18,-2.27
200208,-2.85,-2.93
200209,-2.56,-2.65
200210,-1.58,-1.63
200211,-1.19,-1.20
200212,-0.65,-0.66
200301,-0.77,-0.88
200302,1.31,1.26
200303,0.82,0.83
200304,-0.81,-0.84
200305,0.46,0.45
200306,1.50,1.40
200307,2.16,2.07
200308,2.83,2.75
200309,4.36,4.27
200310,4.76,4.71
200311,4.72,4.71
200312,4.84,4.83
200401,4.56,4.45
200402,3.93,3.88
200403,3.06,3.07
200404,3.29,3.26
200405,3.17,3.16
200406,3.08,2.98
200407,4.32,4.23
200408,4.80,4.72
200409,6.78,6.69
200410,6.13,6.08
200411,5.63,5.62
200412,5.31,5.30
200501,6.09,5.98
200502,5.33,5.28
200503,4.99,5.00
200504,4.43,4.40
200505,3.35,3.34
200506,2.15,2.05
200507,1.67,1.58
200508,0.95,0.87
200509,-2.88,-2.97
200510,-1.55,-1.60
200511,-0.85,-0.86
200512,-1.03,-1.04
200601,1.54,1.43
200602,0.97,0.92
200603,-1.39,-1.38
200604,-1.50,-1.53
200605,-1.66,-1.67
200606,1.71,1.61
200607,1.91,1.82
200608,1.80,1.72
200609,2.47,2.38
200610,3.56,3.51
200611,3.46,3.45
200612,2.64,2.63
200701,2.83,2.72
200702,2.37,2.32
200703,2.34,2.35
200704,2.57,2.54
200705,1.29,1.28
200706,0.82,0.72
200707,-1.53,-1.62
200708,-0.69,-0.77
200709,-1.44,-1.53
200710,-1.52,-1.57
200711,-1.24,-1.25
200712,1.09,1.08
200801,0.60,0.49
200802,1.98,1.93
200803,2.74,2.75
200804,2.00,1.97
200805,2.00,1.99
200806,1.66,1.56
200807,1.60,1.51
200808,0.96,0.88
200809,0.99,0.90
200810,0.76,0.71
200811,-0.91,-0.92
200812,1.27,1.26
200901,1.08,0.97
200902,-0.74,-0.79
200903,-1.43,-1.42
200904,-1.56,-1.59
200905,-1.08,-1.09
200906,0.75,0.65
200907,1.33,1.24
200908,1.86,1.78
200909,1.57,1.48
200910,2.46,2.41
200911,1.39,1.38
200912,1.95,1.94
201001,1.88,1.77
201002,1.74,1.69
201003,1.33,1.34
201004,-1.13,-1.16
201005,-1.21,-1.22
201006,-1.49,-1.59
201007,-1.30,-1.39
201008,-1.69,-1.77
201009,-1.77,-1.86
201010,-0.92,-0.97
201011,-0.69,-0.70
201012,0.90,0.89
201101,0.37,0.26
201102,0.97,0.92
201103,2.01,2.02
201104,3.80,3.77
201105,3.87,3.86
201106,2.93,2.83
201107,1.76,1.67
201108,2.83,2.75
201109,5.40,5.31
201110,5.93,5.88
201111,5.60,5.59
201112,5.34,5.33
201201,5.05,4.94
201202,3.88,3.83
201203,2.61,2.62
201204,1.62,1.59
201205,1.51,1.50
201206,0.97,0.87
201207,0.91,0.82
201208,0.56,0.48
201209,1.12,1.03
201210,2.17,2.12
201211,1.11,1.10
201212,2.01,2.00
201301,1.87,1.76
201302,1.37,1.32
201303,0.67,0.68
201304,-1.12,-1.15
201305,-1.44,-1.45
201306,0.88,0.78
201307,1.15,1.06
201308,1.24,1.16
201309,0.75,0.66
201310,0.81,0.76
201311,1.04,1.03
201312,1.44,1.43
201401,1.05,0.94
201402,1.32,1.27
201403,0.91,0.92
201404,0.91,0.88
201405,1.21,1.20
201406,1.58,1.48
201407,1.72,1.63
201408,2.00,1.92
201409,1.19,1.10
201410,1.25,1.20
201411,0.99,0.98
201412,0.85,0.84
201501,0.58,0.47
201502,-1.08,-1.13
201503,-0.95,-0.94
201504,-0.80,-0.83
201505,-1.66,-1.67
201506,1.91,1.81
201507,1.84,1.75
201508,1.11,1.03
201509,1.07,0.98
201510,1.22,1.17
201511,-0.75,-0.76
201512,-0.45,-0.46
201601,-0.61,-0.72
201602,0.75,0.70
201603,-1.09,-1.08
201604,-1.44,-1.47
201605,-1.38,-1.39
201606,-1.66,-1.76
201607,-1.85,-1.94
201608,-1.93,-2.01
201609,-2.07,-2.16
201610,-1.69,-1.74
201611,-2.54,-2.55
201612,-2.07,-2.08
201701,-1.38,-1.49
201702,-1.59,-1.64
201703,-1.14,-1.13
201704,-1.05,-1.08
201705,1.14,1.13
201706,1.24,1.14
201707,2.07,1.98
201708,2.10,2.02
201709,1.30,1.21
201710,1.80,1.75
201711,1.62,1.61
201712,0.86,0.85
201801,0.99,0.88
201802,2.36,2.31
201803,2.07,2.08
201804,2.35,2.32
201805,2.31,2.30
201806,2.63,2.53
201807,3.99,3.90
201808,4.77,4.69
201809,6.63,6.54
201810,6.67,6.62
201811,7.57,7.56
201812,7.39,7.38
201901,7.32,7.21
201902,7.05,7.00
201903,6.14,6.15
201904,5.77,5.74
201905,5.98,5.97
201906,6.20,6.10
201907,6.16,6.07
201908,5.57,5.49
201909,4.34,4.25
201910,4.81,4.76
201911,4.21,4.20
201912,4.14,4.13
202001,3.82,3.71
202002,3.82,3.77
202003,3.51,3.52
202004,3.71,3.68
202005,3.14,3.13
202006,2.33,2.23
202007,1.48,1.39
202008,1.25,1.17
202009,-1.66,-1.75
202010,-1.61,-1.66
202011,-2.04,-2.05
202012,-1.13,-1.14
202101,-1.50,-1.61
202102,-1.10,-1.15
202103,-1.52,-1.51
202104,-1.88,-1.91
202105,-1.59,-1.60
202106,-1.83,-1.93
202107,-0.69,-0.78
202108,1.79,1.71
202109,3.23,3.14
202110,3.51,3.46
202111,2.61,2.60
202112,1.93,1.92
202201,1.60,1.49
202202,2.38,2.33
202203,1.63,1.64
202204,1.81,1.78
202205,1.88,1.87
202206,1.40,1.30
202207,0.70,0.61
202208,-1.07,-1.15
202209,-0.61,-0.70
202210,-0.61,-0.66
202211,0.41,0.40
202212,0.73,0.72
