#  Pennsylvania Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,25.1,-0.2
199702,33.0,6.5
199703,37.6,1.8
199704,44.6,-2.2
199705,52.7,-4.9
199706,65.9,-0.1
199707,69.5,-0.9
199708,66.8,-1.6
199709,60.4,-1.3
199710,50.5,-0.1
199711,37.4,-1.9
199712,32.1,3.2
199801,34.3,9.0
199802,35.8,9.3
199803,39.6,3.8
199804,49.5,2.7
199805,62.4,4.8
199806,65.6,-0.4
199807,69.6,-0.8
199808,70.2,1.8
199809,64.7,3.0
199810,51.8,1.2
199811,41.5,2.2
199812,36.0,7.1
199901,27.0,1.7
199902,31.7,5.2
199903,34.1,-1.7
199904,48.6,1.8
199905,59.3,1.7
199906,67.3,1.3
199907,74.0,3.6
199908,68.5,0.1
199909,62.8,1.1
199910,49.3,-1.3
199911,44.8,5.5
199912,32.4,3.5
200001,25.6,0.3
200002,31.6,5.1
200003,42.6,6.8
200004,47.5,0.7
200005,60.0,2.4
200006,67.2,1.2
200007,66.9,-3.5
200008,67.3,-1.1
200009,60.6,-1.1
200010,52.0,1.4
200011,38.3,-1.0
200012,22.4,-6.5
200101,26.1,0.8
200102,31.5,5.0
200103,33.3,-2.5
200104,49.2,2.4
200105,58.6,1.0
200106,66.8,0.8
200107,67.8,-2.6
200108,71.6,3.2
200109,60.4,-1.3
200110,51.7,1.1
200111,45.8,6.5
200112,36.4,7.5
200201,33.0,7.7
200202,33.9,7.4
200203,38.2,2.4
200204,50.0,3.2
200205,55.0,-2.6
200206,67.9,1.9
200207,72.5,2.1
200208,71.8,3.4
200209,64.9,3.2
200210,49.4,-1.2
200211,39.2,-0.1
200212,27.8,-1.1
200301,20.6,-4.7
200302,23.8,-2.7
200303,37.2,1.4
200304,47.8,1.0
200305,56.1,-1.5
200306,64.0,-2.0
200307,69.7,-0.7
200308,70.9,2.5
200309,61.7,0.0
200310,48.5,-2.1
200311,44.7,5.4
200312,30.7,1.8
200401,20.0,-5.3
200402,27.0,0.5
200403,39.5,3.7
200404,48.3,1.5
