#  Rhode Island Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,-4
199706,69,16
199707,196,23
199708,139,3
199709,25,0
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,15,11
199806,52,-1
199807,208,35
199808,210,74
199809,53,28
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,9,5
199906,121,68
199907,291,118
199908,176,40
199909,66,41
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,6,2
200006,72,19
200007,123,-50
200008,132,-4
200009,23,-2
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,11,7
200106,129,76
200107,115,-58
200108,242,106
200109,38,13
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,0,-4
200206,47,-6
200207,232,59
200208,239,103
200209,67,42
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,0,-4
200306,42,-11
200307,211,38
200308,251,115
200309,51,26
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,10,6
200406,52,-1
200407,162,-11
200408,160,24
200409,41,16
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,-4
200506,110,57
200507,220,47
200508,273,137
200509,78,53
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,5,1
200606,89,36
200607,285,112
200608,165,29
200609,19,-6
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,11,7
200706,77,24
200707,208,35
200708,193,57
200709,57,32
200710,10,10
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,-4
200806,131,78
200807,276,103
200808,125,-11
200809,41,16
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,7,3
200906,31,-22
200907,138,-35
200908,239,103
200909,19,-6
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,22,18
201006,129,76
201007,310,137
201008,187,51
201009,66,41
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,11,7
201106,72,19
201107,273,100
201108,201,65
201109,82,57
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,19,15
201206,64,11
201207,267,94
201208,236,100
201209,34,9
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,9,5
201306,107,54
201307,353,180
201308,142,6
201309,22,-3
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,8,4
201406,76,23
201407,229,56
201408,130,-6
201409,49,24
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,24,20
201506,46,-7
201507,229,56
201508,239,103
201509,102,77
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,7,3
201606,85,32
201607,273,100
201608,276,140
201609,80,55
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,0,-4
201706,83,30
201707,193,20
201708,160,24
201709,78,53
201710,17,17
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,26,22
201806,67,14
201807,273,100
201808,313,177
201809,82,57
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,0,-4
201906,77,24
201907,304,131
201908,201,65
201909,42,17
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,0,-4
202006,110,57
202007,322,149
202008,273,137
202009,51,26
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,8,4
202106,146,93
202107,196,23
202108,267,131
202109,80,55
202110,11,11
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,18,14
202206,74,21
202207,291,118
202208,310,174
202209,38,13
202210,0,0
202211,0,0
202212,0,0
