#  Rhode Island Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1138,-35
199702,829,-213
199703,877,-18
199704,582,4
199705,341,59
199706,39,-23
199707,0,-7
199708,15,-8
199709,100,-17
199710,437,30
199711,744,39
199712,980,-76
199801,952,-221
199802,812,-230
199803,778,-117
199804,498,-80
199805,176,-106
199806,55,-7
199807,0,-7
199808,5,-18
199809,62,-55
199810,381,-26
199811,672,-33
199812,846,-210
199901,1097,-76
199902,885,-157
199903,812,-83
199904,501,-77
199905,213,-69
199906,13,-49
199907,0,-7
199908,9,-14
199909,51,-66
199910,422,15
199911,555,-150
199912,908,-148
200001,1187,14
200002,896,-146
200003,704,-191
200004,567,-11
200005,247,-35
200006,36,-26
200007,14,7
200008,17,-6
200009,107,-10
200010,397,-10
200011,684,-21
200012,1147,91
200101,1147,-26
200102,955,-87
200103,921,26
200104,525,-53
200105,200,-82
200106,12,-50
200107,16,9
200108,0,-23
200109,80,-37
200110,353,-54
200111,543,-162
200112,818,-238
200201,939,-234
200202,843,-199
200203,797,-98
200204,450,-128
200205,301,19
200206,59,-3
200207,0,-7
200208,0,-23
200209,49,-68
200210,431,24
200211,702,-3
200212,1032,-24
200301,1286,113
200302,1114,72
200303,874,-21
200304,624,46
200305,341,59
200306,66,4
200307,0,-7
200308,0,-23
200309,66,-51
200310,443,36
200311,594,-111
200312,939,-117
200401,1389,216
200402,955,-87
200403,840,-55
200404,507,-71
200405,205,-77
200406,55,-7
200407,7,0
200408,11,-12
200409,77,-40
200410,412,5
200411,675,-30
200412,980,-76
200501,1200,27
200502,972,-70
200503,983,88
200504,495,-83
200505,400,118
200506,17,-45
200507,0,-7
200508,0,-23
200509,39,-78
200510,341,-66
200511,597,-108
200512,1048,-8
200601,899,-274
200602,963,-79
200603,859,-36
200604,489,-89
200605,253,-29
200606,26,-36
200607,0,-7
200608,10,-13
200609,115,-2
200610,403,-4
200611,519,-186
200612,784,-272
200701,998,-175
200702,1109,67
200703,877,-18
200704,606,28
200705,197,-85
200706,32,-30
200707,0,-7
200708,7,-16
200709,57,-60
200710,227,-180
200711,717,12
200712,1042,-14
200801,1032,-141
200802,930,-112
200803,840,-55
200804,471,-107
200805,300,18
200806,11,-51
200807,0,-7
200808,20,-3
200809,77,-40
200810,428,21
200811,690,-15
200812,936,-120
200901,1290,117
200902,924,-118
200903,862,-33
200904,468,-110
200905,230,-52
200906,79,17
200907,11,4
200908,0,-23
200909,118,1
200910,443,36
200911,516,-189
200912,1020,-36
201001,1135,-38
201002,944,-98
201003,663,-232
201004,390,-188
201005,149,-133
201006,12,-50
201007,0,-7
201008,7,-16
201009,51,-66
201010,356,-51
201011,651,-54
201012,1076,20
201101,1234,61
201102,1014,-28
201103,837,-58
201104,477,-101
201105,200,-82
201106,36,-26
201107,0,-7
201108,6,-17
201109,37,-80
201110,316,-91
201111,516,-189
201112,806,-250
201201,976,-197
201202,820,-222
201203,604,-291
201204,450,-128
201205,156,-126
201206,43,-19
201207,0,-7
201208,0,-23
201209,85,-32
201210,302,-105
201211,720,15
201212,849,-207
201301,1073,-100
201302,974,-68
201303,865,-30
201304,519,-59
201305,211,-71
201306,17,-45
201307,0,-7
201308,15,-8
201309,109,-8
201310,341,-66
201311,711,6
201312,992,-64
201401,1209,36
201402,1058,16
201403,1001,106
201404,540,-38
201405,225,-57
201406,34,-28
201407,0,-7
201408,18,-5
201409,67,-50
201410,305,-102
201411,708,3
201412,856,-200
201501,1224,51
201502,1324,282
201503,1029,134
201504,537,-41
201505,142,-140
201506,61,-1
201507,0,-7
201508,0,-23
201509,24,-93
201510,391,-16
201511,537,-168
201512,611,-445
201601,1045,-128
201602,893,-149
201603,685,-210
201604,564,-14
201605,227,-55
201606,28,-34
201607,0,-7
201608,0,-23
201609,38,-79
201610,322,-85
201611,597,-108
201612,955,-101
201701,955,-218
201702,834,-208
201703,958,63
201704,405,-173
201705,268,-14
201706,29,-33
201707,0,-7
201708,11,-12
201709,39,-78
201710,184,-223
201711,660,-45
201712,1085,29
201801,1159,-14
201802,764,-278
201803,859,-36
201804,618,40
201805,137,-145
201806,40,-22
201807,0,-7
201808,0,-23
201809,37,-80
201810,381,-26
201811,720,15
201812,924,-132
201901,1116,-57
201902,935,-107
201903,905,10
201904,474,-104
201905,271,-11
201906,32,-30
201907,0,-7
201908,6,-17
201909,75,-42
201910,322,-85
201911,747,42
201912,958,-98
202001,921,-252
202002,829,-213
202003,694,-201
202004,627,49
202005,265,-17
202006,17,-45
202007,0,-7
202008,0,-23
202009,66,-51
202010,326,-81
202011,528,-177
202012,911,-145
202101,1045,-128
202102,955,-87
202103,769,-126
202104,486,-92
202105,222,-60
202106,8,-54
202107,0,-7
202108,0,-23
202109,38,-79
202110,216,-191
202111,663,-42
202112,818,-238
202201,1178,5
202202,913,-129
202203,756,-139
202204,498,-80
202205,161,-121
202206,35,-27
202207,0,-7
202208,0,-23
202209,80,-37
202210,329,-78
202211,549,-156
202212,914,-142
