#  Rhode Island Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.07,3.04
199702,-0.59,-0.56
199703,0.25,0.24
199704,0.48,0.50
199705,-0.16,0.01
199706,-0.71,-0.62
199707,-1.23,-1.22
199708,-0.57,-0.47
199709,-1.24,-1.17
199710,-1.72,-1.68
199711,0.34,0.46
199712,0.06,0.05
199801,0.86,0.83
199802,1.63,1.66
199803,1.96,1.95
199804,2.11,2.13
199805,2.42,2.59
199806,4.72,4.81
199807,-0.15,-0.14
199808,-0.31,-0.21
199809,-0.73,-0.66
199810,-0.50,-0.46
199811,-1.11,-0.99
199812,-1.84,-1.85
199901,0.98,0.95
199902,1.59,1.62
199903,1.58,1.57
199904,-1.01,-0.99
199905,-0.87,-0.70
199906,-1.93,-1.84
199907,-2.57,-2.56
199908,-2.95,-2.85
199909,0.86,0.93
199910,1.63,1.67
199911,0.98,1.10
199912,0.46,0.45
200001,0.44,0.41
200002,0.29,0.32
200003,0.44,0.43
200004,1.06,1.08
200005,0.92,1.09
200006,1.38,1.47
200007,1.88,1.89
200008,1.73,1.83
200009,1.80,1.87
200010,-0.64,-0.60
200011,-0.67,-0.55
200012,-0.34,-0.35
200101,-0.66,-0.69
200102,-0.93,-0.90
200103,1.94,1.93
200104,0.99,1.01
200105,0.95,1.12
200106,1.75,1.84
200107,1.80,1.81
200108,1.76,1.86
200109,-0.15,-0.08
200110,-0.89,-0.85
200111,-2.12,-2.00
200112,-2.66,-2.67
200201,-2.81,-2.84
200202,-3.19,-3.16
200203,-2.82,-2.83
200204,-2.83,-2.81
200205,-1.81,-1.64
200206,-1.31,-1.22
200207,-1.73,-1.72
200208,-2.26,-2.16
200209,0.27,0.34
200210,0.44,0.48
200211,0.93,1.05
200212,1.34,1.33
200301,0.70,0.67
200302,0.98,1.01
200303,1.23,1.22
200304,1.48,1.50
200305,1.41,1.58
200306,2.23,2.32
200307,2.29,2.30
200308,2.36,2.46
200309,2.28,2.35
200310,3.23,3.27
200311,-0.60,-0.48
200312,-0.11,-0.12
200401,-0.80,-0.83
200402,-1.18,-1.15
200403,-1.54,-1.55
200404,1.25,1.27
200405,-0.33,-0.16
200406,-0.81,-0.72
200407,-0.83,-0.82
200408,0.61,0.71
200409,1.56,1.63
200410,1.24,1.28
200411,1.26,1.38
200412,1.45,1.44
200501,1.62,1.59
200502,1.31,1.34
200503,1.60,1.59
200504,1.82,1.84
200505,2.08,2.25
200506,-0.77,-0.68
200507,-1.39,-1.38
200508,-1.55,-1.45
200509,-1.80,-1.73
200510,3.67,3.71
200511,3.74,3.86
200512,3.45,3.44
200601,3.65,3.62
200602,3.02,3.05
200603,1.47,1.46
200604,0.84,0.86
200605,2.10,2.27
200606,4.25,4.34
200607,3.74,3.75
200608,3.53,3.63
200609,3.02,3.09
200610,4.00,4.04
200611,4.24,4.36
200612,3.14,3.13
200701,2.86,2.83
200702,2.18,2.21
200703,2.56,2.55
200704,3.80,3.82
200705,-0.39,-0.22
200706,-0.50,-0.41
200707,-0.41,-0.40
200708,-1.20,-1.10
200709,-1.77,-1.70
200710,-2.33,-2.29
200711,-2.74,-2.62
200712,-2.31,-2.32
200801,-2.39,-2.42
200802,1.52,1.55
200803,1.82,1.81
200804,1.55,1.57
200805,1.05,1.22
200806,0.64,0.73
200807,1.01,1.02
200808,0.80,0.90
200809,2.35,2.42
200810,1.85,1.89
200811,1.80,1.92
200812,2.71,2.70
200901,2.42,2.39
200902,1.60,1.63
200903,0.91,0.90
200904,1.22,1.24
200905,0.98,1.15
200906,1.37,1.46
200907,4.04,4.05
200908,3.51,3.61
200909,2.84,2.91
200910,3.76,3.80
200911,3.09,3.21
200912,3.44,3.43
201001,2.90,2.87
201002,3.20,3.23
201003,6.20,6.19
201004,4.59,4.61
201005,3.63,3.80
201006,3.23,3.32
201007,2.90,2.91
201008,2.26,2.36
201009,1.62,1.69
201010,1.57,1.61
201011,1.09,1.21
201012,1.07,1.06
201101,1.03,1.00
201102,1.44,1.47
201103,0.68,0.67
201104,0.95,0.97
201105,0.68,0.85
201106,0.96,1.05
201107,0.72,0.73
201108,1.93,2.03
201109,2.70,2.77
201110,3.92,3.96
201111,0.01,0.13
201112,-0.11,-0.12
201201,-0.31,-0.34
201202,-1.28,-1.25
201203,-2.40,-2.41
201204,-2.60,-2.58
201205,0.15,0.32
201206,0.44,0.53
201207,0.65,0.66
201208,0.67,0.77
201209,0.89,0.96
201210,0.92,0.96
201211,-0.89,-0.77
201212,-0.32,-0.33
201301,-0.94,-0.97
201302,-0.23,-0.20
201303,-0.81,-0.82
201304,-1.57,-1.55
201305,-1.50,-1.33
201306,2.22,2.31
201307,-0.16,-0.15
201308,-0.32,-0.22
201309,-0.47,-0.40
201310,-1.50,-1.46
201311,-1.69,-1.57
201312,-1.50,-1.51
201401,-1.52,-1.55
201402,0.38,0.41
201403,1.02,1.01
201404,1.07,1.09
201405,-0.19,-0.02
201406,-0.53,-0.44
201407,-0.02,-0.01
201408,-0.38,-0.28
201409,-1.31,-1.24
201410,0.05,0.09
201411,0.19,0.31
201412,0.73,0.72
201501,-0.05,-0.08
201502,-0.32,-0.29
201503,-0.18,-0.19
201504,-0.74,-0.72
201505,-1.73,-1.56
201506,-1.06,-0.97
201507,-1.04,-1.03
201508,-1.50,-1.40
201509,-1.52,-1.45
201510,-1.32,-1.28
201511,-1.94,-1.82
201512,-1.70,-1.71
201601,-1.74,-1.77
201602,-0.78,-0.75
201603,-1.43,-1.44
201604,-1.30,-1.28
201605,-1.28,-1.11
201606,-1.81,-1.72
201607,-2.10,-2.09
201608,-2.55,-2.45
201609,-2.87,-2.80
201610,0.71,0.75
201611,-0.42,-0.30
201612,-0.53,-0.54
201701,-0.18,-0.21
201702,-0.67,-0.64
201703,-0.69,-0.70
201704,0.66,0.68
201705,1.51,1.68
201706,1.46,1.55
201707,1.55,1.56
201708,-0.58,-0.48
201709,-0.88,-0.81
201710,0.98,1.02
201711,0.47,0.59
201712,0.08,0.07
201801,0.71,0.68
201802,1.47,1.50
201803,1.73,1.72
201804,2.10,2.12
201805,-0.64,-0.47
201806,-0.88,-0.79
201807,-1.29,-1.28
201808,-1.33,-1.23
201809,1.02,1.09
201810,2.13,2.17
201811,3.66,3.78
201812,3.46,3.45
201901,3.96,3.93
201902,3.62,3.65
201903,3.02,3.01
201904,3.65,3.67
201905,3.42,3.59
201906,3.54,3.63
201907,3.72,3.73
201908,3.50,3.60
201909,2.58,2.65
201910,3.44,3.48
201911,2.87,2.99
201912,3.59,3.58
202001,-0.85,-0.88
202002,-0.86,-0.83
202003,-0.89,-0.90
202004,-0.23,-0.21
202005,-0.36,-0.19
202006,-0.57,-0.48
202007,-1.21,-1.20
202008,-2.11,-2.01
202009,-2.94,-2.87
202010,0.50,0.54
202011,0.55,0.67
202012,1.69,1.68
202101,-0.52,-0.55
202102,-0.34,-0.31
202103,-0.89,-0.90
202104,-1.10,-1.08
202105,0.44,0.61
202106,-0.47,-0.38
202107,1.43,1.44
202108,1.79,1.89
202109,2.88,2.95
202110,3.41,3.45
202111,-0.57,-0.45
202112,-1.24,-1.25
202201,-1.25,-1.28
202202,-0.02,0.01
202203,-0.52,-0.53
202204,-0.70,-0.68
202205,-1.38,-1.21
202206,-1.19,-1.10
202207,-2.00,-1.99
202208,-2.56,-2.46
202209,0.56,0.63
202210,1.08,1.12
202211,0.57,0.69
202212,1.19,1.18
