#  Rhode Island Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.07,3.12
199702,1.37,1.32
199703,1.65,1.63
199704,1.95,1.89
199705,1.32,1.36
199706,-0.12,-0.04
199707,-1.23,-1.21
199708,0.48,0.39
199709,-1.24,-1.27
199710,-1.72,-1.73
199711,-0.62,-0.49
199712,-1.03,-0.95
199801,0.86,0.91
199802,1.63,1.58
199803,1.96,1.94
199804,2.11,2.05
199805,2.42,2.46
199806,4.72,4.80
199807,3.85,3.87
199808,3.01,2.92
199809,1.64,1.61
199810,1.67,1.66
199811,0.03,0.16
199812,-1.77,-1.69
199901,0.20,0.25
199902,1.35,1.30
199903,1.36,1.34
199904,-0.77,-0.83
199905,-0.70,-0.66
199906,-1.93,-1.85
199907,-2.57,-2.55
199908,-2.95,-3.04
199909,-0.67,-0.70
199910,1.40,1.39
199911,0.34,0.47
199912,-0.44,-0.36
200001,-0.24,-0.19
200002,-0.33,-0.38
200003,0.11,0.09
200004,1.06,1.00
200005,0.74,0.78
200006,1.38,1.46
200007,1.88,1.90
200008,1.72,1.63
200009,1.80,1.77
200010,-0.01,-0.02
200011,-0.36,-0.23
200012,0.18,0.26
200101,-0.66,-0.61
200102,-0.93,-0.98
200103,1.94,1.92
200104,-0.14,-0.20
200105,-0.08,-0.04
200106,1.75,1.83
200107,1.80,1.82
200108,1.76,1.67
200109,1.15,1.12
200110,-0.89,-0.90
200111,-2.12,-1.99
200112,-2.66,-2.58
200201,-2.81,-2.76
200202,-3.19,-3.24
200203,-2.71,-2.73
200204,-2.83,-2.89
200205,-0.84,-0.80
200206,0.05,0.13
200207,-1.01,-0.99
200208,-2.26,-2.35
200209,-1.34,-1.37
200210,-0.65,-0.66
200211,0.75,0.88
200212,1.34,1.42
200301,-0.24,-0.19
200302,0.58,0.53
200303,1.23,1.21
200304,1.48,1.42
200305,1.41,1.45
200306,2.23,2.31
200307,2.29,2.31
200308,2.36,2.27
200309,2.28,2.25
200310,3.23,3.22
200311,1.50,1.63
200312,2.17,2.25
200401,0.34,0.39
200402,-0.79,-0.84
200403,-1.54,-1.56
200404,1.25,1.19
200405,0.12,0.16
200406,-0.81,-0.73
200407,-0.83,-0.81
200408,0.61,0.52
200409,1.56,1.53
200410,0.92,0.91
200411,1.08,1.21
200412,1.45,1.53
200501,1.62,1.67
200502,1.00,0.95
200503,1.60,1.58
200504,1.82,1.76
200505,2.08,2.12
200506,-0.03,0.05
200507,-1.39,-1.37
200508,-1.55,-1.64
200509,-1.80,-1.83
200510,3.67,3.66
200511,3.74,3.87
200512,3.45,3.53
200601,3.65,3.70
200602,2.67,2.62
200603,-0.39,-0.41
200604,-1.47,-1.53
200605,1.28,1.32
200606,4.25,4.33
200607,3.59,3.61
200608,3.53,3.44
200609,2.78,2.75
200610,4.00,3.99
200611,4.24,4.37
200612,2.32,2.40
200701,2.05,2.10
200702,0.91,0.86
200703,1.94,1.92
200704,3.80,3.74
200705,2.51,2.55
200706,1.82,1.90
200707,1.59,1.61
200708,-0.43,-0.52
200709,-1.77,-1.80
200710,-2.33,-2.34
200711,-2.74,-2.61
200712,-2.06,-1.98
200801,-2.39,-2.34
200802,1.42,1.37
200803,1.82,1.80
200804,1.36,1.30
200805,0.30,0.34
200806,-0.56,-0.48
200807,0.42,0.44
200808,0.04,-0.05
200809,2.35,2.32
200810,1.45,1.44
200811,1.51,1.64
200812,2.71,2.79
200901,2.34,2.39
200902,0.73,0.68
200903,-0.60,-0.62
200904,0.21,0.15
200905,-0.14,-0.10
200906,0.75,0.83
200907,4.04,4.06
200908,3.32,3.23
200909,2.24,2.21
200910,3.76,3.75
200911,2.71,2.84
200912,3.44,3.52
201001,2.62,2.67
201002,3.20,3.15
201003,6.20,6.18
201004,3.47,3.41
201005,1.96,2.00
201006,1.53,1.61
201007,1.22,1.24
201008,0.30,0.21
201009,-0.65,-0.68
201010,-0.48,-0.49
201011,-1.09,-0.96
201012,-0.89,-0.81
201101,-0.75,-0.70
201102,0.09,0.04
201103,-0.93,-0.95
201104,-0.36,-0.42
201105,-0.61,-0.57
201106,-0.09,-0.01
201107,-0.30,-0.28
201108,0.91,0.82
201109,2.09,2.06
201110,3.92,3.91
201111,3.49,3.62
