#  Rhode Island Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,28.4,1.2
199702,35.4,7.6
199703,36.7,0.6
199704,45.6,-0.1
199705,54.0,-2.1
199706,66.0,1.3
199707,71.2,0.9
199708,69.0,0.3
199709,62.5,0.6
199710,50.9,-1.0
199711,40.2,-1.3
199712,33.4,2.4
199801,34.3,7.1
199802,36.0,8.2
199803,39.9,3.8
199804,48.4,2.7
199805,59.8,3.7
199806,64.9,0.2
199807,71.6,1.3
199808,71.6,2.9
199809,64.7,2.8
199810,52.7,0.8
199811,42.6,1.1
199812,37.7,6.7
199901,29.6,2.4
199902,33.4,5.6
199903,38.8,2.7
199904,48.3,2.6
199905,58.4,2.3
199906,68.6,3.9
199907,74.4,4.1
199908,70.4,1.7
199909,65.5,3.6
199910,51.4,-0.5
199911,46.5,5.0
199912,35.7,4.7
200001,26.8,-0.4
200002,33.0,5.2
200003,42.3,6.2
200004,46.1,0.4
200005,57.2,1.1
200006,66.2,1.5
200007,68.5,-1.8
200008,68.7,0.0
200009,62.2,0.3
200010,52.3,0.4
200011,42.2,0.7
200012,28.1,-2.9
200101,28.0,0.8
200102,30.9,3.1
200103,35.3,-0.8
200104,47.5,1.8
200105,58.9,2.8
200106,68.9,4.2
200107,68.2,-2.1
200108,72.7,4.0
200109,63.6,1.7
200110,53.6,1.7
200111,46.9,5.4
200112,38.6,7.6
200201,34.7,7.5
200202,34.9,7.1
200203,39.3,3.2
200204,50.0,4.3
200205,55.3,-0.8
200206,64.6,-0.1
200207,72.5,2.2
200208,72.6,3.9
200209,65.6,3.7
200210,51.1,-0.8
200211,41.7,0.2
200212,31.8,0.8
200301,23.5,-3.7
200302,25.2,-2.6
200303,36.8,0.7
200304,44.2,-1.5
200305,54.0,-2.1
200306,64.2,-0.5
200307,71.7,1.4
200308,73.0,4.3
200309,64.6,2.7
200310,50.7,-1.2
200311,45.2,3.7
200312,34.7,3.7
200401,20.2,-7.0
200402,30.9,3.1
200403,37.9,1.8
200404,48.1,2.4
200405,58.7,2.6
200406,64.9,0.2
200407,70.0,-0.3
200408,69.8,1.1
200409,63.8,1.9
200410,51.7,-0.2
200411,42.5,1.0
200412,33.4,2.4
200501,26.3,-0.9
200502,30.3,2.5
200503,33.3,-2.8
200504,48.5,2.8
200505,52.1,-4.0
200506,68.1,3.4
200507,72.0,1.7
200508,73.8,5.1
200509,66.3,4.4
200510,54.0,2.1
200511,45.1,3.6
200512,31.3,0.3
200601,36.0,8.8
200602,30.6,2.8
200603,37.3,1.2
200604,48.7,3.0
200605,57.0,0.9
200606,67.1,2.4
200607,74.2,3.9
200608,70.0,1.3
200609,61.8,-0.1
200610,52.0,0.1
200611,47.7,6.2
200612,39.7,8.7
200701,32.8,5.6
200702,25.4,-2.4
200703,36.7,0.6
200704,44.8,-0.9
200705,59.0,2.9
200706,66.5,1.8
200707,71.6,1.3
200708,71.0,2.3
200709,65.1,3.2
200710,58.0,6.1
200711,41.1,-0.4
200712,31.4,0.4
200801,31.7,4.5
200802,31.8,4.0
200803,37.9,1.8
200804,49.3,3.6
200805,55.4,-0.7
200806,69.0,4.3
200807,73.9,3.6
200808,68.4,-0.3
200809,63.9,2.0
200810,51.2,-0.7
200811,42.0,0.5
200812,34.8,3.8
200901,23.4,-3.8
200902,32.0,4.2
200903,37.2,1.1
200904,49.4,3.7
200905,57.7,1.6
200906,63.4,-1.3
200907,69.1,-1.2
200908,72.7,4.0
200909,61.7,-0.2
200910,50.8,-1.1
200911,47.8,6.3
200912,32.1,1.1
201001,28.4,1.2
201002,31.4,3.6
201003,43.6,7.5
201004,52.0,6.3
201005,60.9,4.8
201006,68.9,4.2
201007,75.0,4.7
201008,70.8,2.1
201009,65.5,3.6
201010,53.5,1.6
201011,43.3,1.8
201012,30.3,-0.7
201101,25.2,-2.0
201102,28.8,1.0
201103,38.0,1.9
201104,49.1,3.4
201105,58.9,2.8
201106,66.2,1.5
201107,73.8,3.5
201108,71.3,2.6
201109,66.5,4.6
201110,54.9,3.0
201111,47.8,6.3
201112,39.0,8.0
201201,33.5,6.3
201202,35.7,7.9
201203,45.5,9.4
201204,50.1,4.4
201205,60.6,4.5
201206,65.7,1.0
201207,73.6,3.3
201208,72.5,3.8
201209,63.3,1.4
201210,55.4,3.5
