#  Rhode Island Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,37.1,1.3
199702,43.6,7.0
199703,45.3,0.3
199704,55.5,-0.1
199705,63.6,-3.0
199706,77.1,2.2
199707,81.9,2.0
199708,78.5,0.3
199709,72.0,0.2
199710,61.5,-0.6
199711,47.9,-2.3
199712,41.8,2.5
199801,41.5,5.7
199802,43.8,7.2
199803,48.5,3.5
199804,58.3,2.7
199805,70.4,3.8
199806,73.0,-1.9
199807,81.2,1.3
199808,81.4,3.2
199809,75.2,3.4
199810,62.4,0.3
199811,51.8,1.6
199812,46.9,7.6
199901,39.4,3.6
199902,42.4,5.8
199903,48.2,3.2
199904,59.3,3.7
199905,69.2,2.6
199906,79.6,4.7
199907,85.0,5.1
199908,79.9,1.7
199909,75.1,3.3
199910,62.2,0.1
199911,55.8,5.6
199912,44.3,5.0
200001,36.2,0.4
200002,41.5,4.9
200003,52.2,7.2
200004,54.8,-0.8
200005,67.7,1.1
200006,76.0,1.1
200007,77.7,-2.2
200008,77.4,-0.8
200009,72.4,0.6
200010,62.6,0.5
200011,49.9,-0.3
200012,36.6,-2.7
200101,36.6,0.8
200102,39.7,3.1
200103,42.4,-2.6
200104,58.5,2.9
200105,70.0,3.4
200106,78.7,3.8
200107,78.5,-1.4
200108,82.0,3.8
200109,74.0,2.2
200110,64.6,2.5
200111,56.8,6.6
200112,47.0,7.7
200201,42.8,7.0
200202,44.9,8.3
200203,49.0,4.0
200204,60.4,4.8
200205,65.7,-0.9
200206,75.0,0.1
200207,83.0,3.1
200208,82.9,4.7
200209,75.3,3.5
200210,59.9,-2.2
200211,49.4,-0.8
200212,39.7,0.4
200301,31.0,-4.8
200302,33.5,-3.1
200303,47.6,2.6
200304,53.6,-2.0
200305,63.5,-3.1
200306,72.9,-2.0
200307,81.0,1.1
200308,81.5,3.3
200309,73.7,1.9
200310,60.5,-1.6
200311,53.8,3.6
200312,43.1,3.8
200401,27.7,-8.1
200402,40.0,3.4
200403,46.2,1.2
200404,57.9,2.3
200405,69.3,2.7
200406,75.2,0.3
200407,78.4,-1.5
200408,78.0,-0.2
200409,73.4,1.6
200410,60.3,-1.8
200411,52.1,1.9
200412,42.5,3.2
200501,34.3,-1.5
200502,39.2,2.6
200503,42.2,-2.8
200504,59.9,4.3
200505,60.9,-5.7
200506,78.2,3.3
200507,81.5,1.6
200508,83.8,5.6
200509,76.9,5.1
200510,61.2,-0.9
200511,54.8,4.6
200512,39.3,0.0
200601,44.1,8.3
200602,39.2,2.6
200603,47.1,2.1
200604,59.7,4.1
200605,66.1,-0.5
200606,75.0,0.1
200607,82.9,3.0
200608,79.6,1.4
200609,71.6,-0.2
200610,62.0,-0.1
200611,55.4,5.2
200612,48.2,8.9
200701,40.7,4.9
200702,33.5,-3.1
200703,46.8,1.8
200704,53.7,-1.9
200705,70.8,4.2
200706,76.5,1.6
200707,81.2,1.3
200708,81.4,3.2
200709,76.2,4.4
200710,67.4,5.3
200711,50.3,0.1
200712,39.0,-0.3
200801,40.4,4.6
200802,40.4,3.8
200803,47.0,2.0
200804,60.3,4.7
200805,65.8,-0.8
200806,78.9,4.0
200807,82.9,3.0
200808,78.2,0.0
200809,72.8,1.0
200810,61.6,-0.5
200811,50.4,0.2
200812,43.7,4.4
200901,31.9,-3.9
200902,41.5,4.9
200903,46.4,1.4
200904,59.7,4.1
200905,67.1,0.5
200906,71.2,-3.7
200907,77.8,-2.1
200908,81.4,3.2
200909,71.9,0.1
200910,59.9,-2.2
200911,55.4,5.2
200912,40.0,0.7
201001,36.3,0.5
201002,38.3,1.7
201003,52.2,7.2
201004,63.4,7.8
201005,72.0,5.4
201006,78.6,3.7
201007,85.0,5.1
201008,80.8,2.6
201009,75.4,3.6
201010,62.8,0.7
201011,51.8,1.6
201012,38.0,-1.3
201101,33.8,-2.0
201102,39.2,2.6
201103,47.0,2.0
201104,57.7,2.1
201105,67.7,1.1
201106,76.0,1.1
201107,84.1,4.2
201108,80.7,2.5
201109,75.4,3.6
201110,63.5,1.4
201111,57.5,7.3
201112,48.1,8.8
201201,42.5,6.7
201202,45.1,8.5
201203,55.2,10.2
201204,61.3,5.7
201205,69.4,2.8
201206,75.3,0.4
201207,83.5,3.6
201208,82.0,3.8
201209,72.7,0.9
201210,64.1,2.0
201211,49.2,-1.0
201212,45.1,5.8
201301,38.9,3.1
201302,37.5,0.9
201303,44.8,-0.2
201304,58.2,2.6
201305,70.1,3.5
201306,77.4,2.5
201307,84.3,4.4
201308,78.6,0.4
201309,72.7,0.9
201310,64.6,2.5
201311,50.8,0.6
201312,41.0,1.7
201401,35.4,-0.4
201402,36.2,-0.4
201403,42.8,-2.2
201404,57.0,1.4
201405,68.0,1.4
201406,77.1,2.2
201407,81.1,1.2
201408,79.0,0.8
201409,75.1,3.3
201410,64.0,1.9
201411,50.4,0.2
201412,44.3,5.0
201501,34.1,-1.7
201502,28.4,-8.2
201503,41.3,-3.7
201504,57.5,1.9
201505,73.1,6.5
201506,73.8,-1.1
201507,81.9,2.0
201508,82.4,4.2
201509,78.6,6.8
201510,62.2,0.1
201511,56.4,6.2
201512,53.3,14.0
201601,39.8,4.0
201602,43.0,6.4
201603,52.3,7.3
201604,56.4,0.8
201605,68.2,1.6
